"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",939928074.951424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_ci",4837584.23730898,561788.796338215,92566.3673301414,106363.94217645,51.0509510863467,905816.687702015,10000.1331401647,15782.7072663987,0,2540840.8218298,567.416462351393,41301.8740728507,30301.6000371864,92064.8571500778,195523.730608318,244616.233344793
"building_dlr",7828628.671772,1496838.03293538,203487.453822955,226361.676525861,0,516234.339459717,30934.260792885,8002.89481746219,0,4159050.39597559,2483.3776351104,78707.9014423862,49687.6481151506,75762.933553949,352109.167341202,628965.914744258
"building_mixed",13216805.0421972,0,421779.291233033,685712.386871755,0,833324.839706182,53113.8996221051,0,0,9731203.25748634,1966.91654213576,178966.201816827,98408.450820595,373218.044914693,362618.509905845,476501.85667932
"building_sdr",148413461.487961,0,7737687.43313122,9049644.30392027,0,10997741.6976118,641063.84765169,0,0,99816250.5809746,50586.7162077967,2361893.07691288,1053712.8412776,2504604.89860332,7172487.41533089,7027150.49395227
"building_traditional",118948484.21245,25131602.9447389,1584433.02952409,1926804.59897232,0,11600872.2032702,314781.238186754,56460.5029790113,15135784.6117404,50703446.1403303,31389.1140479771,541910.188572124,587075.781750016,798434.490599349,3257984.38850743,7277365.20781362
"building",293244392.660957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",3616159.4050293,3552040.43725586,0,0,0,0,0,64118.511390686,0,0,0,0,0,0,0,0
"other_parking",921764.703725815,903471.448858261,0,0,0,0,0,18293.3312944472,0,0,0,0,0,0,0,0
"other",4537924.03220177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_other",758782.822387695,49328.8874053955,0,0,0,0,0,0,0,687080.996948242,1233.22025370598,0,0,21140.9334840775,0,0
"rail_railway",9876318.0703125,9333151.90136719,0,0,0,0,0,0,0,58168.8313140869,0,0,0,199226.816558838,0,285752.691680908
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",4661.40328979492,303.039934158325,0,0,0,0,0,0,0,4220.91529083252,7.57600101828575,0,0,129.874341487885,0,0
"rail_tunnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail",10639762.235321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",172512.86328125,0,0,0,0,0,0,0,0,160309.025390625,0,0,0,12203.9406738281,0,0
"street_bridge_other",1166145.47002792,0,0,0,0,0,0,0,0,1055302.57604218,0,0,0,110842.817606449,0,0
"street_local",461935139.57486,446998246.113968,0,0,0,0,0,5249280.71302164,0,9688005.23822641,0,0,0,0,0,0
"street_motorway",1251706.96875,1018009.796875,0,0,0,0,0,12642.2530517578,0,221057.80859375,0,0,0,0,0,0
"street_motorway_elevated",45903.9035644531,43608.697265625,0,0,0,0,0,2295.19451904297,0,0,0,0,0,0,0,0
"street_other_elevated",245948.488803864,233651.061364651,0,0,0,0,0,12297.4207167029,0,0,0,0,0,0,0,0
"street_primary",14524554.1964149,12744715.4518166,0,0,0,0,0,201477.447824895,0,1578322.33242178,0,0,0,0,0,0
"street_secondary",41405665.7841797,37572807.3178711,0,0,0,0,0,588307.676551819,0,3244658.83428955,0,0,0,0,0,0
"street_tertiary",96998479.6826172,90873654.2387085,0,0,0,0,0,1353302.46320915,0,4771635.17703629,0,0,0,0,0,0
"street_track",13610198.1481946,13511010.0876136,0,0,0,0,0,34853.2897168873,0,64325.05191069,0,0,0,0,0,0
"street_tunnel",149785.027832031,0,0,0,0,0,0,0,0,144343.274658203,0,0,0,5441.74077987671,0,0
"street",631506141.137436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
