"state";"grand_total_t_10m2";"building_commercial_industrial";"building_commercial_innercity";"building_highrise";"building_lightweight";"building_multifamily";"building_singlefamily";"building_skyscraper";"building";"other_airport";"other_parking";"other_remaining_impervious";"other";"rail_bridge";"rail_other";"rail_railway";"rail_subway_elevated";"rail_subway_surface";"rail_subway";"rail";"rail_tram";"rail_tunnel";"street_bridge_motorway";"street_bridge_other";"street_local";"street_motorway_elevated";"street_motorway";"street_other_elevated";"street_primary";"street_secondary";"street_tertiary";"street";"street_track";"street_tunnel"
"US_AL";2440012760,09035;314567842,266338;14375825,0851402;2242074,00694275;85258911,8591652;72320629,354538;721544767,25145;1470023;1211779763,09082;22011783,0712891;16784934,2380371;213744609,61553;252541294,733206;1041704,67303467;155137,496299744;68185272,3164062;0;0;0;69574173,7568359;1974,45190429688;190079,757080078;9705784,64627075;5272260,99189758;555207123,763672;2589416,33345222;106587121,715332;1111957,06318283;4425502,22298431;131390397,485352;85046758,7949829;906118478,162949;4071946,09923553;710888,843017578
"US_AR";1839184284,03284;203148864,99585;6884079,11707854;758787,599914551;49216328,6282578;20730990,3569946;464833055,080322;186891,65625;745758912,901123;19322012,0380859;6990673,04264832;164601877,180023;190914472,555511;993751,193664551;321934,585899353;53468079,0480957;0;0;0;54991482,1369629;24556,6713867188;183173,657104492;6004865,24609375;4437019,02075958;492256010,560791;1600319,78100586;98092212,6220703;935799,275129318;32943455,9490967;67921188,6843262;139459256,822433;847519521,622681;3575929,72583389;293474,999450684
"US_AZ";2471597309,14787;672562815,295212;9666695,63326263;1816223,57080078;95820772,1060429;9838029,2940731;405921627,507065;2849322,140625;1198475637,0623;41941189,829834;40145332,9442291;256311444,560784;338397775,650811;1430136,17373657;294439,236755371;46145640,3945312;0;0;0;48104612,6208496;67013,8212890625;167384,733764648;7377161,42578125;6047810,74539185;443037623,879517;1972119,78198242;161308005,413086;1275527,263237;62921842,6069336;69030320,0898438;79019385,2402344;886620281,691895;53363987,1412659;1267183,26261902
"US_CA";9535820930,83556;2154468212,10038;106608865,801214;38678759,4926958;359404393,795124;144629964,542294;2297472085,75981;33545891,1445312;5134811250,54535;102017366,391541;122418350,969563;1392306362,91368;1616742238,97874;6488176,21757507;2715595,31673431;140158326,973602;3911362,7578125;6099462,828125;17191253,4179688;182737589,199615;156328,714752197;6017053,26379395;44676827,2354527;18906520,3327446;1328595769,51513;11986353,4112105;505792591,621094;3987522,01853848;112565969,837891;227158868,258789;269887355,550293;2601539708,16856;72588896,0527267;5391470,68959045
"US_CO";2241258377,51538;273348055,076159;20393262,5038929;5750844,44847488;52071149,1507575;25881921,4298396;568173392,786401;5662655,5;951281234,96014;29143823,5423431;42860674,8544922;181225734,556919;253230242,368682;1374756,11663818;1357061,88621521;60833229,6674805;0;0;0;65277503,9988251;28149,9208984375;1684431,64068604;5613795,91943359;6082534,23914337;575161101,646606;1500623,03063965;118623390,864502;1282850,08601379;58336086,8874533;96630814,3250275;68715142,0032654;971468299,811279;37253002,1792221;2269618,26704407
"US_CT";1171763697,90323;140701619,671875;19141384,921875;7115607,33203125;32297138,9763184;139108228,289454;395478730,858398;10036337,0546875;743878909,506836;5842798,2421875;13824496,8747559;132432447,856125;152099832,426437;527912,744140625;136673,952392578;12807731,5648499;0;0;0;13724741,3890686;9295,7373046875;243123,447387695;6538159,2421875;2078659,36962891;127525246,953186;1754427,24511719;65625392,875;438404,432006836;2672394,171875;29338532,5234375;24781212,5610352;262060044,443848;802480,796142578;505444,584838867
"US_DC";141804048;13349957;34520364;3854865;1523507;30090722;18707624;0;102047008;99158,71875;2545794,25;8923181;11568142;200128,84375;25246,32421875;855667,8125;393191,40625;670659,875;9571550;12129333;38201,23828125;374668,4375;684192,0625;329119,21875;6897088,5;184066,140625;2081023,625;69413,578125;320194,375;3141980,75;1375946,375;16059590;10640,2802734375;965916,5625
"US_DE";377352748,505737;47545108,75;8582408,5234375;1862201,265625;11233607,5625;37417551,0625;126917087,5;261325,515625;233819091;3821300,9609375;5891899,1875;36469385,6307373;46182597,6307373;144011,325683594;32356,0176086426;6051337,09375;0;0;0;6230567,91015625;0;2859,58081054688;1653959,60644531;895340,52734375;42457142;441546,973999023;12316346,5;188833,616210938;16900318,5;5793184,9296875;10193764,4375;91120389;260601,337890625;19656,4230957031
"US_FL";5414365466,52173;890977273,606993;49210237,8780365;8941457,67974854;364627841,263203;176278037,216297;1491220006,19142;28250710,5625;3009505721,73367;80069824,0526123;67479293,3467002;634274170,111586;781823114,612808;2527010,46465302;610695,943328857;65458589,8657227;3595315,5;67004,408203125;0;72412944,6880951;62063,8681640625;92262,6590881348;21903823,4736328;14937404,3866081;834668153,107306;5849905,8649292;254332312,621094;3150407,37392759;14629596,1307144;234566226,981628;138514190,37793;1550627521,87737;27106769,2057991;970157,741271973
"US_GA";4311226440,96265;626723534,173425;46256226,4065576;8928377,49034882;128251438,303436;299862396,57679;1303279703,19168;10910281,4414062;2424211701,56348;35152453,2634277;24800652,7052765;382299249,418526;442252384,199165;1780642,91015625;519284,377559662;94667638,7685852;1697198,90625;2795796,25;3894656,4296875;105565560,497833;26817,8409423828;183549,603485107;7738975,33378506;8731531,16216278;771462420,619873;2067167,16908455;160203610,245117;1841542,60354233;19051906,2760773;197240581,295166;162544365,946983;1339196908,97241;7531769,15216064;783698,638122559
"US_IA";2299275641,65326;296051963,428223;11939357,187129;1718135,13459778;68123982,511673;27776879,5958633;524176047,831482;982566,2421875;930769037,05603;15510559,0185547;8095749,12982261;167846157,958374;191452458,14978;1774615,09184265;125516,971759796;84795603,4702148;0;0;0;86741654,8452606;9874,7216796875;36038,3199615479;5874261,22143555;9265306,50976562;543586789,678238;1570510,54559326;141021836,114014;1954120,15707397;59562429,2047119;127788509,031738;197549919,860168;1090312549,69818;1732655,3692627;406864,50037384
"US_ID";1096431288,02588;100270648,546631;2349951,0704155;329668,006774902;21338021,7832718;2786986,81712151;224746354,620533;17351,73828125;351838799,717131;14243259,6518555;7378405,3083725;52898416,2650566;74520046,1635208;504893,772155762;749361,460708618;33914564,2126465;0;0;0;35381399,348053;0;212588,889648438;1571038,86938477;2187651,25432587;429507704,639282;419083,690124512;69452130,2558594;461390,552459717;5698551,09059143;57400553,1618633;32334219,5375977;634690698,661377;35132942,8875732;525791,465576172
"US_IL";5158255212,351;800853398,442627;36835849,9201183;19797215,6452866;154931440,095959;239106324,921936;1576256263,46664;54406085,765625;2882187645,77866;35233888,2441406;25778846,7988434;606718581,89061;667730686,315414;5472397,74603271;1116284,92729187;172872222,290039;6076072,375;5088207,5;4419155,6875;196284697,365967;881,704406738281;1239435,42733002;13122084,8017578;9948174,8197937;806649585,834974;3504909,79919434;258696993,290771;2098141,33509827;45833703,5183105;146237312,006836;119993367,396912;1412051575,9264;2268794,3323288;3698475,73075867
"US_IN";3308219736,32617;522388914,926422;19902429,6066895;7335245,08502197;104569438,743286;155598009,58017;1044296076,0097;2548455,65625;1856638535,90353;24606765,6681728;19636667,0385437;301638065,909424;345881555,974365;1287021,00698853;999515,338516235;90210701,6677895;0;0;0;92771589,5912476;0;274342,347381592;8632852,82788086;8087562,69537354;554879850,335846;2304812,10742188;159046876,033203;1705724,13535309;97501055,9648438;93209774,2685547;86069678,1395264;1012926808,15604;974630,208557129;513960,700828552
"US_KS";2102040594,87891;221347198,584534;4909169,0990715;824006,954760551;45387005,1148901;16154496,8712387;430876944,127708;52933,84765625;719552250,864685;25750941,9555664;6524436,16903687;147568530,479225;179843927,49778;1418632,92854309;734607,449417114;96278539,9033203;0;0;0;98645839,3616943;0;214058,838500977;7255596,92089844;7405513,68486023;742979492,795654;1934540,62384033;123950387,087891;1561877,01760864;45973634,7180786;89188628,6557617;75344649,7207031;1103998819,58447;7968538,05561066;437041,948608398
"US_KY";2402377716,70312;261506343,291611;17722764,4247036;3287512,50197601;80287639,6854362;97126155,534317;719676670,849487;1114035,37744141;1180721687,91858;18047300,6982422;14357272,571476;174637021,99527;207041537,411961;1348873,50454712;248735,346244812;60629171,1708984;0;0;0;63049260,5128174;0;822617,355712891;5675073,51220131;5624247,63932037;398095743,895264;1514149,03935099;147166871,845703;1186194,28254128;102750960,608887;72213411,3438721;214634359,781448;951566284,048584;1668016,77547264;1037520,3296051
"US_LA";2025819124,30886;251815098,429535;23942933,5724182;3939054,03435898;87517947,5679991;51452511,7421455;407330304,494905;5838627,046875;831836517,190453;17787007,3310547;9254944,42959595;280933204,372093;307975236,358421;1709452,16656494;173252,902236938;60677376,7773438;0;0;0;62745690,8677979;185153,068847656;468,852966308594;26187160,7651367;9900805,48858261;380226193,491943;7000058,29870605;102557539,667969;2088147,58964658;64097483,9678345;69499196,9008789;159169332,006744;823261204,811768;2370625,69028187;164944,645446777
"US_MA";1945030973,67059;213742079,659344;44017834,9539108;18362708,046875;51189750,6176109;134415695,884766;624790385,871635;10135137,3515625;1096652648,78392;11884210,2890625;24732642,3266602;332322775,114197;368939601,508728;814143,404571533;395224,065612793;24097008,3574219;239628,42578125;1458030,5;5381682,703125;33797333,4753723;11606,1420898438;1400002,23925781;6090752,62011719;3532179,96520996;218130023,574039;1630797,22509766;95843619,8515625;744962,181182861;9802621,32714844;30730129,9580078;72963419,552002;445640750,159;2600925,86463928;3570910,08703613
"US_MD";1815056484,76953;244772692,309235;46463679,3304482;7286264,73297119;51262553,7960205;184153862,302216;596014079,726685;3296334,90625;1133249809,46265;12361446,5368652;34001012,4759216;128155464,839142;174517794,703918;1033413,2477417;721691,545776367;23026659,0078125;1033122,859375;2990023,6875;8375620,5;38282800,2228699;8920,4130859375;1093296,54272461;7311343,33105469;4218401,98645401;237986437,131104;1958106,37854004;83905507,0957031;889691,407296181;42828199,5717773;36967286,078125;48865433,0703125;469006501,160156;2483976,52399945;1592042,17614746
"US_ME";730302857,263042;46409770,4905515;4401857,68856812;1026857,49330139;16302906,2141113;14408562,7953796;189977370,96167;0;272527272,375058;7286174,35693359;7020110,72729492;74796158,1992245;89102406,7431698;391627,473503113;968944,002746582;22233295,3671875;0;0;0;23614792,3064575;1092,74743652344;19810,0952148438;1111190,02734375;1949414,81842041;184013602,31114;296483,288085938;39422808,3068848;411145,617584229;8199083,01367188;39100321,1230469;56360497,3291016;345058317,732466;14140546,8684082;53276,1268310547
"US_MI";4154289778,22667;593488324,505291;20641796,7508125;6268222,00493526;122339630,330009;101619711,348751;1368558367,11381;4105843,71875;2217022452,38718;35192516,8544922;16882978,3913689;559823218,102558;611898715,522379;1169036,97240448;1289299,17597961;73697266,6504669;0;0;0;76666383,7273941;52318,41015625;458445,217193604;7717460,64892578;6581430,07944107;788557200,661278;2059651,29699707;218018468,648438;1388070,7673707;13562931,5669556;84958537,2218933;100239805,89856;1248701835,6539;24571986,0250877;1045492,32568359
