"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3451.0988265276,800.920450687408,0,0,0,0,0,0,800.920450687408,0,52.5032242536545,776.134600639343,828.637824892998,135.461639404297,43.0699996948242,236.543937683105,0,0,0,415.075584411621,0,0,130.407773971558,566.795213580132,334.1339366436,34.7001404762268,0,119.541197240353,0,44.5876808166504,170.595260620117,1406.46495711803,5.70374691486359,0
1,5598396.5625,238088.525939941,23196.8979492188,0,108771.833496094,79248.7741699219,1245875.59863281,0,1695182.6953125,0,111198.398071289,500032.187011719,611230.543945312,11410.2795753479,9967.01040649414,62240.92578125,0,0,0,83618.2087402344,0,0,181166.157226562,133216.935058594,1341316.296875,48322.7822265625,614273.048828125,28096.4241485596,92133.4296875,225339.046875,516262.374755859,3208360.18359375,22529.894153595,5707.31005859375
2,20686415.5,1764258.09375,83869.203125,4867.373046875,889671.0546875,676410.3515625,5388701.25,0,8807784.6875,154167.734375,58644.390625,1618643.140625,1831454.640625,5533.4501953125,1698.80383300781,906717.90625,0,0,0,913950.34375,0,0,0,21372.1806640625,5580405,0,1676783.625,4507.54691314697,0,1528143.375,253293.421875,9133245.5,68732.20703125,0
3,84390019.703125,11015348.7636719,650786.907241821,25670.05859375,3972118.89416885,2283828.05456543,20607367.5268402,214392.828125,38769549.0127869,2215850.25,913826.332519531,7484811.27478027,10614477.7435303,57571.1923828125,7306.517578125,602487.4140625,0,0,0,667365.0390625,0,0,1714976,290335.197265625,18962662.8164062,456662.421875,5248336.23339844,61233.7749023438,45.8030700683594,3702088.4140625,3400394.77148438,34338678.7109375,500819.013076782,1253.05523681641
4,13613222,685620.3125,6046.0478515625,0,290296.0625,95371.765625,2861810,0,3939144,67361.9453125,17437.919921875,633229.4375,718029.5625,557.597839355469,0,409196.90625,0,0,0,409754.53125,0,0,0,53947.16796875,5599307,0,0,11377.84375,471153.78125,1672817.375,718409.25,8546291,19264.564453125,0
5,7770252.75,588000.12109375,17629.2310791016,0,257208.3984375,108361.489257812,1246224.375,0,2217423.5,108219.5234375,12942.0432128906,240250.87109375,361412.1796875,0,0,0,0,0,0,0,0,0,0,1876.43566894531,2873859.125,0,0,395.753814697266,0,1442692,819425.1875,5191419.5,53184.970703125,0
6,16436809.25,1952017.734375,7813.3095703125,0,547286.1015625,76436.7001953125,2681278.15625,0,5264830.5625,236279.5,77005.1020507812,1012316.0390625,1325600.546875,4448.181640625,0,324160.34375,0,0,0,328608.5625,0,0,0,34793.5063476562,5877226.8125,0,0,7338.19812011719,0,2770582.5,800230.00390625,9517777.875,27611.6549072266,0
7,17876703.96875,1334130.24121094,8523.1767578125,0,589841.11328125,163081.025390625,2479659.26171875,0,4575236.5390625,131315.690429688,4011.93090820312,619529.394714355,754857.004089355,14574.7288818359,0,788202.875,0,0,0,802777.625,0,0,80778.53515625,51236.2907714844,5918162.078125,21494.3193359375,3525000.5625,10806.1049194336,0,1374892.296875,697731.6015625,11743817.046875,55543.1987915039,8185.05078125
8,28992721.5,2043108.96875,47529.6298828125,0,1514734.3125,591194.765625,11396219.5,0,15592769.25,13530.8154296875,40678.01171875,1359216.25,1413425.09375,6439.15283203125,0,228420.171875,0,0,0,286581.1875,0,51721.65625,20751.34375,32928.515625,7979789.625,5521.71435546875,663198.0625,6944.86157226562,0,2063402.421875,905262.21875,11699917.5,14515.458984375,7622.3583984375
9,10273090.5,1001195.953125,1915.64025878906,0,528011.703125,60618.9716796875,2014928.0625,0,3606668.375,58250.69921875,0,229814.546875,288065.296875,0,0,0,0,0,0,0,0,0,0,9178.9345703125,4527883.375,0,0,1935.90319824219,0,1409601.109375,408560.8125,6378359.625,21198.7685546875,0
10,13564565.265625,904620.22265625,11117.2360839844,0,323745.169921875,89926.275390625,2967308.5859375,0,4296716.265625,0,11915.3776855469,337552.440429688,349467.788085938,10512.4526367188,0,380700.8515625,0,0,0,391213.2578125,0,0,50258.162109375,27219.0498046875,4841799.51171875,13373.1696777344,2143316,5740.69482421875,0,839772.80078125,568937.7421875,8527178.08984375,36763.1584243774,0
11,12121230,878963.9375,25295.68359375,0,332348.171875,78003.45703125,1573397.125,0,2888005.625,49937.19140625,9845.4951171875,525367.80078125,585150.6484375,2748.61108398438,0,497690.96875,0,0,0,500439.59375,0,0,0,17526.2810058594,6073728.75,0,0,3696.4189453125,0,1808021.3125,223512,8147628.75,21142.994140625,0
12,23831784.546875,2993673.81860352,19599.759765625,0,1292090.22753906,405079.899902344,6265024.7265625,0,10975482.6640625,636901.4375,47939.44921875,1751295.1706543,2436133.1706543,1529.45642089844,4223.32177734375,170240.326660156,0,0,0,175993.139160156,0,0,0,22809.212890625,6017400.921875,0,0,4810.626953125,0,1942974.49609375,2226747.73730469,10244161.2578125,29389.9412536621,0
13,16977740.9375,1647954.07714844,105626.9453125,0,569040.114257812,73398.1051025391,4920404.7265625,0,7316418.5234375,94390.6875,5787.90966796875,1066343.75,1166521.875,0,0,0,0,0,0,0,0,0,0,36894.64453125,6009198.03125,0,0,7781.34423828125,0,1461636.875,896980.68359375,8494828.15625,82343.3671875,0
14,25137890.1875,1696199.47265625,31372.5424804688,75.7861175537109,905959.59765625,362725.192138672,7198042.9375,0,10194378.03125,59711.326171875,44594.6461181641,1475335.68945312,1579641.36914062,13029.5190429688,0,1033264.90234375,0,0,0,1046294.30859375,0,0,22544.0380859375,36237.6782226562,7340241.96875,5998.73168945312,2888254.875,7642.78826904297,95000.890625,853421.78515625,1054021.67382812,12317559,14207.5859680176,0
15,18082090.7050781,1781098.6768074,7352.0458984375,3341.35864257812,477366.221008301,183562.655395508,2700338.44189453,0,5153066.40185547,88083.484375,115.27880859375,1256003.62061691,1344202.80811691,3583.43286132812,0,778266.375,0,0,0,781849.828125,0,0,0,20716.65234375,7754864.41210938,0,0,4369.29077148438,99722.796875,1737548.6796875,1166396.609375,10802976.2011719,19390.4416503906,0
