"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2471597352.63103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",672562590.32341,179722250.113159,287.40166965004,5982268.79441667,0,20359685.3830914,236100.316576641,2120139.23574603,0,406977761.471664,82795.5529843941,13781853.275419,1134088.77466947,41769888.5652208,0,395512.583989181
"building_commercial_innercity",9666695.82112885,475685.284029007,18020.2415643409,47881.5444747806,9949.07790570706,1104084.30610847,35781.6792649031,1394.53951117396,2043056.24369431,4896350.93946838,62.6382025911298,29377.3175753951,17307.4041610509,370403.088027954,138597.833641469,478745.123060942
"building_highrise",1816223.57080078,34740.4477319717,850.937278836966,461.207571610808,0,137116.742559433,3657.4526180625,5261.51446938515,0,1512655.12149048,0,4231.98260116577,1539.38281594217,93549.4895210266,2573.9974616766,19584.8210916519
"building_lightweight",95820788.2682927,0,1099346.37618022,1490461.22114955,0,7101355.33494854,0,0,0,72332762.1461437,0,0,0,9099206.28614551,0,4697584.5515302
"building_multifamily",9838029.50348473,484117.098221779,18339.6717859842,48730.1960486621,10125.4323701365,1123654.53940952,36415.9049896114,1419.25906228588,2079270.82799125,4983134.67003918,63.7483766531077,29898.0322020873,17614.1550819427,376968.457585841,141054.54663606,487231.150321662
"building_singlefamily",405921606.899807,78059566.1358042,10268845.6319107,11453927.8456406,0,27470584.4150829,1574909.01565875,402764.816267643,2833435.97581148,213312930.873554,127578.049808147,3958653.55465499,2544924.44571824,3862351.32865354,17865596.7531337,32185803.490128
"building_skyscraper",2849322.140625,0,0,1841.83519744873,0,76128.5808105469,16576.4358520508,0,0,2418516.046875,0,75514.6665039062,0,260745.135742188,0,0
"building",1198475554.28464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",41941189.6843262,41197542.6550293,0,0,0,0,0,743663.731027603,0,0,0,0,0,0,0,0
"other_parking",40145329.8012238,39348645.3274536,0,0,0,0,0,796724.40204525,0,0,0,0,0,0,0,0
"other_remaining_impervious",256311498.308549,251224965.80227,0,0,0,0,0,5086752.15426566,0,0,0,0,0,0,0,0
"other",338397861.710832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1430136.17910767,0,0,0,0,0,0,0,0,109225.147037506,0,0,0,1320911.09289551,0,0
"rail_other",294439.232849121,19141.5984725952,0,0,0,0,0,0,0,266615.18963623,478.540217280388,0,0,8203.54666137695,0,0
"rail_railway",46145639.4775391,43608119.0791016,0,0,0,0,0,0,0,271787.073887825,0,0,0,930863.370075226,0,1335143.38024521
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",67013.8212890625,4356.59899902344,0,0,0,0,0,0,0,60681.212890625,108.914974212646,0,0,1867.1149597168,0,0
"rail_tunnel",167384.733764648,0,0,0,0,0,0,0,0,161303.575561523,0,0,0,6081.14508533478,0,0
"rail",48104610.7976074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7377161.66943359,0,0,0,0,0,0,0,0,6855284.04211426,0,0,0,521876.257957458,0,0
"street_bridge_other",6047810.77688575,0,0,0,0,0,0,0,0,5472964.21816516,0,0,0,574848.109949321,0,0
"street_local",443037588.86039,428691518.443764,0,0,0,0,0,5041360.98537344,0,9304276.18900919,0,0,0,0,0,0
"street_motorway",161307998.407227,131191076.510742,0,0,0,0,0,1629209.38199234,0,28487735.036377,0,0,0,0,0,0
"street_motorway_elevated",1972119.79855347,1873514.85202026,0,0,0,0,0,98606.0809679031,0,0,0,0,0,0,0,0
"street_other_elevated",1275527.24854553,1211750.73796207,0,0,0,0,0,63776.3663604651,0,0,0,0,0,0,0,0
"street_primary",62921842.0404968,55211293.3473511,0,0,0,0,0,872821.615521908,0,6837450.37509537,0,0,0,0,0,0
"street_secondary",69030316.7368164,62639064.2957611,0,0,0,0,0,980797.662425995,0,5409357.26673603,0,0,0,0,0,0
"street_tertiary",79019385.6784973,74029945.7357178,0,0,0,0,0,1102459.87844276,0,3887166.66571426,0,0,0,0,0,0
"street_track",53363989.4801917,52974405.2246999,0,0,0,0,0,136930.201591583,0,252717.855962117,0,0,0,0,0,0
"street_tunnel",1267183.26237488,0,0,0,0,0,0,0,0,1221146.65304565,0,0,0,46037.2435464859,0,0
"street",886620433.045341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
