"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";9535815629,86079;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";2154468176,79475;575717965,454392;920,655614961166;19163432,0917505;0;65219742,1468149;756318,451853211;6791597,10416442;0;1303700893,05875;265225,423075548;44148518,0286671;3632904,52475265;133804569,516755;0;1266974,94103005
"building_commercial_innercity";106608869,522985;5246080,57117712;198735,687372995;528060,131663311;109723,173475005;12176360,1521747;394617,041775505;15379,6431057808;22531775,5973646;53999208,242976;690,803691161596;323986,73031933;190873,888575265;4084975,6030469;1528522,17785353;5279827,1812133
"building_highrise";38678759,1401567;739841,675889164;18121,7787089446;9821,99451932171;0;2920072,45539099;77890,0267483592;112050,598527588;0;32213893,5918121;0;90125,3499907479;32783,0957462429;1992253,25204176;54816,508527087;417083,298170559
"building_lightweight";359404262,920278;0;4123422,96310708;5590419,90173151;0;26635750,5827001;0;0;0;271305718,36615;0;0;0;34129265,3829966;0;17619716,4605064
"building_multifamily";144629977,200191;7117042,93260479;269613,01709789;716388,156661212;148854,905591704;16518967,3485084;535353,622908503;20864,6514842878;30567525,3262978;73257536,5494728;937,171474001603;439533,628605798;258947,342365675;5541842,82752824;2073655,57989854;7162831,80606771
"building_singlefamily";2297472378,29482;339296834,846193;62408770,2421405;78094769,3503101;0;151037273,247157;9069913,69415691;1792086,67759767;4269145,7536155;1324963120,5498;638357,569776837;24749666,3771514;15112956,3597588;31905631,1515446;93509439,1601794;160624854,239559
"building_skyscraper";33545891,1445312;0;0;21684,4567222595;0;896283,879394531;195159,147399902;0;0;28473885,6679688;0;889056,023803711;0;3069827,17626953;0;0
"building";5134809398,80384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";102017372,895508;100208500,779053;0;0;0;0;0;1808880,59364319;0;0;0;0;0;0;0;0
"other_parking";122418354,856941;119988877,617096;0;0;0;0;0;2429515,86572444;0;0;0;0;0;0;0;0
"other_remaining_impervious";1392306212,48757;1364673525,63003;0;0;0;0;0;27631711,8340442;0;0;0;0;0;0;0;0
"other";1616742544,95878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";6488176,22904968;0;0;0;0;0;0;0;0;495527,661158562;0;0;0;5992649,38943481;0;0
"rail_other";2715595,23463821;176539,691060781;0;0;0;0;0;0;0;2458978,18637466;4413,5357632041;0;0;75659,8382330537;0;0
"rail_railway";140158316,720413;132450284,138596;0;0;0;0;0;0;0;825493,76107657;0;0;0;2827300,75169206;0;4055212,67108107
"rail_subway";17191253,3554688;0;0;0;0;0;5752,95423173904;0;0;16378179,0703125;9358,95602893829;0;0;797947,641357422;0;0
"rail_subway_elevated";3911362,8515625;309902,040161133;0;0;0;0;4577,38349151611;0;0;3339796,140625;5454,67298698425;0;0;251637,197998047;0;0
"rail_subway_surface";6099462,8359375;864626,715820312;0;0;0;0;9354,84396362305;0;0;4720498,5234375;15218,5660247803;0;0;489775,209472656;0;0
"rail_tram";156328,714752197;10162,9962091446;0;0;0;0;0;0;0;141556,120300293;254,074779808521;0;0;4355,57317447662;0;0
"rail_tunnel";6017053,12878418;0;0;0;0;0;0;0;0;5798449,3017807;0;0;0;218601,530929327;0;0
"rail";182737602,85516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";44676822,9643555;0;0;0;0;0;0;0;0;41516262,9846191;0;0;0;3160535,12554932;0;0
"street_bridge_other";18906521,3049545;0;0;0;0;0;0;0;0;17109442,7829514;0;0;0;1797076,28872633;0;0
"street_local";1328595694,57428;1285550194,8405;0;0;0;0;0;15127068,9751085;0;27918376,0716968;0;0;0;0;0;0
"street_motorway";505792594,233269;411358067,188568;0;0;0;0;0;5108504,78530264;0;89325351,9719257;0;0;0;0;0;0
"street_motorway_elevated";11986354,1276855;11387032,1183472;0;0;0;0;0;599317,211380005;0;0;0;0;0;0;0;0
"street_other_elevated";3987521,91483784;3788146,0385561;0;0;0;0;0;199376,078902245;0;0;0;0;0;0;0;0
"street_primary";112565971,106567;98772514,4145508;0;0;0;0;0;1561462,30101776;0;12232083,1104507;0;0;0;0;0;0
"street_secondary";227158926,569321;206130051,838562;0;0;0;0;0;3227543,19190216;0;17800740,4660149;0;0;0;0;0;0
"street_tertiary";269887358,871567;252845420,855659;0;0;0;0;0;3765397,31217963;0;13276490,6225033;0;0;0;0;0;0
"street_track";72588891,4698615;72058352,8315578;0;0;0;0;0;186456,465906959;0;344123,69230026;0;0;0;0;0;0
"street_tunnel";5391470,56152344;0;0;0;0;0;0;0;0;5195597,71620178;0;0;0;195874,008071423;0;0
"street";2601539121,08254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
