"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",9535820930.83556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",2154468212.10038,575718046.965103,920.65558439823,19163432.7828069,0,65219730.5761811,756318.248052077,6791595.48867022,0,1303700975.24813,265225.348967455,44148513.2913252,3632905.69567852,133804597.426994,0,1266974.64855118
"building_commercial_innercity",106608865.801214,5246080.69765723,198735.69057591,528060.144545544,109723.173607447,12176360.1355998,394617.03210787,15379.6433924717,22531775.6018812,53999208.1570385,690.803760232669,323986.722023198,190873.891184876,4084975.62056399,1528522.09728998,5279827.22838204
"building_highrise",38678759.4926958,739841.675889164,18121.7788291075,9821.99451884488,0,2920072.46332556,77890.0267407298,112050.598527588,0,32213893.5918121,0,90125.3514822945,32783.095388615,1992253.32253736,54816.508527087,417083.296217434
"building_lightweight",359404393.795124,0,4123423.27937146,5590418.59247047,0,26635745.7391773,0,0,0,271305701.423588,0,0,0,34129279.1537013,0,17619719.7788596
"building_multifamily",144629964.542294,7117042.76066494,269613.01042527,716388.21675247,148854.925379492,16518966.4481559,535353.683764368,20864.6508547659,30567524.1297951,73257533.9859962,937.171500201104,439533.675369933,258947.394731335,5541841.9719317,2073655.59300584,7162831.30922246
"building_singlefamily",2297472085.75981,339296935.354642,62408772.8842732,78094777.5991146,0,151037273.935611,9069913.96044705,1792086.62716283,4269146.03988463,1324963110.76796,638357.68288576,24749663.201416,15112955.2905434,31905629.7397777,93509481.9533722,160624899.353648
"building_skyscraper",33545891.1445312,0,0,21684.4567222595,0,896283.877441406,195159.147399902,0,0,28473885.6679688,0,889056.019897461,0,3069827.19287109,0,0
"building",5134811250.54535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",102017366.391541,100208498.121582,0,0,0,0,0,1808880.60062599,0,0,0,0,0,0,0,0
"other_parking",122418350.969563,119988876.630276,0,0,0,0,0,2429515.7509104,0,0,0,0,0,0,0,0
"other_remaining_impervious",1392306362.91368,1364673836.469,0,0,0,0,0,27631701.4671156,0,0,0,0,0,0,0,0
"other",1616742238.97874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",6488176.21757507,0,0,0,0,0,0,0,0,495527.667998314,0,0,0,5992649.47567749,0,0
"rail_other",2715595.31673431,176539.699069023,0,0,0,0,0,0,0,2458978.20256042,4413.5357478112,0,0,75659.8340785503,0,0
"rail_railway",140158326.973602,132450288.526611,0,0,0,0,0,0,0,825493.810302734,0,0,0,2827300.81365967,0,4055212.28808975
"rail_subway",17191253.4179688,0,0,0,0,0,5752.95411014557,0,0,16378178.9472656,9358.95603084564,0,0,797947.645263672,0,0
"rail_subway_elevated",3911362.7578125,309902.024536133,0,0,0,0,4577.38367462158,0,0,3339796.234375,5454.67280006409,0,0,251637.192016602,0,0
"rail_subway_surface",6099462.828125,864626.73046875,0,0,0,0,9354.84408569336,0,0,4720498.4609375,15218.5656738281,0,0,489775.209472656,0,0
"rail_tram",156328.714752197,10162.9962701797,0,0,0,0,0,0,0,141556.121276855,254.074779808521,0,0,4355.57317447662,0,0
"rail_tunnel",6017053.26379395,0,0,0,0,0,0,0,0,5798449.34450531,0,0,0,218601.523032904,0,0
"rail",182737589.199615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",44676827.2354527,0,0,0,0,0,0,0,0,41516261.0295658,0,0,0,3160534.93254232,0,0
"street_bridge_other",18906520.3327446,0,0,0,0,0,0,0,0,17109441.3347588,0,0,0,1797076.26899314,0,0
"street_local",1328595769.51513,1285550232.33407,0,0,0,0,0,15127072.409857,0,27918383.2952813,0,0,0,0,0,0
"street_motorway",505792591.621094,411358065.763672,0,0,0,0,0,5108504.72338104,0,89325354.1112061,0,0,0,0,0,0
"street_motorway_elevated",11986353.4112105,11387032.1034551,0,0,0,0,0,599317.21893394,0,0,0,0,0,0,0,0
"street_other_elevated",3987522.01853848,3788146.22456455,0,0,0,0,0,199376.057715386,0,0,0,0,0,0,0,0
"street_primary",112565969.837891,98772513.9013672,0,0,0,0,0,1561462.27952576,0,12232083.2388916,0,0,0,0,0,0
"street_secondary",227158868.258789,206130040.469727,0,0,0,0,0,3227542.66256714,0,17800740.5708618,0,0,0,0,0,0
"street_tertiary",269887355.550293,252845375.213623,0,0,0,0,0,3765397.66942215,0,13276491.4200592,0,0,0,0,0,0
"street_track",72588896.0527267,72058350.384407,0,0,0,0,0,186456.475007355,0,344123.697732627,0,0,0,0,0,0
"street_tunnel",5391470.68959045,0,0,0,0,0,0,0,0,5195597.74153137,0,0,0,195874.009105206,0,0
"street",2601539708.16856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
