"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2241258906,23904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";273348111,412215;73044103,4527507;116,808033917473;2431358,54953501;0;8274747,59220827;95957,7710860865;861682,719722234;0;165407034,398263;33650,4323828091;5601332,59014347;460924,213753995;16976438,7567422;0;160747,206701788
"building_commercial_innercity";20393261,1015491;1003525,96996999;38016,2598212585;101012,918287419;20989,0063365214;2329223,51307559;75486,4849326462;2941,97912167362;4310117,23896503;10329535,0441761;132,144160546173;61975,5876857713;36512,3916642554;781417,283577561;292391,843414545;1009980,08185685
"building_highrise";5750843,85472488;110001,377789557;2694,38693480752;1460,35705716908;0;434163,21390152;11580,8733967468;16659,9370809942;0;4789638,58796692;0;13400,0455192477;4874,26561436802;296212,926370382;8150,24486752599;62012,9261296988
"building_lightweight";52071160,2452595;0;597409,871592754;809950,003167285;0;3859040,77424175;0;0;0;39307268,026909;0;0;0;4944718,05506516;0;2552778,32907753
"building_multifamily";25881924,9550776;1273614,84448469;48247,986576681;128199,543600854;26638,0059087153;2956111,91537806;95803,0458051218;3733,78713257992;5470146,21483797;13109639,7522914;167,709533522106;78655,7739559095;46339,347449448;991728,404973157;371086,307287384;1281807,7469819
"building_singlefamily";568173441,880578;119991741,31673;7601649,90472915;9237153,60183342;0;55330191,0401164;1507033,80199611;271133,765262555;71962747,5485139;242468534,314664;150074,937406367;2602992,01518816;2807968,09425272;3821649,96984277;15608496,3615963;34811883,0597125
"building_skyscraper";5662655,3984375;0;0;3660,40503501892;0;151295,530639648;32943,4919281006;0;0;4806483,5078125;0;150075,489746094;0;518196,747070312;0;0
"building";951281316,021437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";29143823,5989838;28627069,7282562;0;0;0;0;0;516752,436929703;0;0;0;0;0;0;0;0
"other_parking";42860666,7354736;42010071,3178406;0;0;0;0;0;850613,275483608;0;0;0;0;0;0;0;0
"other_remaining_impervious";181225803,040948;177629214,688304;0;0;0;0;0;3596604,27609707;0;0;0;0;0;0;0;0
"other";253230316,006055;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1374756,18325806;0;0;0;0;0;0;0;0;104995,544636726;0;0;0;1269760,33293152;0;0
"rail_other";1357061,92112732;88223,1839494705;0;0;0;0;0;0;0;1228828,46636963;2205,5752594918;0;0;37809,7796823978;0;0
"rail_railway";60833221,4293213;57487734,03302;0;0;0;0;0;0;0;358290,673797965;0;0;0;1227140,6297884;0;1760094,98190308
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";28149,9208984375;1830,03973388672;0;0;0;0;0;0;0;25489,826171875;45,7509880065918;0;0;784,302154541016;0;0
"rail_tunnel";1684431,73052979;0;0;0;0;0;0;0;0;1623237,90649414;0;0;0;61196,0095357895;0;0
"rail";65277498,5995636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";5613796,58349609;0;0;0;0;0;0;0;0;5216662,24560547;0;0;0;397132,046844482;0;0
"street_bridge_other";6082533,86220551;0;0;0;0;0;0;0;0;5504385,85134125;0;0;0;578148,464926243;0;0
"street_local";575161165,798931;556895894,937488;0;0;0;0;0;6418554,18722983;0;11846001,1201669;0;0;0;0;0;0
"street_motorway";118623399,729004;96475792,2778931;0;0;0;0;0;1198094,53354359;0;20949430,7964401;0;0;0;0;0;0
"street_motorway_elevated";1500622,94177246;1425592,02612305;0;0;0;0;0;75031,1702423096;0;0;0;0;0;0;0;0
"street_other_elevated";1282850,0500946;1218707,8873558;0;0;0;0;0;64142,5059272051;0;0;0;0;0;0;0;0
"street_primary";58336084,9157104;51187743,4364014;0;0;0;0;0;809210,882445335;0;6339149,72520447;0;0;0;0;0;0
"street_secondary";96630774,813385;87685292,0085449;0;0;0;0;0;1372953,16255665;0;7572192,68386459;0;0;0;0;0;0
"street_tertiary";68715139,0888977;64376181,3067284;0;0;0;0;0;958694,02298528;0;3380287,9070785;0;0;0;0;0;0
"street_track";37253008,8338726;37010248,0690475;0;0;0;0;0;85274,7007254856;0;157381,981708683;0;0;0;0;0;0
"street_tunnel";2269618,30192566;0;0;0;0;0;0;0;0;2187162,63365173;0;0;0;82456,0279874802;0;0
"street";971468284,00003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
