"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2241258377.51538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",273348055.076159,73044123.8197627,116.808013765168,2431358.80091101,0,8274745.97940102,95957.7897439729,861682.669115044,0,165407013.80898,33650.4293261449,5601331.51274183,460924.071037624,16976441.6292198,0,160747.222901881
"building_commercial_innercity",20393262.5038929,1003525.48779225,38016.2658675537,101012.936124943,20989.000053715,2329222.85072207,75486.4857871383,2941.97912548832,4310117.94013691,10329537.5754261,132.144133083333,61975.5980007127,36512.3934037574,781417.401466966,292391.922699213,1009980.70673478
"building_highrise",5750844.44847488,110001.375836432,2694.38679747842,1460.35715253651,0,434163.197788239,11580.8722218201,16659.9380575567,0,4789638.39265442,0,13400.0465873629,4874.26525197178,296212.887307882,8150.24520321935,62012.9113591909
"building_lightweight",52071149.1507575,0,597409.868116052,809950.019197186,0,3859040.54602027,0,0,0,39307277.7472083,0,0,0,4944719.03671712,0,2552778.78480138
"building_multifamily",25881921.4298396,1273615.08272016,48247.9922043132,128199.561257657,26637.9964305039,2956111.94539973,95803.0166580928,3733.78749225297,5470144.20266908,13109642.0432155,167.709532540492,78655.7659954708,46339.3531657122,991728.440512784,371086.363700081,1281807.8441823
"building_singlefamily",568173392.786401,119991742.969386,7601652.118539,9237154.13688512,0,55330198.9879428,1507033.28530288,271133.90616776,71962750.1898351,242468444.993951,150074.924945338,2602991.60607275,2807967.52890249,3821650.79578856,15608500.4261531,34811883.0609379
"building_skyscraper",5662655.5,0,0,3660.4052734375,0,151295.546875,32943.4921875,0,0,4806483.5,0,150075.484375,0,518196.75,0,0
"building",951281234.96014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",29143823.5423431,28627069.5544281,0,0,0,0,0,516752.432291031,0,0,0,0,0,0,0,0
"other_parking",42860674.8544922,42010064.5491028,0,0,0,0,0,850613.225282192,0,0,0,0,0,0,0,0
"other_remaining_impervious",181225734.556919,177629212.621431,0,0,0,0,0,3596604.90239204,0,0,0,0,0,0,0,0
"other",253230242.368682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1374756.11663818,0,0,0,0,0,0,0,0,104995.54046917,0,0,0,1269760.34562683,0,0
"rail_other",1357061.88621521,88223.1891222,0,0,0,0,0,0,0,1228828.5027771,2205.57534818351,0,0,37809.7862303257,0,0
"rail_railway",60833229.6674805,57487732.3984375,0,0,0,0,0,0,0,358290.679029465,0,0,0,1227140.61733246,0,1760094.97884369
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",28149.9208984375,1830.03973388672,0,0,0,0,0,0,0,25489.826171875,45.7509880065918,0,0,784.302154541016,0,0
"rail_tunnel",1684431.64068604,0,0,0,0,0,0,0,0,1623237.8996582,0,0,0,61196.0036153793,0,0
"rail",65277503.9988251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",5613795.91943359,0,0,0,0,0,0,0,0,5216662.50439453,0,0,0,397132.068084717,0,0
"street_bridge_other",6082534.23914337,0,0,0,0,0,0,0,0,5504385.66855621,0,0,0,578148.49926424,0,0
"street_local",575161101.646606,556896027.540283,0,0,0,0,0,6418555.5083437,0,11846001.4997473,0,0,0,0,0,0
"street_motorway",118623390.864502,96475845.7174683,0,0,0,0,0,1198094.42890072,0,20949428.6038742,0,0,0,0,0,0
"street_motorway_elevated",1500623.03063965,1425591.98217773,0,0,0,0,0,75031.1717681885,0,0,0,0,0,0,0,0
"street_other_elevated",1282850.08601379,1218707.89686966,0,0,0,0,0,64142.5155273676,0,0,0,0,0,0,0,0
"street_primary",58336086.8874533,51187741.3252874,0,0,0,0,0,809210.867528445,0,6339149.37722412,0,0,0,0,0,0
"street_secondary",96630814.3250275,87685275.4140015,0,0,0,0,0,1372953.21670318,0,7572193.6950798,0,0,0,0,0,0
"street_tertiary",68715142.0032654,64376180.9293365,0,0,0,0,0,958694.094827652,0,3380288.14173889,0,0,0,0,0,0
"street_track",37253002.1792221,37010247.0215988,0,0,0,0,0,85274.6971855164,0,157382.012653828,0,0,0,0,0,0
"street_tunnel",2269618.26704407,0,0,0,0,0,0,0,0,2187162.64280701,0,0,0,82456.031870842,0,0
"street",971468299.811279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
