"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1171763697,90323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";140701619,671875;37598319,0605469;60,1250429116189;1251503,25964355;0;4259297,87207031;49392,7490844727;443537,624542236;0;85140599,7695312;17321,0434589386;2883198,60205078;237253,547134399;8738351,83349609;0;82742,1310195923
"building_commercial_innercity";19141384,921875;941922,696289062;35682,5747833252;94812,063079834;19700,5573501587;2186239,65527344;70852,6945800781;2761,38125991821;4045532,9609375;9695446,12109375;124,032274544239;58171,1390838623;34271,0301361084;733448,630371094;274442,857543945;947981,517578125
"building_highrise";7115607,33203125;136106,271652222;3333,80491828918;1806,9207662344;0;537196,488311768;14329,1822948456;20613,5804786682;0;5926285,31591797;0;16580,074511528;6030,99822092056;366508,578613281;10084,4180727005;76729,4938049316
"building_lightweight";32297138,9763184;0;370543,452736855;502371,493627548;0;2393570,38484573;0;0;0;24380332,1139526;0;0;0;3066960,85420609;0;1583359,86166763
"building_multifamily";139108228,289454;6845333,61387233;259319,468417896;689037,454094261;143171,892786554;15888302,6849738;514915,096051156;20068,0798798957;29400522,963267;70460684,0251328;901,39238398144;422753,115580715;249061,436746824;5330267,49474233;1994487,37292715;6889366,54262814
"building_singlefamily";395478730,858398;83498457,1329346;5271509,08575439;6409811,29447937;6,5409867214039;38626347,7957153;1046222,80274963;189447,085752726;50244483,6131592;168639739,865234;104271,477380395;1804203,02475929;1952728,88993645;2662268,04385757;10840156,8503571;24189183,6890869
"building_skyscraper";10036337,0546875;0;0;6487,60485839844;0;268152,233154297;58388,153137207;0;0;8518881,3671875;0;265989,794189453;0;918437,987304688;0;0
"building";743878909,506836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";5842798,2421875;5739196,8125;0;0;0;0;0;103599,294311523;0;0;0;0;0;0;0;0
"other_parking";13824496,8747559;13550134,8331299;0;0;0;0;0;274360,946145058;0;0;0;0;0;0;0;0
"other_remaining_impervious";132432447,856125;129804162,136051;0;0;0;0;0;2628256,00767004;0;0;0;0;0;0;0;0
"other";152099832,426437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";527912,744140625;0;0;0;0;0;0;0;0;40318,795085907;0;0;0;487594,282287598;0;0
"rail_other";136673,952392578;8885,24355316162;0;0;0;0;0;0;0;123758,73059082;222,130843758583;0;0;3807,95818710327;0;0
"rail_railway";12807731,5648499;12103367,4084015;0;0;0;0;0;0;0;75433,9243311584;0;0;0;258360,038151026;0;370567,609096289
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";9295,7373046875;604,320007324219;0;0;0;0;0;0;0;8417,3134765625;15,1080007553101;0;0;258,994232177734;0;0
"rail_tunnel";243123,447387695;0;0;0;0;0;0;0;0;234290,690917969;0;0;0;8832,75886154175;0;0
"rail";13724741,3890686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";6538159,2421875;0;0;0;0;0;0;0;0;6075636,1875;0;0;0;462523,798339844;0;0
"street_bridge_other";2078659,36962891;0;0;0;0;0;0;0;0;1881083,34619141;0;0;0;197577,906768799;0;0
"street_local";127525246,953186;123447574,971191;0;0;0;0;0;1432976,86998081;0;2644682,55150986;0;0;0;0;0;0
"street_motorway";65625392,875;53372786,0625;0;0;0;0;0;662815,936523438;0;11589747,4453125;0;0;0;0;0;0
"street_motorway_elevated";1754427,24511719;1666706,30273438;0;0;0;0;0;87721,4241333008;0;0;0;0;0;0;0;0
"street_other_elevated";438404,432006836;416484,076599121;0;0;0;0;0;21920,2203559875;0;0;0;0;0;0;0;0
"street_primary";2672394,171875;2344920,35742188;0;0;0;0;0;37070,0979003906;0;290397,570068359;0;0;0;0;0;0
"street_secondary";29338532,5234375;26622512,9609375;0;0;0;0;0;416852,245361328;0;2299040,24365234;0;0;0;0;0;0
"street_tertiary";24781212,5610352;23216457,1311035;0;0;0;0;0;345741,292211533;0;1219056,07946777;0;0;0;0;0;0
"street_track";802480,796142578;797073,381713867;0;0;0;0;0;1899,91000509262;0;3506,47015714645;0;0;0;0;0;0
"street_tunnel";505444,584838867;0;0;0;0;0;0;0;0;487081,695922852;0;0;0;18362,9774703979;0;0
"street";262060044,443848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
