"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",1.66306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",1663060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",1663.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",1663060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",163992000,35901800,2588430,1276880,0,4345670,50392,323114,0,85858000,17672.6,2941670,242063,30274400,0,171612
"building_commercial_innercity",22993900,962704,132246,112296,20100.8,1633460,133255,1391250,4127700,12036900,126.709,80047.7,0,977177,280018,1106630
"building_highrise",8691910,1772860,828.13,0,1582.91,709884,0,0,0,5489720,6067.81,14458,3619.32,282556,0,410344
"building_lightweight",33263300,0,754599,511531,0,2437210,0,0,0,24824900,0,0,0,3122880,0,1612230
"building_multifamily",166983000,6991200,960374,815498,145973,11862300,967703,10103300,29975600,87412200,920.166,581310,0,7096300,2033500,8036360
"building_singlefamily",476278000,84701700,12441700,12182600,6.66617,53943000,1215460,1098.07,63037400,198688000,151741,2897790,2463700,4646830,10639500,29266600
"building_skyscraper",10241600,0,0,6620.26,0,273638,59582.4,0,0,8693150,0,271431,0,937226,0,0
"other_airport",8915650,8804170,0,0,0,0,0,111482,0,0,0,0,0,0,0,0
"other_parking",43407600,42864900,0,0,0,0,0,542774,0,0,0,0,0,0,0,0
"other_remaining_impervious",429428000,424058000,0,0,0,0,0,5369610,0,0,0,0,0,0,0,0
"rail_bridge",538432,0,0,0,0,0,0,0,0,41122.2,0,0,0,497309,0,0
"rail_other",139588,9074.68,0,0,0,0,0,0,0,126397,226.867,0,0,3889.15,0,0
"rail_railway",13067000,12348400,0,0,0,0,0,0,0,76961.2,0,0,0,263591,0,378070
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",9460.63,615.04,0,0,0,0,0,0,0,8566.63,15.376,0,0,263.589,0,0
"rail_tunnel",247939,0,0,0,0,0,0,0,0,238931,0,0,0,9007.7,0,0
"street_bridge_motorway",6670740,0,0,0,0,0,0,0,0,6198840,0,0,0,471903,0,0
"street_bridge_other",2118980,0,0,0,0,0,0,0,0,1917570,0,0,0,201410,0,0
"street_local",147166000,143018000,0,0,0,0,0,1450740,0,2697240,0,0,0,0,0,0
"street_motorway",66850500,54355700,0,0,0,0,0,671237,0,11823600,0,0,0,0,0,0
"street_motorway_elevated",1785990,1696690,0,0,0,0,0,89299.3,0,0,0,0,0,0,0,0
"street_other_elevated",446908,424563,0,0,0,0,0,22345.4,0,0,0,0,0,0,0,0
"street_primary",2721170,2387320,0,0,0,0,0,37546.5,0,296300,0,0,0,0,0,0
"street_secondary",29868600,27101000,0,0,0,0,0,422154,0,2345460,0,0,0,0,0,0
"street_tertiary",25227400,23633700,0,0,0,0,0,350103,0,1243540,0,0,0,0,0,0
"street_track",1488890,1483390,0,0,0,0,0,1925.8,0,3580.46,0,0,0,0,0,0
"street_tunnel",515252,0,0,0,0,0,0,0,0,496532,0,0,0,18719.3,0,0
"building",882443000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",481751000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",14002400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",284860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
