"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";141804048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";13349957;3567383,5;5,70474767684937;118744,296875;0;404128,0625;4686,45458984375;42083,5078125;0;8078273,5;1643,44323730469;273561,84375;22510,970703125;829107,6875;0;7850,68212890625
"building_commercial_innercity";34520364;1698705;64351,41796875;170988,21875;35528,76953125;3942756,5;127778,640625;4979,9853515625;7295878,5;17485174;223,685195922852;104908,25;61805,80078125;1322731,625;494942;1709629,875
"building_highrise";3854865;73735,2890625;1806,08227539062;978,895874023438;0;291024,96875;7762,80517578125;11167,36328125;0;3210552,25;0;8982,2236328125;3267,2822265625;198555,390625;5463,21240234375;41568,046875
"building_lightweight";1523507;0;17479,130859375;23697,65625;0;112908,65625;0;0;0;1150058,75;0;0;0;144673,25;0;74689,75
"building_multifamily";30090722;1480723,25;56093,7890625;149046,703125;30969,740234375;3436815,25;111381,8828125;4340,9501953125;6359666;15241464;194,981491088867;91446,2109375;53874,796875;1152996,75;431429,59375;1490249,25
"building_singlefamily";18707624;2172514;357967,84375;411324,34375;197,421096801758;3502918,5;38671,8515625;61033,9453125;0;9825780;2194,27709960938;159719,890625;117180,46875;356027,5625;756117,1875;945963,875
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";102047008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";99158,71875;97400,5234375;0;0;0;0;0;1758,19409179688;0;0;0;0;0;0;0;0
"other_parking";2545794,25;2495271,25;0;0;0;0;0;50523,8359375;0;0;0;0;0;0;0;0
"other_remaining_impervious";8923181;8746118;0;0;0;0;0;177089,453125;0;0;0;0;0;0;0;0
"other";11568142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";200128,84375;0;0;0;0;0;0;0;0;15284,6220703125;0;0;0;184844,390625;0;0
"rail_other";25246,32421875;1641,28247070312;0;0;0;0;0;0;0;22860,685546875;41,0320434570312;0;0;703,404602050781;0;0
"rail_railway";855667,8125;808611,9375;0;0;0;0;0;0;0;5039,65087890625;0;0;0;17260,748046875;0;24757,173828125
"rail_subway";9571550;0;0;0;0;0;3203,07177734375;0;0;9118862;5210,77294921875;0;0;444272,5;0;0
"rail_subway_elevated";393191,40625;31152,986328125;0;0;0;0;460,142547607422;0;0;335733,6875;548,332336425781;0;0;25295,78515625;0;0
"rail_subway_surface";670659,875;95068,90625;0;0;0;0;1028,59936523438;0;0;519037,09375;1673,33471679688;0;0;53852,4609375;0;0
"rail_tram";38201,23828125;2483,48095703125;0;0;0;0;0;0;0;34591,3125;62,0870056152344;0;0;1064,34851074219;0;0
"rail_tunnel";374668,4375;0;0;0;0;0;0;0;0;361056,53125;0;0;0;13611,83984375;0;0
"rail";12129333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";684192,0625;0;0;0;0;0;0;0;0;635790,5625;0;0;0;48401,22265625;0;0
"street_bridge_other";329119,21875;0;0;0;0;0;0;0;0;297836,21875;0;0;0;31282,966796875;0;0
"street_local";6897088,5;6676351,5;0;0;0;0;0;77572,6171875;0;143166,9375;0;0;0;0;0;0
"street_motorway";2081023,625;1692487;0;0;0;0;0;21018,302734375;0;367518,75;0;0;0;0;0;0
"street_motorway_elevated";184066,140625;174862,953125;0;0;0;0;0;9203,3134765625;0;0;0;0;0;0;0;0
"street_other_elevated";69413,578125;65942,8671875;0;0;0;0;0;3470,67846679688;0;0;0;0;0;0;0;0
"street_primary";320194,375;280958,53125;0;0;0;0;0;4441,58056640625;0;34794,203125;0;0;0;0;0;0
"street_secondary";3141980,75;2851118,75;0;0;0;0;0;44642,3671875;0;246213,328125;0;0;0;0;0;0
"street_tertiary";1375946,375;1289062,5;0;0;0;0;0;19196,880859375;0;67686,5078125;0;0;0;0;0;0
"street_track";10640,2802734375;10567,4560546875;0;0;0;0;0;25,5879745483398;0;47,2251014709473;0;0;0;0;0;0
"street_tunnel";965916,5625;0;0;0;0;0;0;0;0;930823,6875;0;0;0;35092,0859375;0;0
"street";16059590;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
