"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",0.185975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",185975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",185.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",185975000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",15555000,3405380,245519,121116,0,412198,4779.81,30648.3,0,8143860,1676.29,279025,22960.3,2871610,0,16277.8
"building_commercial_innercity",41457400,1735730,238436,202467,36241.3,2945090,240255,2508390,7442150,21702200,228.453,144324,0,1761820,504864,1995220
"building_highrise",4708000,960273,448.559,0,857.387,384510,0,0,0,2973520,3286.65,7831.2,1960.41,153048,0,222264
"building_lightweight",1565860,0,35522.5,24080.1,0,114731,0,0,0,1168620,0,0,0,147008,0,75895.2
"building_multifamily",36115100,1512060,207710,176377,31571.2,2565580,209296,2185150,6483140,18905600,199.014,125726,0,1534790,439807,1738110
"building_singlefamily",20120300,1662060,1000170,483192,201.299,3649890,45456.4,33158.5,0,10409400,2440.39,179469,130798,373554,1001560,1148980
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other_airport",151461,149567,0,0,0,0,0,1893.88,0,0,0,0,0,0,0,0
"other_parking",7986970,7887100,0,0,0,0,0,99869.9,0,0,0,0,0,0,0,0
"other_remaining_impervious",28658200,28299800,0,0,0,0,0,358345,0,0,0,0,0,0,0,0
"rail_bridge",204078,0,0,0,0,0,0,0,0,15586.2,0,0,0,188491,0,0
"rail_other",25760.8,1674.72,0,0,0,0,0,0,0,23326.5,41.868,0,0,717.737,0,0
"rail_railway",872864,824861,0,0,0,0,0,0,0,5140.93,0,0,0,17607.6,0,25254.7
"rail_subway",9762300,0,0,0,0,0,3266.9,0,0,9300590,5314.62,0,0,453126,0,0
"rail_subway_elevated",400897,31763.6,0,0,0,0,469.161,0,0,342314,559.08,0,0,25791.6,0,0
"rail_subway_surface",683962,96954.6,0,0,0,0,1049,0,0,529332,1706.53,0,0,54920.6,0,0
"rail_tram",38876.8,2527.4,0,0,0,0,0,0,0,35203.1,63.185,0,0,1083.17,0,0
"rail_tunnel",382271,0,0,0,0,0,0,0,0,368383,0,0,0,13888.1,0,0
"street_bridge_motorway",697951,0,0,0,0,0,0,0,0,648576,0,0,0,49374.6,0,0
"street_bridge_other",335553,0,0,0,0,0,0,0,0,303658,0,0,0,31894.5,0,0
"street_local",7949350,7724930,0,0,0,0,0,78491.1,0,145931,0,0,0,0,0,0
"street_motorway",2116970,1721290,0,0,0,0,0,21256.2,0,374420,0,0,0,0,0,0
"street_motorway_elevated",187130,177774,0,0,0,0,0,9356.52,0,0,0,0,0,0,0,0
"street_other_elevated",70770.5,67232,0,0,0,0,0,3538.52,0,0,0,0,0,0,0,0
"street_primary",325905,285921,0,0,0,0,0,4496.81,0,35486.8,0,0,0,0,0,0
"street_secondary",3196950,2900720,0,0,0,0,0,45184.7,0,251044,0,0,0,0,0,0
"street_tertiary",1399850,1311420,0,0,0,0,0,19427,0,69003.6,0,0,0,0,0,0
"street_track",19672.7,19598.7,0,0,0,0,0,25.8871,0,48.1295,0,0,0,0,0,0
"street_tunnel",985128,0,0,0,0,0,0,0,0,949338,0,0,0,35790.1,0,0
"building",119522000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",36796600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",12371000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",17285200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
