"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",377352840.549927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",47545109.1089935,12705019.5142517,20.3171358091859,422901.446589947,0,1439279.03669119,16690.5375771746,149878.013254523,0,28770263.7634964,5853.03249886818,974274.667161465,80171.3717058301,2952819.55426598,0,27959.7504106313
"building_commercial_innercity",8582408.47436523,422329.715354919,15998.9763739109,42510.814016819,8833.12233757973,980242.478042603,31768.1785349846,1238.11883723736,1813893.83721924,4347138.0413208,55.6122439308092,26082.1633877754,15366.0731501579,328855.901340485,123051.685810089,425045.861953735
"building_highrise",1862201.265625,35619.900390625,872.478855133057,472.883041381836,0,140587.822509766,3750.03965759277,5394.71021270752,0,1550948.56640625,0,4339.11410522461,1578.35167694092,95917.6948242188,2639.15718078613,20080.6142272949
"building_lightweight",11233606.693119,0,128882.87135753,174735.177096248,0,832534.065028429,0,0,0,8479989.15055466,0,0,0,1066752.4399147,0,550726.295423269
"building_multifamily",37417549.5023346,1841268.36759758,69752.1186889708,185338.238925874,38510.6308770031,4273656.33759499,138502.555504441,5397.94030702487,7908203.93214798,18952613.1917114,242.457790979941,113712.752238154,66992.9047894776,1433741.56108618,536480.747277737,1853111.45271873
"building_singlefamily",126917082.195353,14738854.4961314,2428537.15933413,2790521.53121694,1339.35239530919,23764617.2068694,262358.902541829,414068.501114593,0,66660370.6092242,14886.4952360732,1083581.00682075,794980.638759022,2415373.99765033,5129684.43773589,6417645.74973477
"building_skyscraper",261325.515625,0,0,168.923858642578,0,6982.13037109375,1520.30688476562,0,0,221814.078125,0,6925.82421875,0,23914.22265625,0,0
"building",233819099.414683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",3821301.0859375,3753541.84765625,0,0,0,0,0,67755.9837646484,0,0,0,0,0,0,0,0
"other_parking",5891898.95251465,5774967.21020508,0,0,0,0,0,116930.593736649,0,0,0,0,0,0,0,0
"other_remaining_impervious",36469369.8969116,35745577.4345398,0,0,0,0,0,723771.285802841,0,0,0,0,0,0,0,0
"other",46182600.3109741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",144011.344665527,0,0,0,0,0,0,0,0,10998.7241134644,0,0,0,133012.80960083,0,0
"rail_other",32356.0162124634,2103.48342728615,0,0,0,0,0,0,0,29298.5040206909,52.5870381444693,0,0,901.492230534554,0,0
"rail_railway",6051336.81793213,5718546.16793823,0,0,0,0,0,0,0,35640.2782840729,0,0,0,122067.677349091,0,175082.901751995
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",2859.58081054688,0,0,0,0,0,0,0,0,2755.69116210938,0,0,0,103.889579772949,0,0
"rail",6230567.10462189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1653961.34179688,0,0,0,0,0,0,0,0,1536956.32568359,0,0,0,117004.87197876,0,0
"street_bridge_other",895340.572485924,0,0,0,0,0,0,0,0,810237.450912476,0,0,0,85102.5966717601,0,0
"street_local",42457150.0201416,41098295.3479004,0,0,0,0,0,477521.288078308,0,881308.833374023,0,0,0,0,0,0
"street_motorway",12316344.6992188,10016766.5493164,0,0,0,0,0,124395.167953491,0,2175124.08679199,0,0,0,0,0,0
"street_motorway_elevated",441547.298706055,419470.268798828,0,0,0,0,0,22077.4019470215,0,0,0,0,0,0,0,0
"street_other_elevated",188833.616238117,179392.25725925,0,0,0,0,0,9441.66809809208,0,0,0,0,0,0,0,0
"street_primary",16900318.3699036,14829283.5317078,0,0,0,0,0,234433.736353874,0,1836493.63762665,0,0,0,0,0,0
"street_secondary",5793184.87823486,5256906.97113037,0,0,0,0,0,82311.9966011047,0,453970.83813858,0,0,0,0,0,0
"street_tertiary",10193762.8189697,9550085.12658691,0,0,0,0,0,142220.379398346,0,501458.949165344,0,0,0,0,0,0
"street_track",260601.361096382,258818.315914154,0,0,0,0,0,626.702210674062,0,1156.63822897151,0,0,0,0,0,0
"street_tunnel",19656.4230957031,0,0,0,0,0,0,0,0,18942.291015625,0,0,0,714.124240875244,0,0
"street",91120355.1065674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
