"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";7,89823;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";7898230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";7898,23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";7898230000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";1055940000;231172000;16666900;8221850;0;27981800;324474;2080540;0;552840000;113794;18941400;1558640;194937000;0;1105010
"building_commercial_innercity";60160400;2518790;346003;293807;52591,2;4273740;348644;3640020;10799600;31492900;331,517;209434;0;2556650;732629;2895340
"building_highrise";11129100;2269960;1060,34;0;2026,75;908933;0;0;0;7029020;7769,22;18511,9;4634,17;361785;0;525404
"building_lightweight";382010000;0;8666150;5874650;0;27990000;0;0;0;285100000;0;0;0;35864500;0;18515600
"building_multifamily";215297000;9014040;1238250;1051450;188209;15294500;1247700;13026600;38648700;112704000;1186,41;749507;0;9149550;2621870;10361600
"building_singlefamily";1837380000;0;95794000;112036000;0;136154000;7936480;0;0;1235740000;626318;29240600;13045200;31007400;0;175794000
"building_skyscraper";29396300;0;0;19001,9;0;785414;171018;0;0;24951700;0;779081;0;2690090;0;0
"other_airport";123784000;122237000;0;0;0;0;0;1547810;0;0;0;0;0;0;0;0
"other_parking";215390000;212696000;0;0;0;0;0;2693260;0;0;0;0;0;0;0;0
"other_remaining_impervious";2160450000;2133440000;0;0;0;0;0;27014600;0;0;0;0;0;0;0;0
"rail_bridge";2625970;0;0;0;0;0;0;0;0;200556;0;0;0;2425420;0;0
"rail_other";632116;41094,2;0;0;0;0;0;0;0;572383;1027,35;0;0;17611,8;0;0
"rail_railway";67744600;64019000;0;0;0;0;0;0;0;398997;0;0;0;1366560;0;1960070
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";3753260;297375;0;0;0;0;4392,36;0;0;3204800;5234,19;0;0;241465;0;0
"rail_subway_surface";69777,2;9891,22;0;0;0;0;107,018;0;0;54001,9;174,098;0;0;5602,95;0;0
"rail_tram";64231,5;4175,72;0;0;0;0;0;0;0;58161,8;104,393;0;0;1789,59;0;0
"rail_tunnel";95798,1;0;0;0;0;0;0;0;0;92317,7;0;0;0;3480,38;0;0
"street_bridge_motorway";22707400;0;0;0;0;0;0;0;0;21101000;0;0;0;1606370;0;0
"street_bridge_other";15473800;0;0;0;0;0;0;0;0;14003000;0;0;0;1470790;0;0
"street_local";969628000;941748000;0;0;0;0;0;9750880;0;18128900;0;0;0;0;0;0
"street_motorway";263085000;213912000;0;0;0;0;0;2641600;0;46530800;0;0;0;0;0;0
"street_motorway_elevated";6053690;5751010;0;0;0;0;0;302685;0;0;0;0;0;0;0;0
"street_other_elevated";3263530;3100350;0;0;0;0;0;163176;0;0;0;0;0;0;0;0
"street_primary";15151200;13292400;0;0;0;0;0;209055;0;1649770;0;0;0;0;0;0
"street_secondary";242416000;219954000;0;0;0;0;0;3426230;0;19036000;0;0;0;0;0;0
"street_tertiary";143127000;134085000;0;0;0;0;0;1986300;0;7055220;0;0;0;0;0;0
"street_track";50384400;50181200;0;0;0;0;0;71073,4;0;132140;0;0;0;0;0;0
"street_tunnel";1007480;0;0;0;0;0;0;0;0;970882;0;0;0;36602,3;0;0
"building";3591320000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";2499630000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";74985700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";1732300000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
