"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5414366611.8642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",890977275.4373,238087262.707596,380.735390343695,7925007.80294746,0,26971512.1265543,312774.257623953,2808653.94275151,0,539143633.133051,109683.548412395,18257533.7364668,1502381.84846856,55334670.3009447,0,523955.526141067
"building_commercial_innercity",49210239.1868982,2421571.5797852,91735.6608038917,243750.554040503,50647.7926454144,5620561.88104045,182153.809230071,7099.1829051259,10400586.8124105,24925831.3271017,318.872178396392,149551.110344751,88106.7150884122,1885610.01248774,705560.38575165,2437147.76899493
"building_highrise",8941457.55761719,171030.884299755,4189.25233836472,2270.5724741444,0,675039.823793411,18006.0141724944,25902.985965848,0,7446959.77740479,0,20834.4870229959,7578.538947016,460553.743425369,12672.054833293,96418.0838360786
"building_lightweight",364627821.354651,0,4183354.873574,5671666.89586014,0,27022890.1743276,0,0,0,275248847.793786,0,0,0,34625331.240167,0,17875792.9621321
"building_multifamily",176278040.613789,8674412.62166595,328609.973309301,873149.092814326,181427.479144558,20133652.0698223,652500.463909864,25430.2741276063,37256347.8690891,89287841.9784737,1142.24549117355,535712.876548514,315610.856834292,6754520.73258924,2527416.25121981,8730207.43446183
"building_singlefamily",1491219928.29384,0,77746576.65042,90928723.5364761,0,110502914.12889,6441267.26600929,0,0,1002932289.9151,508284.00099318,23731765.6150962,10587464.3018885,25165692.5688161,72067740.4430111,70607263.6919639
"building_skyscraper",28250710.5625,0,0,18261.5943489075,0,754806.545532227,164353.5262146,0,0,23979313.5195312,0,748719.840820312,0,2585259.85546875,0,0
"building",3009505586.89333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",80069823.3436279,78650095.3671265,0,0,0,0,0,1419726.84366989,0,0,0,0,0,0,0,0
"other_parking",67479292.0604453,66140066.3247654,0,0,0,0,0,1339193.97791972,0,0,0,0,0,0,0,0
"other_remaining_impervious",634274097.368467,621686116.508015,0,0,0,0,0,12587799.6454302,0,0,0,0,0,0,0,0
"other",781823000.06842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2527010.49132538,0,0,0,0,0,0,0,0,192997.646352768,0,0,0,2334011.647789,0,0
"rail_other",610695.940338135,39701.6015634537,0,0,0,0,0,0,0,552986.734909058,992.539997935295,0,0,17014.973133564,0,0
"rail_railway",65458585.1990967,61858773.652832,0,0,0,0,0,0,0,385532.284244537,0,0,0,1320444.2522316,0,1893919.6135025
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",3595315.5,284861,0,0,0,0,4207.4951171875,0,0,3069925.25,5013.90771484375,0,0,231302.234375,0,0
"rail_subway_surface",67004.408203125,9498.15686035156,0,0,0,0,102.765480041504,0,0,51855.98828125,167.179817199707,0,0,5380.30029296875,0,0
"rail_tram",62063.8642578125,4034.79827880859,0,0,0,0,0,0,0,56198.9990234375,100.870070934296,0,0,1729.20088195801,0,0
"rail_tunnel",92262.6590881348,0,0,0,0,0,0,0,0,88910.7082519531,0,0,0,3351.9342918396,0,0
"rail",72412942.8056488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",21903822.8139648,0,0,0,0,0,0,0,0,20354303.2524414,0,0,0,1549523.93624878,0,0
"street_bridge_other",14937403.9097939,0,0,0,0,0,0,0,0,13517596.9375839,0,0,0,1419810.07492256,0,0
"street_local",834668057.912266,807678363.023006,0,0,0,0,0,9484892.69307195,0,17505215.9563797,0,0,0,0,0,0
"street_motorway",254332311.749023,206847236.178223,0,0,0,0,0,2568756.46413612,0,44916285.2943115,0,0,0,0,0,0
"street_motorway_elevated",5849905.72131348,5557407.52911377,0,0,0,0,0,292495.304870605,0,0,0,0,0,0,0,0
"street_other_elevated",3150407.42387962,2992886.92957497,0,0,0,0,0,157520.352805912,0,0,0,0,0,0,0,0
"street_primary",14629596.8885269,12836939.6315002,0,0,0,0,0,202934.749734402,0,1589738.05474949,0,0,0,0,0,0
"street_secondary",234566219.479435,212851333.580658,0,0,0,0,0,3332781.23639798,0,18381179.427525,0,0,0,0,0,0
"street_tertiary",138514191.839722,129767846.30188,0,0,0,0,0,1932509.72019863,0,6813885.45020866,0,0,0,0,0,0
"street_track",27106769.8996955,26909255.1431421,0,0,0,0,0,69415.5551785072,0,128112.938002662,0,0,0,0,0,0
"street_tunnel",970157.741638184,0,0,0,0,0,0,0,0,934911.63873291,0,0,0,35246.1890678406,0,0
"street",1550627601.04236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
