"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";4311226440,96265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";626723534,173425;167473235,080006;267,813575506545;5574538,49444632;0;18972070,7283579;220008,880660382;1975638,87119843;0;379239807,750077;77152,6320387335;12842556,1005421;1056792,42012153;38923027,7217199;0;368556,105674358
"building_commercial_innercity";46256226,4065576;2276208,45995942;86228,8956569787;229118,532506848;47607,4894306627;5283166,88746446;171219,361864943;6673,03343382297;9776258,93957686;23429573,2770288;299,73088669133;140573,583053146;82817,80786853;1772418,50436704;663205,805176742;2290848,21732828
"building_highrise";8928377,49034882;170780,57926023;4183,12534075975;2267,2505019363;0;674052,24934721;17979,6847046465;25865,0756140053;0;7436063,57317352;0;20804,0006581098;7567,45609328151;459880,131797314;12653,5189157873;96277,0473901629
"building_lightweight";128251438,303436;0;1471421,28610745;1994909,88941082;0;9504825,47216499;0;0;0;96813908,6625576;0;0;0;12178847,4218667;0;6287499,09018469
"building_multifamily";299862396,57679;14755843,4241314;558990,918846279;1485292,89069486;308622,158759691;34248844,9784775;1109953,46252567;43258,8543607863;63375928,0867767;151885469,294353;1943,04666015902;911288,329666942;536878,148557767;11489954,5552392;4299327,50776958;14850756,8777051
"building_singlefamily";1303279703,19168;130540041,771341;30851718,6369581;35641847,993897;11862,4501140814;223758846,683695;3097702,84287542;3667349,196468;0;710920730,337631;192926,268911824;12448866,3815372;8313291,02156544;24416708,6053275;54093023,2223392;65324866,2760701
"building_skyscraper";10910281,4414062;0;0;7052,53177261353;0;291502,399414062;63472,486541748;0;0;9260688,625;0;289151,709594727;0;998413,267089844;0;0
"building";2424211701,56348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";35152453,2634277;34529155,1210938;0;0;0;0;0;623292,002784729;0;0;0;0;0;0;0;0
"other_parking";24800652,7052765;24308452,3378754;0;0;0;0;0;492193,958106756;0;0;0;0;0;0;0;0
"other_remaining_impervious";382299249,418526;374712037,465593;0;0;0;0;0;7587108,69457752;0;0;0;0;0;0;0;0
"other";442252384,199165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1780642,91015625;0;0;0;0;0;0;0;0;135994,718681335;0;0;0;1644648,69741821;0;0
"rail_other";519284,377559662;33758,9546177387;0;0;0;0;0;0;0;470213,493206024;843,973582111299;0;0;14468,1116621494;0;0
"rail_railway";94667638,7685852;89461398,318512;0;0;0;0;0;0;0;557566,226032615;0;0;0;1909655,57272291;0;2739034,46137834
"rail_subway";3894656,4296875;0;0;0;0;0;1303,32138442993;0;0;3710453,9921875;2120,25843811035;0;0;180774,122314453;0;0
"rail_subway_elevated";1697198,90625;134470,98046875;0;0;0;0;1986,19300842285;0;0;1449187,21875;2366,86297607422;0;0;109188,825195312;0;0
"rail_subway_surface";2795796,25;396315,45703125;0;0;0;0;4287,93670654297;0;0;2163720,6875;6975,66552734375;0;0;224496,700195312;0;0
"rail_tram";26817,8409423828;1743,43998718262;0;0;0;0;0;0;0;24283,6276855469;43,5859975814819;0;0;747,188591003418;0;0
"rail_tunnel";183549,603485107;0;0;0;0;0;0;0;0;176881,165252686;0;0;0;6668,4213886261;0;0
"rail";105565560,497833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7738975,33378506;0;0;0;0;0;0;0;0;7191504,39711761;0;0;0;547471,854977369;0;0
"street_bridge_other";8731531,16216278;0;0;0;0;0;0;0;0;7901596,08973694;0;0;0;829937,417572021;0;0
"street_local";771462420,619873;746698101,472168;0;0;0;0;0;8702760,62209892;0;16061706,2798958;0;0;0;0;0;0
"street_motorway";160203610,245117;130292867,130615;0;0;0;0;0;1618055,99204254;0;28292705,5532837;0;0;0;0;0;0
"street_motorway_elevated";2067167,16908455;1963809,41799307;0;0;0;0;0;103358,433701754;0;0;0;0;0;0;0;0
"street_other_elevated";1841542,60354233;1749465,81914139;0;0;0;0;0;92077,1424370408;0;0;0;0;0;0;0;0
"street_primary";19051906,2760773;16717330,9748383;0;0;0;0;0;264278,617195368;0;2070289,59020805;0;0;0;0;0;0
"street_secondary";197240581,295166;178981590,29895;0;0;0;0;0;2802454,49300575;0;15456283,4440765;0;0;0;0;0;0
"street_tertiary";162544365,946983;152280584,226547;0;0;0;0;0;2267775,47173667;0;7996001,45813084;0;0;0;0;0;0
"street_track";7531769,15216064;7478516,4473114;0;0;0;0;0;18716,0033251904;0;34542,1600696445;0;0;0;0;0;0
"street_tunnel";783698,638122559;0;0;0;0;0;0;0;0;755226,420379639;0;0;0;28472,0380992889;0;0
"street";1339196908,97241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
