"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",5.68538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",5685380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",5685.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",5685380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",731991000,160251000,11553700,5699470,0,19397300,224929,1442250,0,383235000,78883.1,13130400,1080470,135132000,0,766004
"building_commercial_innercity",55625700,2328930,319923,271661,48627,3951600,322364,3365650,9985550,29119000,306.528,193648,0,2363940,677405,2677100
"building_highrise",10915000,2226280,1039.93,0,1987.75,891443,0,0,0,6893770,7619.72,18155.7,4545,354823,0,515294
"building_lightweight",132654000,0,3009340,2039990,0,9719600,0,0,0,99001600,0,0,0,12454000,0,6429580
"building_multifamily",360571000,15096300,2073770,1760930,315204,25614600,2089590,21816400,64727200,188752000,1986.94,1255240,0,15323300,4391000,17353200
"building_singlefamily",1429540000,100034000,71591700,42408700,12115.6,235871000,3679940,1995700,0,773503000,221381,14279900,9424090,26171400,60280900,90064600
"building_skyscraper",11136500,0,0,7198.7,0,297547,64788.4,0,0,9452700,0,295147,0,1019110,0,0
"other_airport",53832600,53159500,0,0,0,0,0,673129,0,0,0,0,0,0,0,0
"other_parking",77997700,77022400,0,0,0,0,0,975291,0,0,0,0,0,0,0,0
"other_remaining_impervious",1236260000,1220800000,0,0,0,0,0,15458300,0,0,0,0,0,0,0,0
"rail_bridge",1821820,0,0,0,0,0,0,0,0,139140,0,0,0,1682680,0,0
"rail_other",531623,34561,0,0,0,0,0,0,0,481386,864.026,0,0,14811.9,0,0
"rail_railway",96952400,91620500,0,0,0,0,0,0,0,571023,0,0,0,1955740,0,2805140
"rail_subway",3977470,0,0,0,0,0,1331.04,0,0,3789350,2165.34,0,0,184618,0,0
"rail_subway_elevated",1733410,137340,0,0,0,0,2028.57,0,0,1480110,2417.37,0,0,111518,0,0
"rail_subway_surface",2854920,404697,0,0,0,0,4378.63,0,0,2209480,7123.19,0,0,229244,0,0
"rail_tram",27407.3,1781.76,0,0,0,0,0,0,0,24817.4,44.544,0,0,763.611,0,0
"rail_tunnel",187250,0,0,0,0,0,0,0,0,180447,0,0,0,6802.85,0,0
"street_bridge_motorway",7921890,0,0,0,0,0,0,0,0,7361480,0,0,0,560412,0,0
"street_bridge_other",8934680,0,0,0,0,0,0,0,0,8085440,0,0,0,849247,0,0
"street_local",890496000,865222000,0,0,0,0,0,8839550,0,16434600,0,0,0,0,0,0
"street_motorway",163630000,133046000,0,0,0,0,0,1642990,0,28940700,0,0,0,0,0,0
"street_motorway_elevated",2113690,2008000,0,0,0,0,0,105684,0,0,0,0,0,0,0,0
"street_other_elevated",1884390,1790170,0,0,0,0,0,94219.4,0,0,0,0,0,0,0,0
"street_primary",19511000,17117300,0,0,0,0,0,269211,0,2124500,0,0,0,0,0,0
"street_secondary",201522000,182849000,0,0,0,0,0,2848250,0,15824700,0,0,0,0,0,0
"street_tertiary",166010000,155523000,0,0,0,0,0,2303880,0,8183240,0,0,0,0,0,0
"street_track",13946600,13892200,0,0,0,0,0,19029.4,0,35379.5,0,0,0,0,0,0
"street_tunnel",799884,0,0,0,0,0,0,0,0,770824,0,0,0,29060.1,0,0
"building",2732430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",1368090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",108086000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1476770000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
