"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2299275641,65326;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";296051963,428223;79111077,1191826;126,509941836448;2633304,1105262;0;8962037,59795189;103927,883681629;933253,135499954;0;179145492,36808;36445,3904597238;6066571,43177605;499208,146078736;18386478,1300859;0;174098,766199283
"building_commercial_innercity";11939357,187129;587520,185140729;22256,8426265232;59138,6049992964;12288,1349512124;1363657,37003326;44194,0363539644;1722,39956764784;2523383,36295962;6047489,01114416;77,3645618889204;36283,9868648984;21376,3985401727;457485,362282813;171182,526064828;591299,331143498
"building_highrise";1718135,13459778;32864,2351903915;804,980730935931;436,299262989312;0;129711,495316505;3459,9253154099;4977,35797950625;0;1430961,75431824;0;4003,42659538984;1456,24532166868;88497,1990590096;2434,98437087238;18527,1073671579
"building_lightweight";68123982,511673;0;781582,717588484;1059646,61484766;0;5048727,48626304;0;0;0;51425152,7963505;0;0;0;6469099,91449642;0;3339763,32937992
"building_multifamily";27776879,5958633;1366864,15981781;51780,4791454971;137585,802433342;28588,3079226054;3172544,81431198;102817,284080781;4007,15643737186;5870644,22438478;14069460,8658886;179,988474281607;84414,5884977877;49732,1301922761;1064338,53243506;398255,698740095;1375656,05433083
"building_singlefamily";524176047,831482;110748838,127159;6982193,66076374;8490948,57369232;0;51122463,5411644;1387161,69735622;248806,895294681;66699646,8370171;223437275,268311;138324,033613205;2388058,89316869;2587097,13106251;3518504,53407431;14357075,4670935;32069567,7174816
"building_skyscraper";982566,2421875;0;0;635,142242431641;0;26252,3413085938;5716,25073242188;0;0;834006,15625;0;26040,6374511719;0;89915,876953125;0;0
"building";930769037,05603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";15510559,0185547;15235536,2353516;0;0;0;0;0;275019,355766296;0;0;0;0;0;0;0;0
"other_parking";8095749,12982261;7935083,07748878;0;0;0;0;0;160668,310123587;0;0;0;0;0;0;0;0
"other_remaining_impervious";167846157,958374;164515061,546469;0;0;0;0;0;3331077,03737646;0;0;0;0;0;0;0;0
"other";191452458,14978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1774615,09184265;0;0;0;0;0;0;0;0;135534,370985031;0;0;0;1639080,84325409;0;0
"rail_other";125516,971759796;8159,90853738785;0;0;0;0;0;0;0;113655,962753296;203,998488664627;0;0;3497,10981571674;0;0
"rail_railway";84795603,4702148;80132187,9521484;0;0;0;0;0;0;0;499422,370544434;0;0;0;1710511,79034424;0;2453401,47071075
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";9874,7216796875;641,9599609375;0;0;0;0;0;0;0;8941,583984375;16,048999786377;0;0;275,125732421875;0;0
"rail_tunnel";36038,3199615479;0;0;0;0;0;0;0;0;34729,0361022949;0;0;0;1309,28465032578;0;0
"rail";86741654,8452606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";5874261,22143555;0;0;0;0;0;0;0;0;5458704,3293457;0;0;0;415558,060699463;0;0
"street_bridge_other";9265306,50976562;0;0;0;0;0;0;0;0;8384633,60473633;0;0;0;880673,214981079;0;0
"street_local";543586789,678238;526492077,982605;0;0;0;0;0;6007498,42996335;0;11087347,4457417;0;0;0;0;0;0
"street_motorway";141021836,114014;114692284,807129;0;0;0;0;0;1424320,06303024;0;24905139,2774658;0;0;0;0;0;0
"street_motorway_elevated";1570510,54559326;1491984,82086182;0;0;0;0;0;78525,5083999634;0;0;0;0;0;0;0;0
"street_other_elevated";1954120,15707397;1856413,98762512;0;0;0;0;0;97706,0025568008;0;0;0;0;0;0;0;0
"street_primary";59562429,2047119;52263809,1474609;0;0;0;0;0;826220,963979721;0;6472401,84337616;0;0;0;0;0;0
"street_secondary";127788509,031738;115958602,542236;0;0;0;0;0;1815628,57236099;0;10013756,2789612;0;0;0;0;0;0
"street_tertiary";197549919,860168;185075773,497681;0;0;0;0;0;2756167,92733622;0;9718051,0358429;0;0;0;0;0;0
"street_track";1732655,3692627;1721932,69545746;0;0;0;0;0;3770,05738125741;0;6957,99596476555;0;0;0;0;0;0
"street_tunnel";406864,50037384;0;0;0;0;0;0;0;0;392083,085342407;0;0;0;14781,5351867676;0;0
"street";1090312549,69818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
