"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",2.90626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",2906260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",2906.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",2906260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",339851000,74401700,5364170,2646170,0,9005810,104431,669611,0,177929000,36624.1,6096210,501643,62739600,0,355642
"building_commercial_innercity",14154800,592631,81409.2,69128.3,12373.9,1005540,82030.5,856440,2540980,7409780,78.0008,49276.6,0,601541,172376,681228
"building_highrise",2073690,422962,197.573,0,377.645,169362,0,0,0,1309720,1447.64,3449.33,863.485,67411.4,0,97898.6
"building_lightweight",68984400,0,1564950,1060860,0,5054500,0,0,0,51484000,0,0,0,6476510,0,3343590
"building_multifamily",32855500,1375590,188963,160457,28721.7,2334020,190405,1987930,5897990,17199200,181.052,114379,0,1396270,400111,1581230
"building_singlefamily",620941000,110512000,16200200,15884200,0,70268300,1584890,0,82299400,258950000,198002,3775500,3210860,6050580,13847200,38159700
"building_skyscraper",991292,0,0,640.777,0,26485.5,5767,0,0,841413,0,26271.9,0,90714.4,0,0
"other_airport",23342500,23050600,0,0,0,0,0,291877,0,0,0,0,0,0,0,0
"other_parking",25074900,24761400,0,0,0,0,0,313539,0,0,0,0,0,0,0,0
"other_remaining_impervious",517856000,511381000,0,0,0,0,0,6475330,0,0,0,0,0,0,0,0
"rail_bridge",1779910,0,0,0,0,0,0,0,0,135939,0,0,0,1643970,0,0
"rail_other",125568,8163.2,0,0,0,0,0,0,0,113702,204.08,0,0,3498.51,0,0
"rail_railway",85099400,80419400,0,0,0,0,0,0,0,501212,0,0,0,1716640,0,2462200
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",9906.72,644.04,0,0,0,0,0,0,0,8970.56,16.101,0,0,276.017,0,0
"rail_tunnel",36186.2,0,0,0,0,0,0,0,0,34871.5,0,0,0,1314.66,0,0
"street_bridge_motorway",5913540,0,0,0,0,0,0,0,0,5495200,0,0,0,418337,0,0
"street_bridge_other",9287240,0,0,0,0,0,0,0,0,8404480,0,0,0,882758,0,0
"street_local",623812000,606735000,0,0,0,0,0,5972520,0,11104200,0,0,0,0,0,0
"street_motorway",141734000,115243000,0,0,0,0,0,1423130,0,25068000,0,0,0,0,0,0
"street_motorway_elevated",1580080,1501070,0,0,0,0,0,79003.9,0,0,0,0,0,0,0,0
"street_other_elevated",1958750,1860810,0,0,0,0,0,97937.3,0,0,0,0,0,0,0,0
"street_primary",59721700,52394700,0,0,0,0,0,824036,0,6502930,0,0,0,0,0,0
"street_secondary",127898000,116047000,0,0,0,0,0,1807670,0,10043300,0,0,0,0,0,0
"street_tertiary",197601000,185118000,0,0,0,0,0,2742290,0,9740460,0,0,0,0,0,0
"street_track",3173940,3163240,0,0,0,0,0,3742.43,0,6957.95,0,0,0,0,0,0
"street_tunnel",407148,0,0,0,0,0,0,0,0,392357,0,0,0,14791.8,0,0
"building",1079850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",566273000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",87051000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1173090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
