"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1096431496,81352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";100270663,166889;26794350,9402127;42,8480048525908;891880,895259609;0;3035376,73114391;35199,6257663474;316086,052831916;0;60675277,8390118;12343,796812711;2054704,39513563;169078,112849825;6227367,95285098;0;58965,9899150092
"building_commercial_innercity";2349951,06455612;115638,05151391;4380,6799601838;11639,8936040699;2418,59874077886;268400,377769947;8698,44666384161;339,009485006332;496662,487719536;1190290,54864502;15,2271953019808;7141,55682550371;4207,38697757572;90044,0963608027;33692,8174017668;116381,872435451
"building_highrise";329668,006774902;6305,84067058563;154,456126183271;83,7151360809803;0;24888,4590873718;663,874985575676;955,033007144928;0;274566,49041748;0;768,159492254257;279,417812466621;16980,4419555664;467,213909804821;3554,89801692963
"building_lightweight";21338024,4695308;0;244809,997513054;331906,18814719;0;1581380,02183671;0;0;0;16107573,9324607;0;0;0;2026274,66818513;0;1046092,35290571
"building_multifamily";2786986,88288689;137143,996360406;5195,38393143937;13804,6411881167;2868,40172017156;318316,65668422;10316,1531208744;402,057215355162;589029,88821727;1411656,78553724;18,0591012945006;8469,71942879446;4989,86182474298;106790,155846253;39958,8886802681;138026,189021304
"building_singlefamily";224746359,058434;47484834,055894;2993693,7997936;3640590,54549425;0;21919321,6273208;594761,524733915;106678,717201097;28598217,44739;95801243,2565209;59307,9915956876;1023906,38166032;1109247,14320342;1508598,46437235;6155756,8916883;13750187,9471109
"building_skyscraper";17351,73828125;0;0;11,2163648605347;0;463,606079101562;100,946792602539;0;0;14728,220703125;0;459,867431640625;0;1587,87951660156;0;0
"building";351838786,354659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";14243259,6210938;13990714,2070312;0;0;0;0;0;252548,686721802;0;0;0;0;0;0;0;0
"other_parking";7378405,25489044;7231971,6104126;0;0;0;0;0;146431,831716537;0;0;0;0;0;0;0;0
"other_remaining_impervious";52898415,354671;51848583,5357013;0;0;0;0;0;1049822,13871256;0;0;0;0;0;0;0;0
"other";74520044,3834376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";504893,775375366;0;0;0;0;0;0;0;0;38560,7306270599;0;0;0;466333,179992676;0;0
"rail_other";749361,311538696;48716,290002346;0;0;0;0;0;0;0;678548,204483032;1217,90860813856;0;0;20878,4014949799;0;0
"rail_railway";33914566,4969788;32049461,0826416;0;0;0;0;0;0;0;199747,830424786;0;0;0;684132,528954983;0;981257,753410339
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";212588,892089844;0;0;0;0;0;0;0;0;204865,458740234;0;0;0;7723,4298210144;0;0
"rail";35381399,4268341;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1571038,87683105;0;0;0;0;0;0;0;0;1459900,22546387;0;0;0;111138,721633911;0;0
"street_bridge_other";2187651,32311249;0;0;0;0;0;0;0;0;1979714,12724304;0;0;0;207937,512061119;0;0
"street_local";429507714,270515;415962482,852196;0;0;0;0;0;4759758,52467194;0;8784559,42721051;0;0;0;0;0;0
"street_motorway";69452123,5358887;56484906,2229004;0;0;0;0;0;701467,397283554;0;12265585,2289124;0;0;0;0;0;0
"street_motorway_elevated";419083,687896729;398129,522888184;0;0;0;0;0;20954,1864376068;0;0;0;0;0;0;0;0
"street_other_elevated";461390,510156631;438321,949710846;0;0;0;0;0;23069,5565629005;0;0;0;0;0;0;0;0
"street_primary";5698550,84840393;5000250,69628906;0;0;0;0;0;79047,3688886166;0;619235,824687004;0;0;0;0;0;0
"street_secondary";57400559,0146484;52086415,4658203;0;0;0;0;0;815554,863562584;0;4498015,7988739;0;0;0;0;0;0
"street_tertiary";32334218,2913818;30292503,5778809;0;0;0;0;0;451120,357010841;0;1590615,21285248;0;0;0;0;0;0
"street_track";35132942,3799496;34911933,5131693;0;0;0;0;0;77672,1828004266;0;143351,278207678;0;0;0;0;0;0
"street_tunnel";525791,465332031;0;0;0;0;0;0;0;0;506689,026702881;0;0;0;19102,1793794632;0;0
"street";634690711,334053;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
