"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1096431288.02588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",100270648.546631,26794349.1663017,42.8480021343767,891880.911401093,0,3035376.38317519,35199.6273552654,316086.024129987,0,60675284.8269825,12343.7957311119,2054704.32539934,169078.128998119,6227367.57039082,0,58965.9856608193
"building_commercial_innercity",2349951.0704155,115638.051246881,4380.67995958775,11639.8935132325,2418.59886237234,268400.377632618,8698.44611237943,339.0095012784,496662.486392021,1190290.55786133,15.2271957469202,7141.55685935915,4207.3869709,90044.0969253778,33692.8174751997,116381.872656703
"building_highrise",329668.006774902,6305.84068584442,154.456125706434,83.7151360809803,0,24888.4590873718,663.874987483025,955.033010959625,0,274566.489440918,0,768.15948843956,279.417812466621,16980.4420166016,467.213879287243,3554.89801692963
"building_lightweight",21338021.7832718,0,244810.019741617,331906.233859255,0,1581380.31686611,0,0,0,16107573.8157911,0,0,0,2026274.92200817,0,1046092.52842949
"building_multifamily",2786986.81712151,137143.992721662,5195.38393301889,13804.6413701791,2868.4017123559,318316.656277955,10316.1531494549,402.057223577809,589029.888961136,1411656.77948713,18.059101282859,8469.71946115978,4989.86182213528,106790.156875268,39958.8877738006,138026.187286094
"building_singlefamily",224746354.620533,47484819.3965046,2993693.74325669,3640590.85928218,0,21919321.0466847,594761.442233611,106678.740475034,28598220.8557386,95801235.0290899,59307.9776076956,1023906.24755737,1109247.18895042,1508598.62402688,6155755.32682481,13750188.1795813
"building_skyscraper",17351.73828125,0,0,11.2163648605347,0,463.606079101562,100.946792602539,0,0,14728.220703125,0,459.867431640625,0,1587.87951660156,0,0
"building",351838799.717131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",14243259.6518555,13990714.2666016,0,0,0,0,0,252548.685516357,0,0,0,0,0,0,0,0
"other_parking",7378405.3083725,7231971.72451782,0,0,0,0,0,146431.831609249,0,0,0,0,0,0,0,0
"other_remaining_impervious",52898416.2650566,51848584.8149223,0,0,0,0,0,1049822.1595962,0,0,0,0,0,0,0,0
"other",74520046.1635208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",504893.772155762,0,0,0,0,0,0,0,0,38560.7302703857,0,0,0,466333.171447754,0,0
"rail_other",749361.460708618,48716.2904753685,0,0,0,0,0,0,0,678548.213928223,1217.9085418582,0,0,20878.403055191,0,0
"rail_railway",33914564.2126465,32049461.6638184,0,0,0,0,0,0,0,199747.825798988,0,0,0,684132.544616699,0,981257.823150635
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",212588.889648438,0,0,0,0,0,0,0,0,204865.460449219,0,0,0,7723.42987442017,0,0
"rail",35381399.348053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1571038.86938477,0,0,0,0,0,0,0,0,1459900.23364258,0,0,0,111138.718902588,0,0
"street_bridge_other",2187651.25432587,0,0,0,0,0,0,0,0,1979713.98686218,0,0,0,207937.475643158,0,0
"street_local",429507704.639282,415962567.952454,0,0,0,0,0,4759757.44050503,0,8784559.34067345,0,0,0,0,0,0
"street_motorway",69452130.2558594,56484916.8344727,0,0,0,0,0,701467.407714844,0,12265585.5723877,0,0,0,0,0,0
"street_motorway_elevated",419083.690124512,398129.515075684,0,0,0,0,0,20954.1866455078,0,0,0,0,0,0,0,0
"street_other_elevated",461390.552459717,438321.912788391,0,0,0,0,0,23069.5558136702,0,0,0,0,0,0,0,0
"street_primary",5698551.09059143,5000250.42675781,0,0,0,0,0,79047.3728559017,0,619235.843485832,0,0,0,0,0,0
"street_secondary",57400553.1618633,52086394.0907936,0,0,0,0,0,815554.718921304,0,4498015.69888258,0,0,0,0,0,0
"street_tertiary",32334219.5375977,30292513.0429688,0,0,0,0,0,451120.357555389,0,1590615.18310547,0,0,0,0,0,0
"street_track",35132942.8875732,34911938.3908081,0,0,0,0,0,77672.1762014627,0,143351.263787746,0,0,0,0,0,0
"street_tunnel",525791.465576172,0,0,0,0,0,0,0,0,506689.026702881,0,0,0,19102.1792573929,0,0
"street",634690698.661377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
