"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";5158255212,351;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";800853398,442627;214004233,635681;342,223343691556;7123377,40028381;0;24243298,8455086;281136,235302329;2524552,70469975;0;484608090,856537;98588,7889574915;16410746,236908;1350412,77935946;49737440,9672108;0;470956,195975661
"building_commercial_innercity";36835849,9201183;1812644,21249545;68667,8321965411;182457,210903496;37911,896417845;4207222,82135344;136349,456134982;5314,02494900953;7785261,04187012;18658000,0113049;238,688866138342;111944,988903545;65951,4855886251;1411454,47669697;528140,504326642;1824304,20456958
"building_highrise";19797215,6452866;378678,405191898;9275,39130690321;5027,2608356066;0;1494600,82003164;39866,9909555167;57351,5600875467;0;16488252,2497177;0;46129,4614991099;16779,5915818587;1019708,66517067;28057,1084829494;213478,458680749
"building_lightweight";154931440,095959;0;1777519,26524067;2409907,7694062;0;11482097,3988272;0;0;0;116954040,325218;0;0;0;14712397,2947961;0;7595479,62382376
"building_multifamily";239106324,921936;11766117,4036636;445732,289013386;1184352,80561447;246091,115083337;27309606,1042328;885062,463060856;34494,0327261612;50535159,5645447;121111499,294006;1549,35934549943;726650,758046389;428099,588284969;9161929,92422485;3428224,94298267;11841801,0630608
"building_singlefamily";1576256263,46664;310137388,123253;22395425,2630615;26926129,9903712;2539,41066892305;175319916,141701;4031978,77634722;1419043,79229951;169953509,918306;695715482,233673;380680,365962299;8139337,57348216;8099315,98097348;13544850,7356472;46308322,4395885;93882513,7342405
"building_skyscraper";54406085,765625;0;0;35168,728225708;0;1453628,70129395;316516,85357666;0;0;46180098,7421875;0;1441905,39501953;0;4978767,85058594;0;0
"building";2882187645,77866;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";35233888,2441406;34609155,0488281;0;0;0;0;0;624735,962036133;0;0;0;0;0;0;0;0
"other_parking";25778846,7988434;25267230,6555328;0;0;0;0;0;511606,888566971;0;0;0;0;0;0;0;0
"other_remaining_impervious";606718581,89061;594676717,15538;0;0;0;0;0;12040924,5741037;0;0;0;0;0;0;0;0
"other";667730686,315414;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";5472397,74603271;0;0;0;0;0;0;0;0;417947,876619339;0;0;0;5054444,8059082;0;0
"rail_other";1116284,92729187;72570,1915912628;0;0;0;0;0;0;0;1010798,9858551;1814,25428929925;0;0;31101,4905934334;0;0
"rail_railway";172872222,290039;163365138,368652;0;0;0;0;0;0;0;1018170,65318298;0;0;0;3487220,10516357;0;5001746,76196289
"rail_subway";4419155,6875;0;0;0;0;0;1478,84515380859;0;0;4210149,1875;2405,79885864258;0;0;205119,11328125;0;0
"rail_subway_elevated";6076072,375;481414,8125;0;0;0;0;7110,69250488281;0;0;5188170,875;8473,50415039062;0;0;390901,3515625;0;0
"rail_subway_surface";5088207,5;721279,40625;0;0;0;0;7803,88134765625;0;0;3937871,25;12695,4189453125;0;0;408572,921875;0;0
"rail_tram";881,704406738281;57,3199977874756;0;0;0;0;0;0;0;798,385681152344;1,43299996852875;0;0;24,565712928772;0;0
"rail_tunnel";1239435,42733002;0;0;0;0;0;0;0;0;1194406,80792236;0;0;0;45029,1578760147;0;0
"rail";196284697,365967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";13122084,8017578;0;0;0;0;0;0;0;0;12193801,3093262;0;0;0;928284,434295654;0;0
"street_bridge_other";9948174,8197937;0;0;0;0;0;0;0;0;9002594,95065308;0;0;0;945580,463890076;0;0
"street_local";806649585,834974;781065209,345629;0;0;0;0;0;8990921,49455374;0;16593530,2098963;0;0;0;0;0;0
"street_motorway";258696993,290771;210396795,678711;0;0;0;0;0;2612840,85758591;0;45687134,5463867;0;0;0;0;0;0
"street_motorway_elevated";3504909,79919434;3329665,55993652;0;0;0;0;0;175245,524261475;0;0;0;0;0;0;0;0
"street_other_elevated";2098141,33509827;1993235,34832001;0;0;0;0;0;104907,147653818;0;0;0;0;0;0;0;0
"street_primary";45833703,5183105;40217478,0610352;0;0;0;0;0;635784,563217163;0;4980572,64801025;0;0;0;0;0;0
"street_secondary";146237312,006836;132699438,390503;0;0;0;0;0;2077775,60552979;0;11459507,8684082;0;0;0;0;0;0
"street_tertiary";119993367,396912;112416391,289124;0;0;0;0;0;1674114,43686295;0;5902802,49517441;0;0;0;0;0;0
"street_track";2268794,3323288;2253991,47259521;0;0;0;0;0;5204,27945350111;0;9605,00306706876;0;0;0;0;0;0
"street_tunnel";3698475,73075867;0;0;0;0;0;0;0;0;3564107,12713623;0;0;0;134367,428186417;0;0
"street";1412051575,9264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
