"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5158253697.39032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",800853275.073898,214004234.599419,342.223310042929,7123375.34780622,0,24243301.8056121,281136.249261234,2524552.53311282,0,484608117.269547,98588.7777864709,16410743.4921725,1350412.95939898,49737446.319416,0,470956.160046756
"building_commercial_innercity",36835850.2110119,1812644.21317065,68667.8337407783,182457.207906097,37911.895434726,4207222.82270384,136349.462344117,5314.02466900181,7785260.97705078,18658000.4019909,238.688863478485,111944.986974977,65951.4834603816,1411454.50793934,528140.505414784,1824304.20317721
"building_highrise",19797215.0259628,378678.386295795,9275.39118788764,5027.26055689529,0,1494600.73218298,39866.9910207242,57351.5629418939,0,16488251.2284164,0,46129.466045633,16779.5916852728,1019708.69371605,28057.1086062714,213478.452490926
"building_lightweight",154931458.605928,0,1777519.3198085,2409907.84572934,0,11482098.5893559,0,0,0,116954045.362821,0,0,0,14712395.6132905,0,7595476.92098525
"building_multifamily",239106302.272337,11766119.8935678,445732.077446394,1184353.0655715,246091.194020459,27309602.3270679,885062.715468109,34494.020635,50535155.4006376,121111480.49125,1549.35954335415,726650.686660625,428099.584435221,9161927.28172398,3428225.47984028,11841798.4081498
"building_singlefamily",1576255911.21486,310137360.470902,22395423.9797517,26926125.6426482,2539.41030556988,175319908.40718,4031980.09236673,1419043.89989957,169953485.306548,695715389.087076,380680.258603746,8139337.95515597,8099315.5638825,13544850.5539577,46308311.3338736,93882478.8324223
"building_skyscraper",54406085.765625,0,0,35168.728225708,0,1453628.70129395,316516.85357666,0,0,46180098.9960938,0,1441905.3951416,0,4978767.35058594,0,0
"building",2882188641.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",35233884.0136719,34609155.5566406,0,0,0,0,0,624735.929931641,0,0,0,0,0,0,0,0
"other_parking",25778847.2271881,25267231.8974762,0,0,0,0,0,511606.95972681,0,0,0,0,0,0,0,0
"other_remaining_impervious",606718073.888742,594677034.015385,0,0,0,0,0,12040917.0681211,0,0,0,0,0,0,0,0
"other",667730669.38093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",5472397.77193832,0,0,0,0,0,0,0,0,417947.875320196,0,0,0,5054444.840168,0,0
"rail_other",1116284.94267273,72570.1920566559,0,0,0,0,0,0,0,1010799.01979065,1814.25426733494,0,0,31101.4910416603,0,0
"rail_railway",172872242.385477,163365132.291302,0,0,0,0,0,0,0,1018170.60554782,0,0,0,3487220.03844839,0,5001747.03616005
"rail_subway",4419155.6875,0,0,0,0,0,1478.84515380859,0,0,4210149.25,2405.79885864258,0,0,205119.11328125,0,0
"rail_subway_elevated",6076071.875,481414.8125,0,0,0,0,7110.69262695312,0,0,5188170.875,8473.50415039062,0,0,390901.3515625,0,0
"rail_subway_surface",5088207.5,721279.40625,0,0,0,0,7803.88134765625,0,0,3937871.25,12695.4194335938,0,0,408572.90625,0,0
"rail_tram",881.704406738281,57.3199977874756,0,0,0,0,0,0,0,798.385681152344,1.43299996852875,0,0,24.565712928772,0,0
"rail_tunnel",1239435.42723846,0,0,0,0,0,0,0,0,1194406.80545044,0,0,0,45029.1578235626,0,0
"rail",196284703.315796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",13122087.0413818,0,0,0,0,0,0,0,0,12193801.5472412,0,0,0,928284.667938232,0,0
"street_bridge_other",9948175.40396118,0,0,0,0,0,0,0,0,9002594.5526123,0,0,0,945580.429035187,0,0
"street_local",806649684.257387,781065412.020067,0,0,0,0,0,8990919.3112334,0,16593527.9665982,0,0,0,0,0,0
"street_motorway",258696952.721191,210396770.455566,0,0,0,0,0,2612840.92982006,0,45687133.2835083,0,0,0,0,0,0
"street_motorway_elevated",3504909.07281494,3329664.99780273,0,0,0,0,0,175245.529485703,0,0,0,0,0,0,0,0
"street_other_elevated",2098141.45378113,1993235.40457916,0,0,0,0,0,104907.143616915,0,0,0,0,0,0,0,0
"street_primary",45833701.5375977,40217477.2298584,0,0,0,0,0,635784.562555313,0,4980572.76065063,0,0,0,0,0,0
"street_secondary",146237314.446747,132699439.524963,0,0,0,0,0,2077775.87342978,0,11459509.9192314,0,0,0,0,0,0
"street_tertiary",119993392.995335,112416436.766521,0,0,0,0,0,1674114.72307405,0,5902801.44745171,0,0,0,0,0,0
"street_track",2268794.64238071,2253991.52962208,0,0,0,0,0,5204.27934740297,0,9605.00258494914,0,0,0,0,0,0
"street_tunnel",3698475.76707458,0,0,0,0,0,0,0,0,3564107.37579346,0,0,0,134367.425094604,0,0
"street",1412051656.62901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
