"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",4.39558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",4395580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",4395.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",4395580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",602712000,131948000,9513140,4692870,0,15971400,185203,1187530,0,315550000,64951.3,10811400,889643,111266000,0,630718
"building_commercial_innercity",23670200,991019,136135,115599,20692.1,1681510,137174,1432170,4249110,12390900,130.436,82402.1,0,1005920,288254,1139170
"building_highrise",8868550,1808880,844.959,0,1615.07,724310,0,0,0,5601280,6191.12,14751.8,3692.87,288298,0,418683
"building_lightweight",106700000,0,2420560,1640860,0,7817950,0,0,0,79631800,0,0,0,10017400,0,5171620
"building_multifamily",184884000,7740710,1063330,902926,161623,13134000,1071450,11186500,33189200,96783600,1018.82,643631,0,7857090,2251510,8897930
"building_singlefamily",1218630000,195758000,37026300,30826800,2216.36,153022000,3045490,365084,132155000,530430000,344820,8038650,6596090,13828900,33263200,73927100
"building_skyscraper",2575330,0,0,1664.71,0,68808.1,14982.4,0,0,2185950,0,68253.2,0,235672,0,0
"other_airport",37186700,36721700,0,0,0,0,0,464986,0,0,0,0,0,0,0,0
"other_parking",61046300,60283000,0,0,0,0,0,763330,0,0,0,0,0,0,0,0
"other_remaining_impervious",956359000,944400000,0,0,0,0,0,11958400,0,0,0,0,0,0,0,0
"rail_bridge",1298640,0,0,0,0,0,0,0,0,99182.2,0,0,0,1199460,0,0
"rail_other",1005930,65396,0,0,0,0,0,0,0,910873,1634.9,0,0,28026.9,0,0
"rail_railway",91114600,86103800,0,0,0,0,0,0,0,536640,0,0,0,1837980,0,2636230
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",277130,0,0,0,0,0,0,0,0,267062,0,0,0,10068.2,0,0
"street_bridge_motorway",8718210,0,0,0,0,0,0,0,0,8101470,0,0,0,616745,0,0
"street_bridge_other",8163510,0,0,0,0,0,0,0,0,7387560,0,0,0,775946,0,0
"street_local",636541000,618766000,0,0,0,0,0,6216640,0,11558000,0,0,0,0,0,0
"street_motorway",160424000,130440000,0,0,0,0,0,1610800,0,28373700,0,0,0,0,0,0
"street_motorway_elevated",2326300,2209990,0,0,0,0,0,116315,0,0,0,0,0,0,0,0
"street_other_elevated",1721740,1635660,0,0,0,0,0,86087.1,0,0,0,0,0,0,0,0
"street_primary",98295800,86236300,0,0,0,0,0,1356280,0,10703100,0,0,0,0,0,0
"street_secondary",93981800,85273500,0,0,0,0,0,1328310,0,7380030,0,0,0,0,0,0
"street_tertiary",86780500,81298500,0,0,0,0,0,1204330,0,4277720,0,0,0,0,0,0
"street_track",1777770,1771200,0,0,0,0,0,2299.7,0,4275.62,0,0,0,0,0,0
"street_tunnel",518249,0,0,0,0,0,0,0,0,499421,0,0,0,18828.2,0,0
"building",2148040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",1054590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",93696300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1099250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
