"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2102040594,87891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";221347198,584534;59148478,5272331;94,5868545368321;1968825,04740548;0;6700589,25948381;77703,1203678697;697759,744859397;0;133940565,54303;27248,8991897274;4535754,21291161;373239,787841275;13746902,4787598;0;130167,339923747
"building_commercial_innercity";4909169,0990715;241573,781586699;9151,46454578079;24316,3345602043;5052,57847914984;560702,285764053;18171,499444847;708,20818164252;1037553,02678224;2486578,113662;31,8104075643278;14919,0810484402;8789,44832274062;188106,683253512;70386,034101719;243127,663319848
"building_highrise";824006,954760551;15761,4842274785;386,063833264634;209,246417164104;0;62208,8348830342;1659,35891589336;2387,10987015255;0;686280,382599831;0;1920,01865556464;698,406409727875;42442,7094072402;1167,80348487105;8885,48714157194
"building_lightweight";45387005,1148901;0;520722,226451755;705979,66210115;0;3363669,29379377;0;0;0;34261547,3734856;0;0;0;4309979,59238803;0;2225087,65212986
"building_multifamily";16154496,8712387;794942,053559303;30114,5520737767;80017,2258827984;16626,414457351;1845091,46191692;59796,5148245692;2330,48591225315;3414255,81349945;8182536,35339737;104,677807595115;49093,8820900619;28923,2613277435;618998,896897554;231617,845140815;800055,157461643
"building_singlefamily";430876944,127708;52607375,0723858;8087783,11831474;9317415,04543358;4262,03742317855;78256739,2740517;906343,610133946;1330455,14910738;3436107,26105833;223636656,140018;54498,2085751249;3571179,41021881;2663054,44012836;7867411,78277624;17063261,2213019;22074360,9399505
"building_skyscraper";52933,84765625;0;0;34,2170524597168;0;1414,29382324219;307,951965332031;0;0;44930,45703125;0;1402,88854980469;0;4844,0439453125;0;0
"building";719552250,864685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";25750941,9555664;25294364,09375;0;0;0;0;0;456592,40196228;0;0;0;0;0;0;0;0
"other_parking";6524436,16903687;6394954,98979187;0;0;0;0;0;129484,013179541;0;0;0;0;0;0;0;0
"other_remaining_impervious";147568530,479225;144639889,583917;0;0;0;0;0;2928647,45233791;0;0;0;0;0;0;0;0
"other";179843927,49778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1418632,92854309;0;0;0;0;0;0;0;0;108346,607808113;0;0;0;1310286,37051392;0;0
"rail_other";734607,449417114;47757,1920406818;0;0;0;0;0;0;0;665189,463474274;1193,93043046445;0;0;20467,3678458929;0;0
"rail_railway";96278539,9033203;90983787,8613281;0;0;0;0;0;0;0;567053,737701416;0;0;0;1942151,38312531;0;2785642,95976257
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";214058,838500977;0;0;0;0;0;0;0;0;206282,012939453;0;0;0;7776,83166503906;0;0
"rail";98645839,3616943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7255596,92089844;0;0;0;0;0;0;0;0;6742316,87695312;0;0;0;513276,528030396;0;0
"street_bridge_other";7405513,68486023;0;0;0;0;0;0;0;0;6701616,65878296;0;0;0;703898,99472332;0;0
"street_local";742979492,795654;719094448,942993;0;0;0;0;0;8393740,445364;0;15491380,6983376;0;0;0;0;0;0
"street_motorway";123950387,087891;100807899,681885;0;0;0;0;0;1251898,73104668;0;21890223,2855072;0;0;0;0;0;0
"street_motorway_elevated";1934540,62384033;1837811,98260498;0;0;0;0;0;96726,973733902;0;0;0;0;0;0;0;0
"street_other_elevated";1561877,01760864;1483782,78955841;0;0;0;0;0;78093,8103280067;0;0;0;0;0;0;0;0
"street_primary";45973634,7180786;40340174,2794189;0;0;0;0;0;637723,584237099;0;4995767,34729004;0;0;0;0;0;0
"street_secondary";89188628,6557617;80931481,8966064;0;0;0;0;0;1267190,65200424;0;6989004,39212036;0;0;0;0;0;0
"street_tertiary";75344649,7207031;70587229,0026855;0;0;0;0;0;1051187,71764565;0;3706415,53263855;0;0;0;0;0;0
"street_track";7968538,05561066;7911499,54682922;0;0;0;0;0;20069,867728848;0;37040,8671269268;0;0;0;0;0;0
"street_tunnel";437041,948608398;0;0;0;0;0;0;0;0;421164,100830078;0;0;0;15877,8868236542;0;0
"street";1103998819,58447;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
