"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2402377911,23587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";261506344,746384;69879784,3786469;111,747748502788;2326029,96863163;0;7916277,43102121;91800,8012919649;824354,006140366;0;158241395,813915;32192,6550610159;5358677,00915337;440956,574966446;16241003,7427793;0;153783,513662796
"building_commercial_innercity";17722764,4211006;872113,923112869;33038,0280085355;87785,2924433723;18240,4888778627;2024211,12149549;65601,5689719096;2556,72729486041;3745706,04692531;8976886,78709126;114,839821703528;53859,8916029856;31731,0942213461;679090,710209846;254103,104066119;877723,660528183
"building_highrise";3287512,48244476;62883,0552428961;1540,26575296745;834,823205541819;0;248192,433709145;6620,28740176558;9523,7688485384;0;2738029,08948517;0;7660,23095142841;2786,4084751606;169332,186173439;4659,14511020482;35450,130573988
"building_lightweight";80287638,5232868;0;921135,272874534;1248847,95035176;0;5950184,34870791;0;0;0;60607195,1155682;0;0;0;7624168,04008484;0;3936082,3516115
"building_multifamily";97126155,5952301;4779450,28276396;181058,474704921;481089,955413967;99963,4417972863;11093294,9844542;359516,611269295;14011,6433307957;20527617,3304787;49196057,6284256;629,357292644214;295168,699816942;173896,041158259;3721624,88790131;1392562,45561004;4810194,30658436
"building_singlefamily";719676708,050125;83576018,0187798;13770914,0647001;15823545,2557878;7594,73886412336;134756309,341457;1487697,44348127;2347958,14664894;0;377994949,611084;84413,2883782648;6144389,41697788;4507901,38187742;13696281,8090661;29087657,3247485;36391015,6932192
"building_skyscraper";1114035,37744141;0;0;720,12543797493;0;29764,9510650635;6481,09712409973;0;0;945597,612304688;0;29524,9253616333;0;101946,80078125;0;0
"building";1180721677,75406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";18047300,6337891;17727302,5556641;0;0;0;0;0;319998,672012329;0;0;0;0;0;0;0;0
"other_parking";14357272,8450356;14072337,0178547;0;0;0;0;0;284934,23004961;0;0;0;0;0;0;0;0
"other_remaining_impervious";174637023,764923;171171098,645668;0;0;0;0;0;3465847,48897612;0;0;0;0;0;0;0;0
"other";207041536,560764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1348873,51138306;0;0;0;0;0;0;0;0;103018,79201889;0;0;0;1245854,68862915;0;0
"rail_other";248735,338432312;16170,4163899422;0;0;0;0;0;0;0;225230,485656738;404,259589195251;0;0;6930,15416669846;0;0
"rail_railway";60629172,7241211;57294863,2033386;0;0;0;0;0;0;0;357088,943632483;0;0;0;1223023,07949972;0;1754191,70728445
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";822617,345825195;0;0;0;0;0;0;0;0;792731,208984375;0;0;0;29885,9690608978;0;0
"rail";63049260,074646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";5675073,71518707;0;0;0;0;0;0;0;0;5273605,82741547;0;0;0;401467,077821016;0;0
"street_bridge_other";5624247,62564087;0;0;0;0;0;0;0;0;5089659,5575676;0;0;0;534588,132178783;0;0
"street_local";398095759,746483;385354946,214332;0;0;0;0;0;4477440,46829341;0;8263502,81623325;0;0;0;0;0;0
"street_motorway";147166872,715332;119690097,762543;0;0;0;0;0;1486384,70352888;0;25990357,087326;0;0;0;0;0;0
"street_motorway_elevated";1514149,03217506;1438441,36260128;0;0;0;0;0;75707,4520429671;0;0;0;0;0;0;0;0
"street_other_elevated";1186194,25912476;1126884,55127621;0;0;0;0;0;59309,7169958353;0;0;0;0;0;0;0;0
"street_primary";102750959,848511;90160199,8652344;0;0;0;0;0;1425313,17482281;0;11165529,2872009;0;0;0;0;0;0
"street_secondary";72213403,1685791;65528529,0723267;0;0;0;0;0;1026030,44511509;0;5658832,90446472;0;0;0;0;0;0
"street_tertiary";214634359,688644;201081435,820618;0;0;0;0;0;2994522,31489754;0;10558449,9213829;0;0;0;0;0;0
"street_track";1668016,850003;1656604,42204642;0;0;0;0;0;4011,28992236033;0;7403,2151494259;0;0;0;0;0;0
"street_tunnel";1037520,3283844;0;0;0;0;0;0;0;0;999826,699783325;0;0;0;37693,4702320099;0;0
"street";951566314,650597;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
