"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2025818921.27777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",251815096.38974,67290105.1796341,107.606476698002,2239828.78005403,0,7622905.66305804,88398.7196204774,793804.032775164,0,152377127.05405,30999.6283558412,5160088.14605057,424615.103446305,15639120.6334786,0,148084.472041287
"building_commercial_innercity",23942933.9562683,1178200.49713099,44633.4044862427,118595.307192355,24642.3677858934,2734649.44211674,88625.7906614169,3454.06349201826,5060339.14656353,12127507.3694954,155.145264127583,72763.1244325042,42867.772552561,917431.876652002,343285.77273348,1185779.33714545
"building_highrise",3939054.01665878,75345.6457825899,1845.52609087154,1000.27439334989,0,297380.931412458,7932.34177072346,11411.2577320188,0,3280671.0389843,0,9178.3900814876,3338.63790864497,202891.659523606,5582.52742789313,42475.8745160103
"building_lightweight",87517948.4685458,0,1004088.37924774,1361313.1810942,0,6486029.88142171,0,0,0,66065186.656842,0,0,0,8310764.8460682,0,4290547.26329682
"building_multifamily",51452511.6840858,2531911.33431363,95915.5947473794,254857.180846214,52955.5866502859,5876665.7867384,190453.678962663,7422.65967236459,10874493.4070759,26061585.1443233,333.401677737013,156365.42219457,92121.3214563578,1971527.95982122,737709.259500086,2548197.72353196
"building_singlefamily",407330327.401835,871591.87320435,20988982.0944185,24544777.6367309,79.2034485549884,31033316.6050035,1742543.1998278,24486.1923571639,0,272847619.56091,137161.056038025,6427026.77552117,2885716.93922322,6890248.09026174,19626114.2140921,19310689.9501691
"building_skyscraper",5838627.078125,0,0,3774.15504074097,0,155997.246337891,33967.2357177734,0,0,4955848.7890625,0,154739.24609375,0,534300.019042969,0,0
"building",831836507.077908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",17787007.4212646,17471627.5180664,0,0,0,0,0,315383.392023087,0,0,0,0,0,0,0,0
"other_parking",9254944.36616516,9071270.98869324,0,0,0,0,0,183673.68276,0,0,0,0,0,0,0,0
"other_remaining_impervious",280933195.189703,275357758.25313,0,0,0,0,0,5575400.02366775,0,0,0,0,0,0,0,0
"other",307975246.472906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1709452.14807129,0,0,0,0,0,0,0,0,130557.566701889,0,0,0,1578895.02725983,0,0
"rail_other",173252.905166626,11263.3510298729,0,0,0,0,0,0,0,156881.983421326,281.583097368479,0,0,4827.10819458961,0,0
"rail_railway",60677377.5371246,57340456.3685989,0,0,0,0,0,0,0,357373.311530232,0,0,0,1223998.28648114,0,1755587.89986324
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",185153.068603516,12036.867980957,0,0,0,0,0,0,0,167656.569335938,300.922065258026,0,0,5158.66069793701,0,0
"rail_tunnel",468.852966308594,0,0,0,0,0,0,0,0,451.819396972656,0,0,0,17.0335903167725,0,0
"rail",62745689.2899475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",26187161.0339355,0,0,0,0,0,0,0,0,24334638.28125,0,0,0,1852536.43196106,0,0
"street_bridge_other",9900801.87937164,0,0,0,0,0,0,0,0,8959716.21839905,0,0,0,941075.872542381,0,0
"street_local",380226232.55407,367993368.5593,0,0,0,0,0,4298923.59025794,0,7934037.63278823,0,0,0,0,0,0
"street_motorway",102557541.010742,83409668.5908203,0,0,0,0,0,1035831.29085922,0,18112137.1340942,0,0,0,0,0,0
"street_motorway_elevated",7000058.20010376,6650054.68612671,0,0,0,0,0,350003.177751541,0,0,0,0,0,0,0,0
"street_other_elevated",2088147.97357368,1983739.67518997,0,0,0,0,0,104407.325878024,0,0,0,0,0,0,0,0
"street_primary",64097481.9927063,56243238.8240356,0,0,0,0,0,889129.858893156,0,6965220.98459053,0,0,0,0,0,0
"street_secondary",69499209.4249344,63065464.9208679,0,0,0,0,0,987463.459339857,0,5446135.89911556,0,0,0,0,0,0
"street_tertiary",159169306.628051,149118717.516166,0,0,0,0,0,2220685.64599466,0,7829964.49827456,0,0,0,0,0,0
"street_track",2370625.79726481,2353802.77376986,0,0,0,0,0,5912.76108439872,0,10912.5481274044,0,0,0,0,0,0
"street_tunnel",164944.645568848,0,0,0,0,0,0,0,0,158952.104614258,0,0,0,5992.4948348999,0,0
"street",823261251.751361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
