"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";2,99653;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";2996530;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";2996,53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";2996530000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";249175000;54550500;3932950;1940140;0;6602960;76567,3;490951;0;130456000;26852,4;4469670;367799;4,6e+07;0;260753
"building_commercial_innercity";52889600;2214370;304186;258299;46235,2;3757230;306508;3200100;9494390;27686700;291,451;184123;0;2247660;644086;2545420
"building_highrise";22437000;4576390;2137,7;0;4086,06;1832470;0;0;0;14171000;15663,2;37321,3;9342,78;729381;0;1059250
"building_lightweight";52829100;0;1198460;812418;0;3870800;0;0;0;39427000;0;0;0;4959780;0;2560560
"building_multifamily";161459000;6759930;928605;788521;141144;11469900;935692;9769100;28984000;84520600;889,727;562080;0;6861560;1966230;7770520
"building_singlefamily";753178000;134047000;19650300;19267000;0;85232800;1922420;0;99826100;314097000;240170;4579540;3894650;7339130;16796200;46286300
"building_skyscraper";10344300;0;0;6686,64;0;276382;60179,9;0;0;8780320;0;274153;0;946624;0;0
"other_airport";18124800;17898100;0;0;0;0;0;226634;0;0;0;0;0;0;0;0
"other_parking";77676200;76704900;0;0;0;0;0;971271;0;0;0;0;0;0;0;0
"other_remaining_impervious";1076290000;1062830000;0;0;0;0;0;13458000;0;0;0;0;0;0;0;0
"rail_bridge";830542;0;0;0;0;0;0;0;0;63431,8;0;0;0;767110;0;0
"rail_other";403779;26249,8;0;0;0;0;0;0;0;365623;656,246;0;0;11249,9;0;0
"rail_railway";24589400;23237100;0;0;0;0;0;0;0;144825;0;0;0;496022;0;711449
"rail_subway";5494870;0;0;0;0;0;1838,83;0;0;5234990;2991,42;0;0;255050;0;0
"rail_subway_elevated";244600;19380;0;0;0;0;286,25;0;0;208857;341,112;0;0;15736,2;0;0
"rail_subway_surface";1488800;211044;0;0;0;0;2283,39;0;0;1152210;3714,64;0;0;119547;0;0
"rail_tram";11824,6;768,72;0;0;0;0;0;0;0;10707,2;19,218;0;0;329,451;0;0
"rail_tunnel";1427990;0;0;0;0;0;0;0;0;1376110;0;0;0;51879,3;0;0
"street_bridge_motorway";6215250;0;0;0;0;0;0;0;0;5775570;0;0;0;439681;0;0
"street_bridge_other";3602310;0;0;0;0;0;0;0;0;3259910;0;0;0;342401;0;0
"street_local";253658000;246624000;0;0;0;0;0;2460080;0;4573790;0;0;0;0;0;0
"street_motorway";97652800;79400800;0;0;0;0;0;980518;0;17271500;0;0;0;0;0;0
"street_motorway_elevated";1660820;1577780;0;0;0;0;0;83040,8;0;0;0;0;0;0;0;0
"street_other_elevated";759753;721765;0;0;0;0;0;37987,6;0;0;0;0;0;0;0;0
"street_primary";9983110;8758330;0;0;0;0;0;137746;0;1087030;0;0;0;0;0;0
"street_secondary";31293000;28393400;0;0;0;0;0;442285;0;2457320;0;0;0;0;0;0
"street_tertiary";74316000;69621400;0;0;0;0;0;1031350;0;3663300;0;0;0;0;0;0
"street_track";4849980;4832980;0;0;0;0;0;5947,83;0;11058,2;0;0;0;0;0;0
"street_tunnel";3644260;0;0;0;0;0;0;0;0;3511870;0;0;0;132397;0;0
"building";1302310000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";1172090000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";34491800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";487636000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
