"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1945029764.52707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",213742087.326813,57116201.6710625,91.336985864411,1901178.73315752,0,6470363.85069656,75033.3645651601,673785.045546055,0,129338536.597664,26312.6424097382,4379912.67800999,360415.442772552,13274570.4349165,0,125694.935165979
"building_commercial_innercity",44017833.2293015,2166060.52081203,82056.1881750673,218031.353177905,45303.7023787722,5027512.33495331,162933.891935468,6350.11532691214,9303173.02484703,22295783.8099518,285.226430612995,133771.24801445,78810.204204306,1686649.12679863,631112.830992222,2179993.06273699
"building_highrise",18362706.5058594,351239.206207275,8603.29812312126,4662.98503172398,0,1386302.26852417,36978.242729187,53195.8888587952,0,15293518.7490234,0,42786.9583520889,15563.7389135361,945820.553634644,26024.0884895325,198010.01234436
"building_lightweight",51189732.7856669,0,587297.329800151,796239.882110935,0,3793718.86250076,0,0,0,38641950.5102251,0,0,0,4861017.96636263,0,2509568.07359387
"building_multifamily",134415705.649345,6614423.32499266,250572.243556442,665794.678844266,138342.29408746,15352330.6886585,497545.492077369,19391.1344997874,28408770.1672139,68083867.4871445,870.986531559567,408492.456432179,240659.818086496,5150470.1831423,1927208.96250728,6656968.94148761
"building_singlefamily",624790326.187503,132006790.69506,8322413.10277427,10120759.3535899,0,60935286.3600566,1653422.92705559,296564.311772194,79502437.5833605,266325543.899254,164874.860481775,2846438.89759488,3083683.86461653,4193870.48781885,17112871.8920578,38225225.4173599
"building_skyscraper",10135137.3515625,0,0,6551.47155094147,0,270792.059387207,58962.9704437256,0,0,8602745.90625,0,268608.346435547,0,927479.232666016,0,0
"building",1096652780.47075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",11884210.5078125,11673485.2675781,0,0,0,0,0,210720.253204346,0,0,0,0,0,0,0,0
"other_parking",24732642.0861816,24241788.3093262,0,0,0,0,0,490844.092842102,0,0,0,0,0,0,0,0
"other_remaining_impervious",332322772.042305,325727200.899597,0,0,0,0,0,6595274.49582493,0,0,0,0,0,0,0,0
"other",368939648.293739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",814143.402130127,0,0,0,0,0,0,0,0,62179.3376026154,0,0,0,751963.971923828,0,0
"rail_other",395224.06785965,25693.7371435165,0,0,0,0,0,0,0,357876.594202042,642.343283675611,0,0,11011.5749813914,0,0
"rail_railway",24097008.3647461,22771750.9360504,0,0,0,0,0,0,0,141924.39718926,0,0,0,486088.251936197,0,697201.714865208
"rail_subway",5381682.703125,0,0,0,0,0,1800.9506778717,0,0,5127158.59765625,2929.80136871338,0,0,249795.833984375,0,0
"rail_subway_elevated",239628.4140625,18986.0354003906,0,0,0,0,280.431644439697,0,0,204611.33203125,334.178630828857,0,0,15416.3923339844,0,0
"rail_subway_surface",1458030.40625,206681.99609375,0,0,0,0,2236.19787597656,0,0,1128397.78125,3637.86590576172,0,0,117076.517578125,0,0
"rail_tram",11606.1420898438,754.520126342773,0,0,0,0,0,0,0,10509.3858642578,18.8629996776581,0,0,323.365715026855,0,0
"rail_tunnel",1400002.23535156,0,0,0,0,0,0,0,0,1349140.81359863,0,0,0,50862.6214237213,0,0
"rail",33797331.6343575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",6090752.44726562,0,0,0,0,0,0,0,0,5659877.79785156,0,0,0,430872.874755859,0,0
"street_bridge_other",3532179.62299156,0,0,0,0,0,0,0,0,3196443.10028648,0,0,0,335735.698683262,0,0
"street_local",218130012.765727,211219863.248432,0,0,0,0,0,2428475.69231286,0,4481964.06506255,0,0,0,0,0,0
"street_motorway",95843629.2628174,77949094.1374664,0,0,0,0,0,968020.952753544,0,16926445.5264854,0,0,0,0,0,0
"street_motorway_elevated",1630797.21362305,1549256.5255127,0,0,0,0,0,81539.8352279663,0,0,0,0,0,0,0,0
"street_other_elevated",744962.203166485,707713.774294376,0,0,0,0,0,37248.081923455,0,0,0,0,0,0,0,0
"street_primary",9802621.41699219,8601424.53198242,0,0,0,0,0,135977.155265808,0,1065209.4385376,0,0,0,0,0,0
"street_secondary",30730131.6250916,27885390.7440338,0,0,0,0,0,436623.316790342,0,2408090.21429634,0,0,0,0,0,0
"street_tertiary",72963422.0417175,68356235.8304443,0,0,0,0,0,1017966.65066957,0,3589272.54486084,0,0,0,0,0,0
"street_track",2600925.92860508,2584235.32009888,0,0,0,0,0,5866.11768424883,0,10826.4560056701,0,0,0,0,0,0
"street_tunnel",3570910.08703613,0,0,0,0,0,0,0,0,3441177.35012817,0,0,0,129732.366456032,0,0
"street",445640855.392606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
