"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1815057145,41328;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";244772723,565186;65408178,209156;104,597030279168;2177187,39642024;0;7409717,60640383;85926,4550300241;771603,480662584;0;148115548,296814;30132,6560514048;5015774,70627499;412739,766130596;15201745,7772713;0;143942,998848721
"building_commercial_innercity";46463681,5257301;2286416,19540358;86615,629044883;230146,147177488;47820,9896984547;5306861,37320614;171987,322436437;6702,95786091406;9820094,6608448;23534650,408762;301,075090462255;141204,162295654;83189,2394076288;1780368,29222655;666180,7506423;2301123,28145957
"building_highrise";7286265,06793213;139370,604711533;3413,76195067167;1850,25750498474;0;550080,494216919;14672,8457419872;21107,9650039673;0;6068419,81256104;0;16977,7235476971;6175,64320361614;375298,802139282;10326,2785201073;78569,732834816
"building_lightweight";51262565,2896514;0;588132,78865824;797372,817391569;0;3799111,62476315;0;0;0;38696872,7283902;0;0;0;4867930,71545675;0;2513136,64054034
"building_multifamily";184153852,960695;9061972,96718562;343292,151118279;912160,514037117;189533,512103114;21033201,1970084;681653,822188258;26566,4780985257;38920956,9120345;93277136,9807587;1193,27960780013;559648,321908101;329712,069740798;7056310,39232796;2640337,80849952;9120267,88632536
"building_singlefamily";596014179,160089;69851945,6238587;11365737,9469703;13065837,0312285;6219,10662967592;111000602,764817;1235942,54819783;1925848,82781392;851597,310156107;312381637,72817;70889,5761105819;5061944,58990259;3724416,85923414;11260400,5877469;24002325,6569911;30208987,3886955
"building_skyscraper";3296334,90625;0;0;2130,78942871094;0;88071,9183349609;19177,0085449219;0;0;2797941,75390625;0;87361,6892089844;0;301651,762695312;0;0
"building";1133250199,08554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";12361446,7897949;12142258,5610352;0;0;0;0;0;219182,057678223;0;0;0;0;0;0;0;0
"other_parking";34001017,6733551;33326225,8306351;0;0;0;0;0;674784,055167675;0;0;0;0;0;0;0;0
"other_remaining_impervious";128155431,485582;125611996,153568;0;0;0;0;0;2543371,98505515;0;0;0;0;0;0;0;0
"other";174517772,573931;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1033413,10678101;0;0;0;0;0;0;0;0;78925,8465843201;0;0;0;954487,411102295;0;0
"rail_other";721691,490081787;46917,4931344986;0;0;0;0;0;0;0;653493,479385376;1172,9368288815;0;0;20107,4969916344;0;0
"rail_railway";23026658,5238037;21760304,0632324;0;0;0;0;0;0;0;135620,747160912;0;0;0;464499,634606361;0;666234,390132904
"rail_subway";8375620,28125;0;0;0;0;0;2802,8526802063;0;0;7979500,984375;4559,70624351501;0;0;388762,422119141;0;0
"rail_subway_elevated";1033122,875;81855,510925293;0;0;0;0;1209,03980398178;0;0;882151,941894531;1440,76187610626;0;0;66465,4373168945;0;0
"rail_subway_surface";2990023,70019531;423848,531860352;0;0;0;0;4585,84128379822;0;0;2314038,47558594;7460,2802028656;0;0;240092,105041504;0;0
"rail_tram";8920,4130859375;579,919982910156;0;0;0;0;0;0;0;8077,4560546875;14,4980001449585;0;0;248,537124633789;0;0
"rail_tunnel";1093296,61303711;0;0;0;0;0;0;0;0;1053578,19192505;0;0;0;39719,8642883301;0;0
"rail";38282800,7473755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7311343,76159668;0;0;0;0;0;0;0;0;6794122,62194824;0;0;0;517220,295783997;0;0
"street_bridge_other";4218402,19603348;0;0;0;0;0;0;0;0;3817442,96825027;0;0;0;400961,838666439;0;0
"street_local";237986477,609421;230369742,827393;0;0;0;0;0;2676665,91918486;0;4940023,69886148;0;0;0;0;0;0
"street_motorway";83905518,5917664;68239937,2092896;0;0;0;0;0;847445,367814064;0;14818097,556427;0;0;0;0;0;0
"street_motorway_elevated";1958106,84281921;1860201,15950012;0;0;0;0;0;97905,3375883102;0;0;0;0;0;0;0;0
"street_other_elevated";889691,349730492;845207,328636169;0;0;0;0;0;44484,5866500735;0;0;0;0;0;0;0;0
"street_primary";42828197,6669006;37580082,7442169;0;0;0;0;0;594091,948073387;0;4653964,22338295;0;0;0;0;0;0
"street_secondary";36967294,4609985;33545179,1681213;0;0;0;0;0;525243,213167191;0;2896852,96137238;0;0;0;0;0;0
"street_tertiary";48865438,4432373;45779811,8261719;0;0;0;0;0;681757,477116585;0;2403823,10290146;0;0;0;0;0;0
"street_track";2483975,82163358;2466976,09795618;0;0;0;0;0;5973,53273576777;0;11024,7126121549;0;0;0;0;0;0
"street_tunnel";1592042,12749863;0;0;0;0;0;0;0;0;1534202,52883911;0;0;0;57839,6308054924;0;0
"street";469006510,891891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
