"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1815056484.76953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",244772692.309235,65408171.4881439,104.597021075533,2177187.71579313,0,7409716.26076221,85926.4739105254,771603.540646553,0,148115538.352661,30132.6604431905,5015775.51268673,412739.863671482,15201744.5382099,0,143943.027558967
"building_commercial_innercity",46463679.3304482,2286416.07242537,86615.6067483351,230146.165787965,47820.9877296537,5306863.73937511,171987.299754724,6702.9583266126,9820093.51643562,23534654.0934696,301.075110653328,141204.125852302,83189.2427248061,1780369.03133941,666180.688261509,2301123.93158698
"building_highrise",7286264.73297119,139370.593725204,3413.76200979948,1850.25723652542,0,550080.456130981,14672.8446280956,21107.963218689,0,6068419.91021729,0,16977.7224986553,6175.64303672314,375298.804092407,10326.2764639854,78569.7455911636
"building_lightweight",51262553.7960205,0,588132.734991074,797372.777451396,0,3799112.25264359,0,0,0,38696868.504509,0,0,0,4867930.0110445,0,2513136.80309343
"building_multifamily",184153862.302216,9061973.76141644,343292.151146472,912160.39519906,189533.547252208,21033202.9402828,681653.90741539,26566.4798731655,38920947.0968056,93277119.2202606,1193.27982465574,559648.218265355,329712.136345446,7056309.85610867,2640338.36118507,9120269.37643051
"building_singlefamily",596014079.726685,69851934.8211975,11365734.4759312,13065842.6102486,6219.10440728627,111000599.274963,1235942.33669353,1925849.64418459,851597.234832764,312381626.096497,70889.5547184646,5061944.25682831,3724416.84470272,11260399.2962914,24002330.2501717,30208986.1971741
"building_skyscraper",3296334.90625,0,0,2130.78942871094,0,88071.9183349609,19177.0095214844,0,0,2797941.75390625,0,87361.6892089844,0,301651.747070312,0,0
"building",1133249809.46265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",12361446.5368652,12142258.5668945,0,0,0,0,0,219182.059783936,0,0,0,0,0,0,0,0
"other_parking",34001012.4759216,33326228.9378967,0,0,0,0,0,674784.148928165,0,0,0,0,0,0,0,0
"other_remaining_impervious",128155464.839142,125611963.517578,0,0,0,0,0,2543371.03293133,0,0,0,0,0,0,0,0
"other",174517794.703918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1033413.2477417,0,0,0,0,0,0,0,0,78925.849029541,0,0,0,954487.353942871,0,0
"rail_other",721691.545776367,46917.4770460129,0,0,0,0,0,0,0,653493.419342041,1172.93697142601,0,0,20107.4931087494,0,0
"rail_railway",23026659.0078125,21760306.3359375,0,0,0,0,0,0,0,135620.718078613,0,0,0,464499.601867676,0,666234.402099609
"rail_subway",8375620.5,0,0,0,0,0,2802.85272216797,0,0,7979501,4559.70617675781,0,0,388762.4140625,0,0
"rail_subway_elevated",1033122.859375,81855.5234375,0,0,0,0,1209.0397567749,0,0,882151.84375,1440.76210021973,0,0,66465.4360351562,0,0
"rail_subway_surface",2990023.6875,423848.5625,0,0,0,0,4585.84075927734,0,0,2314038.5625,7460.27868652344,0,0,240092.06640625,0,0
"rail_tram",8920.4130859375,579.919982910156,0,0,0,0,0,0,0,8077.4560546875,14.4980001449585,0,0,248.537124633789,0,0
"rail_tunnel",1093296.54272461,0,0,0,0,0,0,0,0,1053578.13027954,0,0,0,39719.8618469238,0,0
"rail",38282800.2228699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",7311343.33105469,0,0,0,0,0,0,0,0,6794122.55761719,0,0,0,517220.338745117,0,0
"street_bridge_other",4218401.98645401,0,0,0,0,0,0,0,0,3817442.65990067,0,0,0,400961.808717251,0,0
"street_local",237986437.131104,230369724.389526,0,0,0,0,0,2676665.97164726,0,4940025.38923264,0,0,0,0,0,0
"street_motorway",83905507.0957031,68239887.109375,0,0,0,0,0,847445.251159668,0,14818096.1503906,0,0,0,0,0,0
"street_motorway_elevated",1958106.37854004,1860201.6394043,0,0,0,0,0,97905.3563308716,0,0,0,0,0,0,0,0
"street_other_elevated",889691.407296181,845207.215147018,0,0,0,0,0,44484.5901184082,0,0,0,0,0,0,0,0
"street_primary",42828199.5717773,37580083.5097656,0,0,0,0,0,594091.927284241,0,4653964.44219971,0,0,0,0,0,0
"street_secondary",36967286.078125,33545171.2539062,0,0,0,0,0,525243.186462402,0,2896854.29467773,0,0,0,0,0,0
"street_tertiary",48865433.0703125,45779824.1992188,0,0,0,0,0,681757.530838013,0,2403822.57348633,0,0,0,0,0,0
"street_track",2483976.52399945,2466976.12094355,0,0,0,0,0,5973.53296521585,0,11024.7117352812,0,0,0,0,0,0
"street_tunnel",1592042.17614746,0,0,0,0,0,0,0,0,1534202.50424194,0,0,0,57839.6489343643,0,0
"street",469006501.160156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
