"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";1,01482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";1014820;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";1014,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";1014820000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";54098700;11843500;853888;421226;0;1433580;16623,7;106591;0;28323400;5829,96;970417;79853,3;9987120;0;56612,5
"building_commercial_innercity";5288800;221431;30417,7;25829,1;4623,38;375712;30649,9;320000;949410;2768590;29,1442;18411,7;0;224760;64406,6;254534
"building_highrise";1254510;255879;119,525;0;228,463;102458;0;0;0;792338;875,775;2086,74;522,381;40781,7;0;59225,5
"building_lightweight";16811000;0;381368;258524;0;1231750;0;0;0;12546300;0;0;0;1578280;0;814808
"building_multifamily";17308400;724667;99546,8;84529,8;15130,7;1229580;100307;1047250;3107090;9060640;95,3791;60255,2;0;735562;210781;833003
"building_singlefamily";228899000;40738200;5971940;5855460;0;25903200;584244;0;30338300;95457600;72990,2;1391770;1183630;2230440;5104540;14066900
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"other_airport";11108400;10969500;0;0;0;0;0;138900;0;0;0;0;0;0;0;0
"other_parking";22046300;21770700;0;0;0;0;0;275670;0;0;0;0;0;0;0;0
"other_remaining_impervious";242708000;239673000;0;0;0;0;0;3034840;0;0;0;0;0;0;0;0
"rail_bridge";399489;0;0;0;0;0;0;0;0;30510,5;0;0;0;368978;0;0
"rail_other";989800;64347,3;0;0;0;0;0;0;0;896266;1608,68;0;0;27577,4;0;0
"rail_railway";22686200;21438500;0;0;0;0;0;0;0;133615;0;0;0;457630;0;656383
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";1113,05;72,36;0;0;0;0;0;0;0;1007,87;1,809;0;0;31,0114;0;0
"rail_tunnel";20215,6;0;0;0;0;0;0;0;0;19481,1;0;0;0;734,439;0;0
"street_bridge_motorway";1133890;0;0;0;0;0;0;0;0;1053670;0;0;0;80213,7;0;0
"street_bridge_other";1988110;0;0;0;0;0;0;0;0;1799140;0;0;0;188971;0;0
"street_local";215135000;209246000;0;0;0;0;0;2059690;0;3829400;0;0;0;0;0;0
"street_motorway";40169000;32661100;0;0;0;0;0;403331;0;7104540;0;0;0;0;0;0
"street_motorway_elevated";302369;287251;0;0;0;0;0;15118,5;0;0;0;0;0;0;0;0
"street_other_elevated";419306;398341;0;0;0;0;0;20965,3;0;0;0;0;0;0;0;0
"street_primary";8348660;7324410;0;0;0;0;0;115194;0;909062;0;0;0;0;0;0
"street_secondary";39818700;36129100;0;0;0;0;0;562785;0;3126810;0;0;0;0;0;0
"street_tertiary";57392800;53767200;0;0;0;0;0;796492;0;2829090;0;0;0;0;0;0
"street_track";26436900;26347700;0;0;0;0;0;31172;0;57955,2;0;0;0;0;0;0
"street_tunnel";54292,8;0;0;0;0;0;0;0;0;52320,3;0;0;0;1972,47;0;0
"building";323661000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";275862000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";24096800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";391199000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
