"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";4154288503,37285;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";593488240,461126;158592007,060679;253,611388754473;5278917,72691566;0;17965972,9448532;208341,723290572;1870868,93822508;0;359128409,443712;73061,1936485702;12161509,2409108;1000749,932792;36858921,0732994;0;349011,359343464
"building_commercial_innercity";20641797,008625;1015755,96739221;38479,5700765662;102243,98539789;21244,798258815;2357610,29246426;76406,508407779;2977,83415708668;4362646,69477153;10455428,5039463;133,754611870863;62730,9054385982;36957,3792063445;790940,563748062;295955,271718591;1022290,08641005
"building_highrise";6268221,88985825;119897,641551137;2936,78887457866;1591,73807505984;0;473222,663865566;12622,7489678673;18158,7537509315;0;5220537,66160297;0;14605,5854689591;5312,77935058624;322861,81299299;8883,48395067453;67591,9225631058
"building_lightweight";122339640,709463;0;1403596,35213325;1902954,59707391;0;9066699,15716738;0;0;0;92351283,1657352;0;0;0;11617465,2294567;0;5997676,1721775
"building_multifamily";101619706,783245;5000575,37219441;189435,177869782;503347,868766755;104588,256526962;11606530,0641832;376149,812691763;14659,9000119399;21477340,1778421;51472134,6529961;658,474859318812;308824,662318662;181941,433018718;3893805,18018234;1456989,66615283;5032739,42274153
"building_singlefamily";1368558479,78477;289151443,000906;18229651,9504389;22168817,6123207;0;133474408,487298;3621708,18635372;649603,890350857;174144534,015314;583367227,288484;361147,042428972;6234925,20010552;6754592,0228949;9186382,63218958;37484552,6160312;83729735,9408427
"building_skyscraper";4105843,625;0;0;2654,06643104553;0;109700,513916016;23886,4731445312;0;0;3485056,79296875;0;108815,852050781;0;375731,082519531;0;0
"building";2217021968,13666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";35192515,9257812;34568531,5888672;0;0;0;0;0;624002,505172729;0;0;0;0;0;0;0;0
"other_parking";16882978,5499878;16547924,026825;0;0;0;0;0;335059,700125217;0;0;0;0;0;0;0;0
"other_remaining_impervious";559823195,973259;548712885,469706;0;0;0;0;0;11110250,2524182;0;0;0;0;0;0;0;0
"other";611898787,665541;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1169036,9431839;0;0;0;0;0;0;0;0;89283,9879584312;0;0;0;1079752,98569107;0;0
"rail_other";1289299,36238098;83817,9651851654;0;0;0;0;0;0;0;1167464,31254578;2095,4490109086;0;0;35921,9265837669;0;0
"rail_railway";73697267,8330383;69644352,4455261;0;0;0;0;0;0;0;434056,756489038;0;0;0;1486636,82507682;0;2132297,91358709
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";52318,41015625;3401,23785400391;0;0;0;0;0;0;0;47374,3671875;85,0309524536133;0;0;1457,67443847656;0;0
"rail_tunnel";458445,205474854;0;0;0;0;0;0;0;0;441789,842163086;0;0;0;16655,4764385223;0;0
"rail";76666399,8991013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";7717460,81054688;0;0;0;0;0;0;0;0;7171510,8515625;0;0;0;545949,903198242;0;0
"street_bridge_other";6581429,68431854;0;0;0;0;0;0;0;0;5955860,58634186;0;0;0;625568,884163857;0;0
"street_local";788557383,194885;763759213,921707;0;0;0;0;0;8714650,80783427;0;16083655,9596744;0;0;0;0;0;0
"street_motorway";218018478,049316;177313475,349731;0;0;0;0;0;2201987,61443901;0;38503145,5396118;0;0;0;0;0;0
"street_motorway_elevated";2059651,28015137;1956668,67541504;0;0;0;0;0;102982,552139282;0;0;0;0;0;0;0;0
"street_other_elevated";1388070,74979401;1318667,3261795;0;0;0;0;0;69403,5384005904;0;0;0;0;0;0;0;0
"street_primary";13562931,7832642;11900972,0782471;0;0;0;0;0;188138,825295925;0;1473831,41442871;0;0;0;0;0;0
"street_secondary";84958502,0257263;77093891,7268677;0;0;0;0;0;1207118,90582371;0;6657561,24666405;0;0;0;0;0;0
"street_tertiary";100239830,766144;93910308,3466949;0;0;0;0;0;1398523,64675069;0;4931090,5494957;0;0;0;0;0;0
"street_track";24571982,941136;24419853,1597577;0;0;0;0;0;53465,7200198788;0;98675,9853175026;0;0;0;0;0;0
"street_tunnel";1045492,39611816;0;0;0;0;0;0;0;0;1007509,27613831;0;0;0;37983,1059184074;0;0
"street";1248701528,63421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
