"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",5.91284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",5912850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",5912.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",5912850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",684103000,149767000,10797800,5326600,0,18128300,210214,1347900,0,358163000,73722.5,12271400,1009780,126292000,0,715891
"building_commercial_innercity",24533200,1027150,141099,119814,21446.5,1742820,142176,1484390,4404040,12842700,135.192,85406.6,0,1042600,298764,1180710
"building_highrise",7576500,1545350,721.858,0,1379.78,618786,0,0,0,4785240,5289.15,12602.6,3154.86,246297,0,357686
"building_lightweight",124502000,0,2824410,1914620,0,9122300,0,0,0,92917700,0,0,0,11688700,0,6034460
"building_multifamily",120466000,5043650,692841,588323,105309,8557780,698128,7288820,21625200,63061600,663.834,419373,0,5119470,1467020,5797660
"building_singlefamily",1627660000,289682000,42465400,41637100,0,184193000,4154450,0,215730000,678782000,519020,9896640,8416560,15860300,36297500,100027000
"building_skyscraper",4148170,0,0,2681.4,0,110832,24132.7,0,0,3520990,0,109938,0,379605,0,0
"other_airport",53104100,52440100,0,0,0,0,0,664019,0,0,0,0,0,0,0,0
"other_parking",52435200,51779600,0,0,0,0,0,655655,0,0,0,0,0,0,0,0
"other_remaining_impervious",1745810000,1723980000,0,0,0,0,0,21829700,0,0,0,0,0,0,0,0
"rail_bridge",1176990,0,0,0,0,0,0,0,0,89891.2,0,0,0,1087100,0,0
"rail_other",1291260,83945.1,0,0,0,0,0,0,0,1169240,2098.63,0,0,35976.5,0,0
"rail_railway",74230100,70147800,0,0,0,0,0,0,0,437195,0,0,0,1497390,0,2147710
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",52818,3433.72,0,0,0,0,0,0,0,47826.8,85.843,0,0,1471.59,0,0
"rail_tunnel",462374,0,0,0,0,0,0,0,0,445575,0,0,0,16798.2,0,0
"street_bridge_motorway",7788290,0,0,0,0,0,0,0,0,7237330,0,0,0,550961,0,0
"street_bridge_other",6620830,0,0,0,0,0,0,0,0,5991520,0,0,0,629314,0,0
"street_local",908126000,883267000,0,0,0,0,0,8694350,0,16164600,0,0,0,0,0,0
"street_motorway",219695000,178632000,0,0,0,0,0,2205920,0,38856600,0,0,0,0,0,0
"street_motorway_elevated",2077540,1973670,0,0,0,0,0,103877,0,0,0,0,0,0,0,0
"street_other_elevated",1396380,1326560,0,0,0,0,0,69819.1,0,0,0,0,0,0,0,0
"street_primary",13648600,11974100,0,0,0,0,0,188322,0,1486150,0,0,0,0,0,0
"street_secondary",85219100,77322800,0,0,0,0,0,1204460,0,6691930,0,0,0,0,0,0
"street_tertiary",100662000,94302900,0,0,0,0,0,1396980,0,4961980,0,0,0,0,0,0
"street_track",45012100,44860300,0,0,0,0,0,53074.2,0,98676,0,0,0,0,0,0
"street_tunnel",1053690,0,0,0,0,0,0,0,0,1015410,0,0,0,38280.8,0,0
"building",2592990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",1851350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",77213600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1391300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
