"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";3217637371,74701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";377833369,984238;100964666,872074;161,456932625946;3360725,39333311;0;11437708,8038431;132636,871330008;1191054,54138972;0;228632515,499868;46513,0592888519;7742402,83087409;637109,200978711;23465548,5107806;0;222191,647480004
"building_commercial_innercity";26802617,6110067;1318921,32191634;49964,3068988752;132760,051315568;27585,5809560269;3061269,09367275;99211,0551688001;3866,60904126777;5664735,57859635;13575981,4233632;173,675440456405;81453,7810709439;47987,7812092379;1027007,17474484;384286,928260222;1327405,51029354
"building_highrise";3801140,64239883;72707,6668631434;1780,91079185717;965,252814527601;0;286969,077998161;7654,61550022662;11011,7309969217;0;3165808,61738968;0;8857,03858834505;3221,74546128884;195788,030164242;5387,07288666815;40988,7168729901
"building_lightweight";100888463,077087;0;1157488,11425591;1569288,03420019;0;7476931,81577873;0;0;0;76158279,781189;0;0;0;9580444,57011032;0;4946036,50812531
"building_multifamily";57820403,8437386;2845266,41403115;107786,306407351;286398,692038238;59509,4500269741;6603972,98921227;214024,755992681;8341,30400142609;12220341,9388709;29287026,1644802;374,664243118212;175717,550253801;103522,436958987;2215529,05754906;829009,619412214;2863568,63045192
"building_singlefamily";913934048,728271;113148721,645905;17059407,166069;19668024,3558044;8866,86481817067;164517101,463409;1931953,30636549;2776232,03373086;9379372,2706852;472729660,726929;118003,84850347;7509392,69413471;5626780,54012871;16485206,2964134;35978767,9675522;46996209,0435181
"building_skyscraper";7225493,375;0;0;4670,64385986328;0;193051,6953125;42035,5756835938;0;0;6133025,625;0;191494,9375;0;661214,140625;0;0
"building";1488305262,04688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";25512635,7215576;25060268,8223877;0;0;0;0;0;452367,263758659;0;0;0;0;0;0;0;0
"other_parking";8795039,63766479;8620491,80657959;0;0;0;0;0;174546,320806026;0;0;0;0;0;0;0;0
"other_remaining_impervious";266585678,300642;261294969,857046;0;0;0;0;0;5290659,9600263;0;0;0;0;0;0;0;0
"other";300893293,19084;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1985471,87348175;0;0;0;0;0;0;0;0;151638,347101212;0;0;0;1833833,60999298;0;0
"rail_other";896748,102638245;58297,8518118858;0;0;0;0;0;0;0;812006,009780884;1457,4458874464;0;0;24984,7700529099;0;0
"rail_railway";82258213,7050781;77734368,5668945;0;0;0;0;0;0;0;484477,910326958;0;0;0;1659328,12679291;0;2379987,98905563
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";47441,083984375;3084,1669921875;0;0;0;0;0;0;0;42957,9375;77,1040210723877;0;0;1321,78491210938;0;0
"rail_tunnel";553504,185943604;0;0;0;0;0;0;0;0;533395,239349365;0;0;0;20108,9966831207;0;0
"rail";85741367,1114273;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";9805289,92163086;0;0;0;0;0;0;0;0;9111638,00488281;0;0;0;693647,205978394;0;0
"street_bridge_other";9001109,76092529;0;0;0;0;0;0;0;0;8145549,88137817;0;0;0;855561,120933533;0;0
"street_local";777714913,35346;752842853,872704;0;0;0;0;0;8740581,24682233;0;16131509,5928977;0;0;0;0;0;0
"street_motorway";196118359,215576;159502341,958801;0;0;0;0;0;1980795,97511435;0;34635431,2449188;0;0;0;0;0;0
"street_motorway_elevated";2613471,64776611;2482798,17352295;0;0;0;0;0;130673,617362976;0;0;0;0;0;0;0;0
"street_other_elevated";1898399,03789902;1803479,03370285;0;0;0;0;0;94919,9246006012;0;0;0;0;0;0;0;0
"street_primary";87216823,7729492;76529476,402832;0;0;0;0;0;1209829,39825439;0;9477495,70053101;0;0;0;0;0;0
"street_secondary";98405750,1772766;89296176,0941467;0;0;0;0;0;1398171,16577506;0;7711322,83792305;0;0;0;0;0;0
"street_tertiary";155721900,068916;145888844,795242;0;0;0;0;0;2172589,98505402;0;7660384,84454703;0;0;0;0;0;0
"street_track";3661495,17092991;3636497,71504104;0;0;0;0;0;8782,86647872534;0;16209,6240105825;0;0;0;0;0;0
"street_tunnel";540426,001846313;0;0;0;0;0;0;0;0;520792,305145264;0;0;0;19633,8661155701;0;0
"street";1342697487,47162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
