"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";2,16135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";2161350;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";2161,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";2161350000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";226815000;49655300;3580020;1766040;0;6010430;69696,4;446895;0;118749000;24442,7;4068580;334794;41872100;0;237354
"building_commercial_innercity";6942550;290670;39929;33905,6;6069,05;493192;40233,7;420061;1246280;3634300;38,2573;24168,8;0;295040;84545,8;334124
"building_highrise";405787;82766,8;38,6617;0;73,899;33141,3;0;0;0;256291;283,279;674,978;168,97;13191,3;0;19157,2
"building_lightweight";52873000;0;1199460;813093;0;3874020;0;0;0;39459800;0;0;0;4963910;0;2562690
"building_multifamily";26772900;1120920;153980;130752;23404,4;1901920;155155;1619900;4806090;14015100;147,533;93203,4;0;1137770;326038;1288500
"building_singlefamily";420470000;21015600;21304300;16235500;2545,29;58455900;1292060;419266;0;243306000;87463,8;4912030;2832880;7525780;12664100;30416400
"building_skyscraper";909311;0;0;587,784;0;24295,1;5290,07;0;0;771827;0;24099,2;0;83212,2;0;0
"other_airport";22391100;22111100;0;0;0;0;0;279980;0;0;0;0;0;0;0;0
"other_parking";25102100;24788200;0;0;0;0;0;313879;0;0;0;0;0;0;0;0
"other_remaining_impervious";442567000;437033000;0;0;0;0;0;5533900;0;0;0;0;0;0;0;0
"rail_bridge";981253;0;0;0;0;0;0;0;0;74942,1;0;0;0;906310;0;0
"rail_other";50815,2;3303,52;0;0;0;0;0;0;0;46013,3;82,588;0;0;1415,79;0;0
"rail_railway";48224400;45572300;0;0;0;0;0;0;0;284028;0;0;0;972793;0;1395280
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";27278;0;0;0;0;0;0;0;0;26286,9;0;0;0;991,017;0;0
"street_bridge_motorway";6542570;0;0;0;0;0;0;0;0;6079730;0;0;0;462836;0;0
"street_bridge_other";6982610;0;0;0;0;0;0;0;0;6318910;0;0;0;663701;0;0
"street_local";479641000;466049000;0;0;0;0;0;4754010;0;8838700;0;0;0;0;0;0
"street_motorway";105037000;85405100;0;0;0;0;0;1054670;0;18577600;0;0;0;0;0;0
"street_motorway_elevated";1742800;1655660;0;0;0;0;0;87139,8;0;0;0;0;0;0;0;0
"street_other_elevated";1472680;1399050;0;0;0;0;0;73634,1;0;0;0;0;0;0;0;0
"street_primary";103230000;90565600;0;0;0;0;0;1424370;0;11240500;0;0;0;0;0;0
"street_secondary";70117400;63620300;0;0;0;0;0;991018;0;5506050;0;0;0;0;0;0
"street_tertiary";94607400;88630900;0;0;0;0;0;1312950;0;4663530;0;0;0;0;0;0
"street_track";17359600;17293600;0;0;0;0;0;23094,8;0;42938;0;0;0;0;0;0
"street_tunnel";80493,4;0;0;0;0;0;0;0;0;77569,1;0;0;0;2924,35;0;0
"building";735188000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";490060000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";49283800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";886815000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
