"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";1,4499;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";1449900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";1449,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";1449900000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";74454500;16299900;1175180;579722;0;1972990;22878,7;146698;0;38980700;8023,6;1335560;109900;13745000;0;77914,2
"building_commercial_innercity";1345910;56350,2;7740,78;6573,05;1176,57;95612;7799,86;81434,5;241608;704558;7,4167;4685,46;0;57197,4;16390,4;64774,5
"building_highrise";484211;98762,8;46,1337;0;88,181;39546,4;0;0;0;305823;338,027;805,428;201,626;15740,7;0;22859,6
"building_lightweight";16169400;0;366814;248658;0;1184740;0;0;0;12067500;0;0;0;1518050;0;783713
"building_multifamily";1667250;69804,1;9588,92;8142,39;1457,48;118440;9662,1;100877;299293;872773;9,18746;5804,13;0;70853,5;20303,6;80239,6
"building_singlefamily";165856000;29518200;4327160;4242750;0;18769000;423332;0;21982500;69166800;52887,4;1008450;857635;1616140;3698650;10192600
"building_skyscraper";89848,5;0;0;58,0786;0;2400,58;522,708;0;0;76263,7;0;2381,23;0;8222,15;0;0
"other_airport";26166900;25839700;0;0;0;0;0;327193;0;0;0;0;0;0;0;0
"other_parking";21170700;20906000;0;0;0;0;0;264721;0;0;0;0;0;0;0;0
"other_remaining_impervious";170094000;167967000;0;0;0;0;0;2126870;0;0;0;0;0;0;0;0
"rail_bridge";1007480;0;0;0;0;0;0;0;0;76945,5;0;0;0;930538;0;0
"rail_other";1161220;75491,4;0;0;0;0;0;0;0;1051490;1887,28;0;0;32353,4;0;0
"rail_railway";60227100;56914900;0;0;0;0;0;0;0;354721;0;0;0;1214910;0;1742560
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";1238210;0;0;0;0;0;0;0;0;1193230;0;0;0;44984,6;0;0
"street_bridge_motorway";3150070;0;0;0;0;0;0;0;0;2927230;0;0;0;222843;0;0
"street_bridge_other";2685800;0;0;0;0;0;0;0;0;2430520;0;0;0;255287;0;0
"street_local";562263000;546798000;0;0;0;0;0;5409030;0;10056500;0;0;0;0;0;0
"street_motorway";123333000;100281000;0;0;0;0;0;1238370;0;21813400;0;0;0;0;0;0
"street_motorway_elevated";838461;796538;0;0;0;0;0;41923;0;0;0;0;0;0;0;0
"street_other_elevated";566455;538133;0;0;0;0;0;28322,8;0;0;0;0;0;0;0;0
"street_primary";8025390;7040790;0;0;0;0;0;110734;0;873861;0;0;0;0;0;0
"street_secondary";86403300;78397200;0;0;0;0;0;1221200;0;6784920;0;0;0;0;0;0
"street_tertiary";27123000;25409600;0;0;0;0;0;376411;0;1336990;0;0;0;0;0;0
"street_track";93297800;92978000;0;0;0;0;0;111844;0;207941;0;0;0;0;0;0
"street_tunnel";1085060;0;0;0;0;0;0;0;0;1045640;0;0;0;39420,6;0;0
"building";260067000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";217432000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";63634000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";908771000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
