"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",5.40779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",5407790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",5407.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",5407790000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",653229000,143008000,10310500,5086210,0,17310100,200727,1287060,0,341999000,70395.3,11717600,964210,120592000,0,683582
"building_commercial_innercity",43411900,1817560,249677,212012,37949.9,3083940,251582,2626650,7793010,22725300,239.224,151128,0,1844890,528667,2089280
"building_highrise",4733940,965563,451.03,0,862.11,386629,0,0,0,2989900,3304.75,7874.34,1971.21,153891,0,223489
"building_lightweight",143312000,0,3251120,2203880,0,10500500,0,0,0,106956000,0,0,0,13454600,0,6946140
"building_multifamily",282275000,11818200,1623460,1378550,246759,20052500,1635850,17079100,50672000,147765000,1555.49,982672,0,11995900,3437520,13585000
"building_singlefamily",1575050000,127049000,77694000,40661800,14672.4,275371000,3723350,2416870,4396910,823230000,214137,14481900,10240100,28822400,73742000,92994600
"building_skyscraper",4507600,0,0,2913.74,0,120435,26223.7,0,0,3826070,0,119464,0,412496,0,0
"other_airport",44389400,43834300,0,0,0,0,0,555049,0,0,0,0,0,0,0,0
"other_parking",107475000,106131000,0,0,0,0,0,1343880,0,0,0,0,0,0,0,0
"other_remaining_impervious",978859000,966620000,0,0,0,0,0,12239800,0,0,0,0,0,0,0,0
"rail_bridge",1435040,0,0,0,0,0,0,0,0,109599,0,0,0,1325440,0,0
"rail_other",696722,45294.2,0,0,0,0,0,0,0,630884,1132.36,0,0,19411.8,0,0
"rail_railway",68845600,65059400,0,0,0,0,0,0,0,405481,0,0,0,1388770,0,1991920
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",20687.8,1344.92,0,0,0,0,0,0,0,18732.8,33.623,0,0,576.394,0,0
"rail_tunnel",429275,0,0,0,0,0,0,0,0,413679,0,0,0,15595.7,0,0
"street_bridge_motorway",10866700,0,0,0,0,0,0,0,0,10098000,0,0,0,768736,0,0
"street_bridge_other",11078300,0,0,0,0,0,0,0,0,10025300,0,0,0,1053000,0,0
"street_local",859292000,835033000,0,0,0,0,0,8484810,0,15775000,0,0,0,0,0,0
"street_motorway",252083000,204967000,0,0,0,0,0,2531130,0,44585000,0,0,0,0,0,0
"street_motorway_elevated",2894780,2750050,0,0,0,0,0,144739,0,0,0,0,0,0,0,0
"street_other_elevated",2336500,2219680,0,0,0,0,0,116825,0,0,0,0,0,0,0,0
"street_primary",122215000,107221000,0,0,0,0,0,1686310,0,13307600,0,0,0,0,0,0
"street_secondary",102249000,92774500,0,0,0,0,0,1445160,0,8029210,0,0,0,0,0,0
"street_tertiary",124805000,116921000,0,0,0,0,0,1732040,0,6152090,0,0,0,0,0,0
"street_track",10170900,10132600,0,0,0,0,0,13387.2,0,24889.5,0,0,0,0,0,0
"street_tunnel",1123740,0,0,0,0,0,0,0,0,1082920,0,0,0,40826,0,0
"building",2706520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",1130720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",71427300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1499120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
