"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1010462556,56627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";63469990,3285522;16960452,9680176;27,1221942882039;564548,337709904;0;1921351,91009712;22280,8832206205;200078,25531888;0;38406620,6598206;7813,44750995189;1300599,92856216;107024,134753376;3941838,64611053;0;37324,6748326123
"building_commercial_innercity";843501,644100189;41507,6149329543;1572,42014743388;4178,07451265305;868,142568239942;96340,8017718792;3122,25799687207;121,685540471226;178274,098433018;427248,00521946;5,46571741181833;2563,4211660549;1510,21767598763;32320,8167546391;12093,846006453;41774,6070939302
"building_highrise";498800,848945618;9540,98945045471;233,698244232684;126,664335791022;0;37657,2319607735;1004,46933595836;1445,00312872231;0;415430,078918457;0;1162,25593936443;422,7703365013;25692,0879614353;706,913133077323;5378,70313739777
"building_lightweight";12956058,1880531;0;148644,094896257;201527,359740436;0;960184,640641212;0;0;0;9780226,7451973;0;0;0;1230316,74857903;0;635167,891109705
"building_multifamily";2443165,30352688;120225,013756931;4554,44710934721;12101,6108169854;2514,53629092826;279046,94202894;9043,48157225363;352,45679896482;516363,22208631;1237505,31646204;15,8312091034677;7424,83776922897;4374,27875743806;93615,8170038015;35029,29678417;120998,315626651
"building_singlefamily";120742843,220459;25510752,3945312;1608333,35024309;1955871,426754;0;11775948,67342;319529,605417013;57312,0993888974;15364116,8696671;51468299,1217499;31862,6423523873;550084,219174147;595932,257147551;810480,356326103;3307120,01287746;7387158,33982468
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";200954330,966309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";14045091,2719727;13796055,3945312;0;0;0;0;0;249034,933555603;0;0;0;0;0;0;0;0
"other_parking";2102465,36322021;2060740,15020752;0;0;0;0;0;41725,5253329277;0;0;0;0;0;0;0;0
"other_remaining_impervious";61769484,9121231;60543622,7506315;0;0;0;0;0;1225877,47837846;0;0;0;0;0;0;0;0
"other";77917039,3348526;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";577893,522720337;0;0;0;0;0;0;0;0;44136,008149147;0;0;0;533757,519302368;0;0
"rail_other";73442,9050750732;4774,55743312836;0;0;0;0;0;0;0;66502,8600769043;119,364146173;0;0;2046,23729610443;0;0
"rail_railway";67488636,0938721;63776958,7289429;0;0;0;0;0;0;0;397488,895637274;0;0;0;1361391,066329;0;1952656,60238838
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";29360,3332519531;0;0;0;0;0;0;0;0;28293,6625366211;0;0;0;1066,67109298706;0;0
"rail";68169328,5511322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";696720,8984375;0;0;0;0;0;0;0;0;647433,362792969;0;0;0;49287,5552062988;0;0
"street_bridge_other";1734692,52309036;0;0;0;0;0;0;0;0;1569808,90795326;0;0;0;164883,552165627;0;0
"street_local";406026113,20104;393222616,498356;0;0;0;0;0;4499060,10485005;0;8303387,91669548;0;0;0;0;0;0
"street_motorway";63958489,1730957;52017257,8994141;0;0;0;0;0;645981,496707916;0;11295369,1378479;0;0;0;0;0;0
"street_motorway_elevated";185571,510375977;176292,938110352;0;0;0;0;0;9278,57522583008;0;0;0;0;0;0;0;0
"street_other_elevated";365859,078572273;347566,170703888;0;0;0;0;0;18292,9578448981;0;0;0;0;0;0;0;0
"street_primary";36146433,8337059;31717145,6359797;0;0;0;0;0;501405,655421957;0;3927881,44208479;0;0;0;0;0;0
"street_secondary";55312404,4235382;50192274,4583626;0;0;0;0;0;785893,254155993;0;4334439,30151367;0;0;0;0;0;0
"street_tertiary";54483085,9221954;51043211,4872589;0;0;0;0;0;760136,440728188;0;2680213,51931763;0;0;0;0;0;0
"street_track";44426165,1905231;44146848,5582237;0;0;0;0;0;98127,2645623423;0;181102,844611064;0;0;0;0;0;0
"street_tunnel";86394,6212158203;0;0;0;0;0;0;0;0;83255,858795166;0;0;0;3138,7457780838;0;0
"street";663421974,853514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
