"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1010462614.0835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",63469990.9674683,16960452.4117432,27.1221939841271,564548.351343632,0,1921351.92041206,22280.8836017326,200078.258447886,0,38406621.2865295,7813.44749666005,1300599.91786575,107024.131056458,3941838.62494659,0,37324.6749345362
"building_commercial_innercity",843501.642147064,41507.6154975295,1572.4201502949,4178.07449739426,868.142564186826,96340.8018329144,3122.25799305737,121.685540471226,178274.098433018,427248.004242897,5.46571729260904,2563.42118131369,1510.21768027917,32320.816693604,12093.846006453,41774.6072160006
"building_highrise",498800.864570618,9540.98945045471,233.698244232684,126.664335791022,0,37657.230984211,1004.46933595836,1445.00315923989,0,415430.094543457,0,1162.25593936443,422.7703365013,25692.0879614353,706.913133077323,5378.70313739777
"building_lightweight",12956058.1114731,0,148644.095222116,201527.365482926,0,960184.64188242,0,0,0,9780226.78289032,0,0,0,1230316.73721504,0,635167.877930164
"building_multifamily",2443165.30352688,120225.014008701,4554.44710243307,12101.610817939,2514.53629486216,279046.942395151,9043.48155270331,352.456799262844,516363.222452521,1237505.31566858,15.8312090541076,7424.83776541427,4374.27873836458,93615.8172174245,35029.2967803553,120998.315702945
"building_singlefamily",120742846.509216,25510752.0569534,1608333.37258863,1955871.42941189,0,11775948.8344688,319529.602979183,57312.0999519229,15364116.628067,51468297.8125153,31862.6424364448,550084.229768276,595932.236153126,810480.335999966,3307120.14114094,7387158.22455597
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",200954327.973267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",14045091.5473633,13796055.3183594,0,0,0,0,0,249034.931602478,0,0,0,0,0,0,0,0
"other_parking",2102465.37841797,2060740.2354126,0,0,0,0,0,41725.5248465538,0,0,0,0,0,0,0,0
"other_remaining_impervious",61769483.4082726,60543622.3734483,0,0,0,0,0,1225877.46667721,0,0,0,0,0,0,0,0
"other",77917038.6363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",577893.515869141,0,0,0,0,0,0,0,0,44136.0075120926,0,0,0,533757.513687134,0,0
"rail_other",73442.9051971436,4774.55743312836,0,0,0,0,0,0,0,66502.8600769043,119.364146053791,0,0,2046.23729610443,0,0
"rail_railway",67488636.4594727,63776961.138916,0,0,0,0,0,0,0,397488.910899162,0,0,0,1361391.08847618,0,1952656.60121536
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",29360.3332519531,0,0,0,0,0,0,0,0,28293.6625366211,0,0,0,1066.67109298706,0,0
"rail",68169330.1835938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",696720.912109375,0,0,0,0,0,0,0,0,647433.356933594,0,0,0,49287.5574645996,0,0
"street_bridge_other",1734692.48973846,0,0,0,0,0,0,0,0,1569808.85048676,0,0,0,164883.553520203,0,0
"street_local",406026255.44873,393222640.533813,0,0,0,0,0,4499062.22706413,0,8303387.06365204,0,0,0,0,0,0
"street_motorway",63958491.0100098,52017255.0478516,0,0,0,0,0,645981.519542694,0,11295369.0738525,0,0,0,0,0,0
"street_motorway_elevated",185571.512084961,176292.938232422,0,0,0,0,0,9278.57537841797,0,0,0,0,0,0,0,0
"street_other_elevated",365859.083254814,347566.172864914,0,0,0,0,0,18292.957737565,0,0,0,0,0,0,0,0
"street_primary",36146432.7907028,31717146.5798187,0,0,0,0,0,501405.623965859,0,3927881.42895985,0,0,0,0,0,0
"street_secondary",55312419.5444336,50192265.4150391,0,0,0,0,0,785893.371856689,0,4334438.29510498,0,0,0,0,0,0
"street_tertiary",54483085.3708496,51043199.4812622,0,0,0,0,0,760137.042376518,0,2680212.71679306,0,0,0,0,0,0
"street_track",44426161.5152588,44146838.7886963,0,0,0,0,0,98127.2840118408,0,181102.828490257,0,0,0,0,0,0
"street_tunnel",86394.6212158203,0,0,0,0,0,0,0,0,83255.858795166,0,0,0,3138.7457780838,0,0
"street",663421879.064453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
