"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",1.89634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",1896340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",1896.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",1896340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",173261000,37931200,2734740,1349060,0,4591310,53240.4,341379,0,90711200,18671.5,3107950,255745,31985700,0,181312
"building_commercial_innercity",5540250,231958,31863.9,27057.1,4843.18,393574,32107,335214,994548,2900220,30.5298,19287,0,235445,67468.7,266635
"building_highrise",1132380,230967,107.888,0,206.221,92483.4,0,0,0,715198,790.512,1883.58,471.523,36811.3,0,53459.5
"building_lightweight",35021700,0,794489,538572,0,2566050,0,0,0,26137100,0,0,0,3287960,0,1697460
"building_multifamily",30321100,1269480,174387,148080,26506.2,2153980,175718,1834590,5443040,15872500,167.086,105556,0,1288570,369248,1459260
"building_singlefamily",365304000,65014800,9530720,9344820,0,41339300,932405,0,48417300,152342000,116486,2221150,1888970,3559600,8146420,22449600
"building_skyscraper",870782,0,0,562.879,0,23265.7,5065.92,0,0,739123,0,23078.1,0,79686.4,0,0
"other_airport",29846600,29473400,0,0,0,0,0,373205,0,0,0,0,0,0,0,0
"other_parking",12376200,12221400,0,0,0,0,0,154753,0,0,0,0,0,0,0,0
"other_remaining_impervious",319096000,315106000,0,0,0,0,0,3990000,0,0,0,0,0,0,0,0
"rail_bridge",1166110,0,0,0,0,0,0,0,0,89060.2,0,0,0,1077050,0,0
"rail_other",1067230,69380.9,0,0,0,0,0,0,0,966377,1734.52,0,0,29734.7,0,0
"rail_railway",78421300,74108500,0,0,0,0,0,0,0,461880,0,0,0,1581930,0,2268980
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",217831,0,0,0,0,0,0,0,0,209917,0,0,0,7913.87,0,0
"street_bridge_motorway",2182050,0,0,0,0,0,0,0,0,2027680,0,0,0,154363,0,0
"street_bridge_other",5684990,0,0,0,0,0,0,0,0,5144620,0,0,0,540361,0,0
"street_local",602583000,586010000,0,0,0,0,0,5796370,0,10776700,0,0,0,0,0,0
"street_motorway",59377400,48279300,0,0,0,0,0,596200,0,10501900,0,0,0,0,0,0
"street_motorway_elevated",582477,553353,0,0,0,0,0,29123.8,0,0,0,0,0,0,0,0
"street_other_elevated",1199000,1139050,0,0,0,0,0,59950.2,0,0,0,0,0,0,0,0
"street_primary",26568300,23308700,0,0,0,0,0,366587,0,2892940,0,0,0,0,0,0
"street_secondary",60306200,54718300,0,0,0,0,0,852350,0,4735610,0,0,0,0,0,0
"street_tertiary",80073800,75015400,0,0,0,0,0,1111260,0,3947120,0,0,0,0,0,0
"street_track",3911960,3898560,0,0,0,0,0,4686.26,0,8712.72,0,0,0,0,0,0
"street_tunnel",232562,0,0,0,0,0,0,0,0,224113,0,0,0,8449.07,0,0
"building",611452000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",361318000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",80872100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",842702000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
