"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",529552735.5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",48233433.2359314,12888959.85849,20.6112823232615,429023.735789299,0,1460114.43694687,16932.1591171548,152047.661502123,0,29186785.6060486,5937.76413189247,988379.329899788,81332.1063959002,2995564.60793877,0,28364.5518319309
"building_commercial_innercity",3116210.97515869,153344.617814064,5809.1080968678,15435.3694143295,3207.24419414997,355919.02120018,11534.7940716743,449.551687017083,658611.255939484,1578414.81420898,20.1924096666044,9470.23769783974,5579.30764877796,119405.163598061,44679.1884658337,154331.053151131
"building_highrise",507700.659362793,9711.22242546082,237.867929458618,128.924313887954,0,38329.1241264343,1022.3911639452,1470.78512227535,0,422842.231018066,0,1182.99318289757,430.313488304615,26150.4946727753,719.526130259037,5474.67118501663
"building_lightweight",13427791.6824341,0,154056.350999832,208865.097726822,0,995145.521678925,0,0,0,10136328.2470703,0,0,0,1275112.90834808,0,658294.301883698
"building_multifamily",11447394.7570801,563311.303436279,21339.7623803616,56701.8404664993,11781.796022892,1307468.02920532,42373.0288920403,1651.42819628119,2419409.07647705,5798304.31994629,74.1767560094595,34788.90629673,20495.5749468803,438634.76525116,164128.946474075,566934.908355713
"building_singlefamily",159895006.915039,33782895.894165,2129852.53844452,2590083.94120789,0,15594435.5142822,423140.676141739,75896.1294927597,20346111.1466064,68157410.1894531,42194.4241294861,728454.787342072,789169.380901337,1073287.63547897,4379492.57188416,9782518.03399658
"building_skyscraper",318217.6875,0,0,205.699630737305,0,8502.1845703125,1851.28759765625,0,0,270104.4375,0,8433.6201171875,0,29120.5078125,0,0
"building",236945805.555664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",5883379.71386719,5779061.72949219,0,0,0,0,0,104318.861877441,0,0,0,0,0,0,0,0
"other_parking",11266235.7351685,11042644.2651367,0,0,0,0,0,223589.836188316,0,0,0,0,0,0,0,0
"other_remaining_impervious",61521521.1495972,60300466.2128754,0,0,0,0,0,1220955.54186773,0,0,0,0,0,0,0,0
"other",78671112.0595703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",215550.978408813,0,0,0,0,0,0,0,0,16462.478099823,0,0,0,199088.501384735,0,0
"rail_other",282777.917236328,18383.5464510918,0,0,0,0,0,0,0,256056.172691345,459.588321834803,0,0,7878.65319824219,0,0
"rail_railway",7293753.90625,6892617.60546875,0,0,0,0,0,0,0,42958.1636657715,0,0,0,147130.281921387,0,211030.750366211
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",36671.9067382812,0,0,0,0,0,0,0,0,35339.6021728516,0,0,0,1332.30299377441,0,0
"rail",7828751.66725159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1661850.2833252,0,0,0,0,0,0,0,0,1544287.71057129,0,0,0,117562.929077148,0,0
"street_bridge_other",1307112.56544304,0,0,0,0,0,0,0,0,1182871.39301491,0,0,0,124241.846279383,0,0
"street_local",112523441.463867,108984811.480469,0,0,0,0,0,1243539.63773346,0,2295062.50376892,0,0,0,0,0,0
"street_motorway",33790497.2744141,27481770.4978027,0,0,0,0,0,341284.244632721,0,5967567.91259766,0,0,0,0,0,0
"street_motorway_elevated",444342.636871338,422125.613372803,0,0,0,0,0,22217.1394081116,0,0,0,0,0,0,0,0
"street_other_elevated",275679.453312397,261895.525540352,0,0,0,0,0,13783.9782709181,0,0,0,0,0,0,0,0
"street_primary",4163994.5,3653752.625,0,0,0,0,0,57760.9459533691,0,452483.939697266,0,0,0,0,0,0
"street_secondary",22950688.9355469,20826075.1074219,0,0,0,0,0,326089.216125488,0,1798469.73852539,0,0,0,0,0,0
"street_tertiary",25572059.6113281,23957309.2539062,0,0,0,0,0,356774.358459473,0,1257958.91967773,0,0,0,0,0,0
"street_track",3333415.03027344,3312783.24072266,0,0,0,0,0,7253.1112537384,0,13386.299495697,0,0,0,0,0,0
"street_tunnel",84536.3085021973,0,0,0,0,0,0,0,0,81465.0645141602,0,0,0,3071.23321151733,0,0
"street",206107728.149784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
