"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2599468106,58548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";357015236,44873;95401702,406044;152,56090098471;3175555,97612667;0;10807507,4003987;125328,845126823;1125429,34070778;0;216035173,880188;43950,2648730911;7315807,37868738;602005,53350395;22172630,1263695;0;209949,313427046
"building_commercial_innercity";112400253,230469;5531073,51649475;209531,829597473;556746,731595993;115683,745452881;12837835,5913086;416054,445998192;16215,130887121;23755808,218811;56932653,1975098;728,330692818388;341587,0695858;201243,148809433;4306890,27700806;1611557,73334122;5566649,16691589
"building_highrise";11218489,6638184;214585,62942791;5256,08800593019;2848,79704724252;0;846945,835140228;22591,4341642857;32499,4510371685;0;9343402,83306885;0;26140,2018543482;9508,49347394705;577838,749305725;15899,1278535128;120971,95539856
"building_lightweight";72625391,3667145;0;833227,142659187;1129664,33910179;0;5382330,77557373;0;0;0;54823116,1463165;0;0;0;6896558,36417198;0;3560441,53059006
"building_multifamily";315820405,854279;15541108,421258;588739,309523433;1564336,20835304;325046,302366704;36071532,8217354;1169023,25628746;45561,0166092925;66748674,7477989;159968528,525032;2046,45099950943;959785,987307847;565449,654313833;12101430,0970526;4528127,0003016;15641079,6692762
"building_singlefamily";854261110,32373;127921786,403473;14591370,9931641;17035775,0336456;5830,16259835288;132880633,829407;1940705,05731297;1945678,9074769;38402504,1824951;418815439,172363;144440,968933105;6091718,76162529;4950057,64122963;12539849,4827576;30595483,9347382;46400017,2332001
"building_skyscraper";18094938,1992188;0;0;11696,7789230347;0;483463,073974609;105270,480667114;0;0;15359052,3642578;0;479564,144683838;0;1655890,79943848;0;0
"building";1741436542,37109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";10333493,1514893;10150267,029541;0;0;0;0;0;183224,26259613;0;0;0;0;0;0;0;0
"other_parking";38002140,4712524;37247951,5385284;0;0;0;0;0;754190,464827538;0;0;0;0;0;0;0;0
"other_remaining_impervious";264910931,818945;259653451,965109;0;0;0;0;0;5257420,6378364;0;0;0;0;0;0;0;0
"other";313246470,215429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1551254,40118408;0;0;0;0;0;0;0;0;118475,41065979;0;0;0;1432779,12371063;0;0
"rail_other";797217,276451111;51827,4939789772;0;0;0;0;0;0;0;721882,398544312;1295,68659487367;0;0;22211,758518815;0;0
"rail_railway";32043416,0175018;30281190,8024445;0;0;0;0;0;0;0;188726,717585802;0;0;0;646385,092265129;0;927116,790908813
"rail_subway";2235187,18359375;0;0;0;0;0;747,992343902588;0;0;2129475,296875;1216,84052467346;0;0;103748,323974609;0;0
"rail_subway_elevated";545154,2578125;43193,2254638672;0;0;0;0;637,981777191162;0;0;465490,701171875;760,256050109863;0;0;35072,2673339844;0;0
"rail_subway_surface";1669585,1953125;236670,704101562;0;0;0;0;2560,66304779053;0;0;1292123,9140625;4165,71020507812;0;0;134063,860839844;0;0
"rail_tram";1023,83538818359;66,5599994659424;0;0;0;0;0;0;0;927,085784912109;1,66399991512299;0;0;28,5257148742676;0;0
"rail_tunnel";959112,98008728;0;0;0;0;0;0;0;0;924267,948875427;0;0;0;34844,9264688492;0;0
"rail";39801953,3725204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";11378815,223877;0;0;0;0;0;0;0;0;10573846,8774414;0;0;0;804961,758346558;0;0
"street_bridge_other";5253915,65441895;0;0;0;0;0;0;0;0;4754527,19238281;0;0;0;499387,930526733;0;0
"street_local";237427812,882284;229828961,580226;0;0;0;0;0;2670381,3287814;0;4928427,40235649;0;0;0;0;0;0
"street_motorway";106982399,75415;87008318,2965393;0;0;0;0;0;1080522,45285082;0;18893610,285202;0;0;0;0;0;0
"street_motorway_elevated";3047612,08789062;2895231,95709229;0;0;0;0;0;152380,615184784;0;0;0;0;0;0;0;0
"street_other_elevated";1108088,94262695;1052684,34100342;0;0;0;0;0;55404,4393367767;0;0;0;0;0;0;0;0
"street_primary";58422966,0039062;51264033,1484375;0;0;0;0;0;810415,274780273;0;6348582,37744141;0;0;0;0;0;0
"street_secondary";37816887,8890381;34316086,5905762;0;0;0;0;0;537316,139595985;0;2963433,4844017;0;0;0;0;0;0
"street_tertiary";40638108,1808863;38072048,7397752;0;0;0;0;0;566972,660451904;0;1999098,36122525;0;0;0;0;0;0
"street_track";1180270,53501129;1172193,38227654;0;0;0;0;0;2838,34266431257;0;5238,4286922738;0;0;0;0;0;0
"street_tunnel";1726771,15512085;0;0;0;0;0;0;0;0;1664037,14398193;0;0;0;62734,2377700806;0;0
"street";504983548,507627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
