"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",3.56912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",3569120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",3569.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",3569120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",416092000,91092800,6567560,3239800,0,11026200,127858,819830,0,217845000,44840.2,7463820,614180,76814500,0,435426
"building_commercial_innercity",134996000,5651990,776408,659284,118011,9589980,782333,8167960,24233600,70667800,743.902,469956,0,5736960,1643970,6496950
"building_highrise",13703400,2795040,1305.61,0,2495.57,1119180,0,0,0,8654950,9566.36,22794.1,5706.13,445471,0,646938
"building_lightweight",74749900,0,1695750,1149520,0,5476940,0,0,0,55786900,0,0,0,7017790,0,3623030
"building_multifamily",379053000,15870100,2180070,1851200,331362,26927600,2196700,22934700,68045100,198427000,2088.79,1319580,0,16108700,4616080,18242700
"building_singlefamily",957660000,113762000,39022000,23567300,5945.77,148927000,2270100,979402,48160500,458996000,187950,7510330,5742340,14574400,37686300,56268000
"building_skyscraper",18465300,0,0,11936.1,0,493359,107425,0,0,15673400,0,489380,0,1689780,0,0
"other_airport",15755300,15558300,0,0,0,0,0,197006,0,0,0,0,0,0,0,0
"other_parking",119313000,117821000,0,0,0,0,0,1491900,0,0,0,0,0,0,0,0
"other_remaining_impervious",851556000,840908000,0,0,0,0,0,10647900,0,0,0,0,0,0,0,0
"rail_bridge",1581710,0,0,0,0,0,0,0,0,120801,0,0,0,1460910,0,0
"rail_other",813576,52890.9,0,0,0,0,0,0,0,736695,1322.27,0,0,22667.5,0,0
"rail_railway",32678800,30881600,0,0,0,0,0,0,0,192469,0,0,0,659203,0,945500
"rail_subway",2280520,0,0,0,0,0,763.164,0,0,2172670,1241.52,0,0,105853,0,0
"rail_subway_elevated",555925,44046.6,0,0,0,0,650.586,0,0,474687,775.276,0,0,35765.2,0,0
"rail_subway_surface",1703210,241437,0,0,0,0,2612.23,0,0,1318150,4249.61,0,0,136764,0,0
"rail_tram",1042.29,67.76,0,0,0,0,0,0,0,943.8,1.694,0,0,29.04,0,0
"rail_tunnel",978277,0,0,0,0,0,0,0,0,942735,0,0,0,35541.1,0,0
"street_bridge_motorway",11607300,0,0,0,0,0,0,0,0,10786100,0,0,0,821124,0,0
"street_bridge_other",5356670,0,0,0,0,0,0,0,0,4847520,0,0,0,509155,0,0
"street_local",273739000,266011000,0,0,0,0,0,2702870,0,5025200,0,0,0,0,0,0
"street_motorway",108966000,88599500,0,0,0,0,0,1094110,0,19272400,0,0,0,0,0,0
"street_motorway_elevated",3102830,2947690,0,0,0,0,0,155141,0,0,0,0,0,0,0,0
"street_other_elevated",1129760,1073270,0,0,0,0,0,56488,0,0,0,0,0,0,0,0
"street_primary",59478900,52181800,0,0,0,0,0,820686,0,6476490,0,0,0,0,0,0
"street_secondary",38492400,34925700,0,0,0,0,0,544041,0,3022660,0,0,0,0,0,0
"street_tertiary",41361000,38748100,0,0,0,0,0,574003,0,2038830,0,0,0,0,0,0
"street_track",2187180,2178950,0,0,0,0,0,2878.08,0,5350.95,0,0,0,0,0,0
"street_tunnel",1761080,0,0,0,0,0,0,0,0,1697100,0,0,0,63980.5,0,0
"building",1994720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",986624000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",40593000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",547182000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
