"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";1553223033,12345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";226957574,538548;60647647,2355804;96,9842341154604;2018726,35195248;0;6870420,33340007;79672,5400613314;715444,540944155;0;137335303,796588;27939,5538881724;4650717,18919837;382699,920723107;14095337,5277188;0;133466,416196255
"building_commercial_innercity";2207157,55503893;108611,328865439;4114,48925567232;10932,5983151793;2271,63354734681;252091,164569169;8169,88504651282;318,409654292074;466482,543714583;1117963,2040683;14,3019226878278;6707,6021393761;3951,72503392538;84572,5586547703;31645,4859312326;109309,938319996
"building_highrise";537832,876464844;10287,5865097046;251,985457658768;136,57600748539;0;40603,9658508301;1083,07025146484;1558,07678985596;0;447938,1171875;0;1253,20412063599;455,852722167969;27702,5308227539;762,23024225235;5799,59461975098
"building_lightweight";28896792,2671747;0;331531,128902771;449479,905382752;0;2141562,21381354;0;0;0;21813478,8379393;0;0;0;2744055,51344657;0;1416657,04137024
"building_multifamily";764815,413331985;37635,5644161105;1425,73607001454;3788,32084452733;787,157436781563;87353,610206604;2830,99578159302;110,334022324532;161643,771063089;387392,101462364;4,95584622697061;2324,29079123773;1369,33608362265;29305,7615006566;10965,6671173424;37877,6513763368
"building_singlefamily";100988152,097001;20096651,8381464;2127908,01712496;2421277,77272487;0;7898309,07998049;347858,966709077;81757,6373721565;4991027,40262616;49532803,6028461;29943,489804237;799669,759149365;585604,9402934;861025,331815279;3852326,46831702;7362020,43939583
"building_skyscraper";316816,59375;0;0;204,7939453125;0;8464,7490234375;1843,13659667969;0;0;268915,1875;0;8396,48828125;0;28992,2890625;0;0
"building";360668849,866197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";23582156,8369141;23164036,9873047;0;0;0;0;0;418137,956787109;0;0;0;0;0;0;0;0
"other_parking";13807134,0416107;13533130,1408844;0;0;0;0;0;274016,774668932;0;0;0;0;0;0;0;0
"other_remaining_impervious";63276450,3667965;62020696,7944908;0;0;0;0;0;1255784,20419872;0;0;0;0;0;0;0;0
"other";100665751,228868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";680874,261383057;0;0;0;0;0;0;0;0;52001,0583286285;0;0;0;628873,22668457;0;0
"rail_other";654662,706912994;42560,0383365154;0;0;0;0;0;0;0;592799,948951721;1064,00142345577;0;0;18240,0026202202;0;0
"rail_railway";47204008,4984741;44608133,5874634;0;0;0;0;0;0;0;278019,270109773;0;0;0;952209,034389496;0;1365759,8345232
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";90856,0902099609;0;0;0;0;0;0;0;0;87555,2575683594;0;0;0;3300,83312606812;0;0
"rail";48630414,9745941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";2489131,08496094;0;0;0;0;0;0;0;0;2313044,60205078;0;0;0;176086,557495117;0;0
"street_bridge_other";2605685,23036957;0;0;0;0;0;0;0;0;2358013,64182281;0;0;0;247671,96096611;0;0
"street_local";611158561,813202;591403747,00843;0;0;0;0;0;6941894,65135467;0;12811883,4412749;0;0;0;0;0;0
"street_motorway";110386522,702637;89777474,8771973;0;0;0;0;0;1114904,5053606;0;19494789,8555603;0;0;0;0;0;0
"street_motorway_elevated";663356,052368164;630188,114685059;0;0;0;0;0;33167,7953491211;0;0;0;0;0;0;0;0
"street_other_elevated";549557,773004532;522079,893148422;0;0;0;0;0;27477,8840129375;0;0;0;0;0;0;0;0
"street_primary";126936799,656738;111381897,872681;0;0;0;0;0;1760797,87244797;0;13793637,7402039;0;0;0;0;0;0
"street_secondary";80704809,7055054;73233099,3284302;0;0;0;0;0;1146667,85707378;0;6324206,51593781;0;0;0;0;0;0
"street_tertiary";72193786,2809296;67635176,4955597;0;0;0;0;0;1007226,23023152;0;3551412,45054436;0;0;0;0;0;0
"street_track";35090402,0211835;34835389,0803835;0;0;0;0;0;89621,382236918;0;165404,658933589;0;0;0;0;0;0
"street_tunnel";480861,215896606;0;0;0;0;0;0;0;0;463391,263961792;0;0;0;17469,8500247002;0;0
"street";1043258424,44596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
