"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";1,62824;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";1628240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";1628,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";1628240000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";309817000;67826500;4890120;2412310;0;8209930;95201,6;610435;0;162205000;33387,4;5557460;457310;57195100;0;324213
"building_commercial_innercity";8896470;372476;51166,7;43448;7777,13;631997;51557,2;538283;1597030;4657140;49,0245;30970,9;0;378076;108341;428160
"building_highrise";8361770;1705520;796,675;0;1522,78;682920;0;0;0;5281200;5837,34;13908,8;3481,84;271824;0;394758
"building_lightweight";39534000;0;896854;607963;0;2896660;0;0;0;29504800;0;0;0;3711590;0;1916160
"building_multifamily";12039400;504064;69242,9;58797,3;10524,6;855269;69771,3;728448;2161240;6302410;66,3439;41912,4;0;511643;146615;579421
"building_singlefamily";193299000;15411600;11127300;9583280;0;18753600;575142;0;11477200;100935000;68802,9;2449540;1314920;2324010;1931090;17347500
"building_skyscraper";53935400;0;0;34864,2;0;1441050;313778;0;0;45780600;0;1429430;0;4935700;0;0
"other_airport";37603400;37133200;0;0;0;0;0;470197;0;0;0;0;0;0;0;0
"other_parking";33313700;32897100;0;0;0;0;0;416558;0;0;0;0;0;0;0;0
"other_remaining_impervious";491961000;485810000;0;0;0;0;0;6151540;0;0;0;0;0;0;0;0
"rail_bridge";302604;0;0;0;0;0;0;0;0;23111,1;0;0;0;279493;0;0
"rail_other";141798;9218,36;0;0;0;0;0;0;0;128399;230,459;0;0;3950,73;0;0
"rail_railway";29866900;28224400;0;0;0;0;0;0;0;175908;0;0;0;602482;0;864144
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";11752;764;0;0;0;0;0;0;0;10641,4;19,1;0;0;327,429;0;0
"rail_tunnel";596596;0;0;0;0;0;0;0;0;574922;0;0;0;21674,6;0;0
"street_bridge_motorway";3106640;0;0;0;0;0;0;0;0;2886870;0;0;0;219771;0;0
"street_bridge_other";1265600;0;0;0;0;0;0;0;0;1145300;0;0;0;120296;0;0
"street_local";153662000;149254000;0;0;0;0;0;1541820;0;2866560;0;0;0;0;0;0
"street_motorway";80296100;65288200;0;0;0;0;0;806242;0;14201700;0;0;0;0;0;0
"street_motorway_elevated";830138;788632;0;0;0;0;0;41506,9;0;0;0;0;0;0;0;0
"street_other_elevated";266906;253560;0;0;0;0;0;13345,3;0;0;0;0;0;0;0;0
"street_primary";16330900;14327400;0;0;0;0;0;225333;0;1778230;0;0;0;0;0;0
"street_secondary";43080200;39088400;0;0;0;0;0;608882;0;3382920;0;0;0;0;0;0
"street_tertiary";37181900;34833000;0;0;0;0;0;516006;0;1832820;0;0;0;0;0;0
"street_track";71595000;71309800;0;0;0;0;0;99731;0;185420;0;0;0;0;0;0
"street_tunnel";947972;0;0;0;0;0;0;0;0;913532;0;0;0;34440,1;0;0
"building";625883000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";562879000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";30919700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";408563000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
