"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";5045558779,03772;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";531460482,907059;142016961,29031;227,105424258461;4727199,1488744;0;16088274,7907654;186567,117145434;1675337,61809774;0;321594667,974724;65425,2788793836;10890458,858878;896157,3025885;33006649,815671;0;312534,753510289
"building_commercial_innercity";263946585,426285;12988463,7504199;492038,083392464;1307393,68651715;271657,184071351;30146746,1938095;977010,144759327;38077,5457046898;55785116,4327259;133693482,280634;1710,32018786896;802139,923361719;472573,829075143;10113750,9689877;3784378,00869441;13072020,4270477
"building_highrise";105577465,993408;2019468,92674351;49465,1497403532;26810,1187690198;0;7970625,6537323;212608,62658155;305852,923125982;0;87930958,0101013;0;246006,04262042;89484,6180007458;5438055,64266205;149627,155798316;1138471,61222911
"building_lightweight";126556446,023096;0;1451974,2773208;1968544,22485352;0;9379204,8461051;0;0;0;95534387,1504803;0;0;0;12017883,0726571;0;6204398,42416906
"building_multifamily";481478135,266754;23692925,9918575;897551,757926658;2384881,30884826;495543,500650868;54992201,4581661;1782212,04681012;69459,1967987902;101760467,137274;243876942,93782;3119,88177606702;1463223,80171201;862045,771425441;18449013,3071744;6903277,22378314;23845321,5047684
"building_singlefamily";1449048167,15112;261226961,343811;22047406,6907206;26205888,025847;4983,09192422777;183688352,601444;3561218,2674973;2004227,95390926;124301011,454819;664408091,487122;313165,275477044;8481853,5481658;7779041,43176341;15543531,2364938;45840852,3344898;83641642,827837
"building_skyscraper";113721790,333984;0;0;73510,9889969826;0;3038431,28369141;661595,548957825;0;0;96527374,6308594;0;3013928,49645996;0;10406816,7612305;0;0
"building";3071788784,68164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";24949375,9760742;24506996,4326172;0;0;0;0;0;442379,973430634;0;0;0;0;0;0;0;0
"other_parking";57083139,3702316;55950259,5158691;0;0;0;0;0;1132872,29684687;0;0;0;0;0;0;0;0
"other_remaining_impervious";464825106,005295;455600017,979446;0;0;0;0;0;9224924,55849767;0;0;0;0;0;0;0;0
"other";546857832,94809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";6833509,8182106;0;0;0;0;0;0;0;0;521902,129606247;0;0;0;6311602,30939484;0;0
"rail_other";1553464,90438843;100991,284964323;0;0;0;0;0;0;0;1406665,48421478;2524,78249294311;0;0;43281,9864606857;0;0
"rail_railway";87412992,068161;82605857,3061295;0;0;0;0;0;0;0;514839,037647814;0;0;0;1763312,97178328;0;2529135,22170472
"rail_subway";60736832,3706055;0;0;0;0;0;20325,247359097;0;0;57864246,4360352;33065,2648515701;0;0;2819155,62028503;0;0
"rail_subway_elevated";11158796,7949219;884124,124755859;0;0;0;0;13058,8611755371;0;0;9528155,51757812;15561,7102203369;0;0;717895,6015625;0;0
"rail_subway_surface";4733350,375;670972,3046875;0;0;0;0;7259,61361694336;0;0;3663232,390625;11809,9755249023;0;0;380075,912109375;0;0
"rail_tram";11440,6220703125;743,759887695312;0;0;0;0;0;0;0;10359,513671875;18,5940017700195;0;0;318,754180908203;0;0
"rail_tunnel";5681634,63442993;0;0;0;0;0;0;0;0;5475216,53668213;0;0;0;206415,682209969;0;0
"rail";178122104,587021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";20790668,4550781;0;0;0;0;0;0;0;0;19319884,7232666;0;0;0;1470777,08045959;0;0
"street_bridge_other";9595896,88266754;0;0;0;0;0;0;0;0;8683801,14331055;0;0;0;912095,599656105;0;0
"street_local";644950891,831299;624580938,390869;0;0;0;0;0;7158333,48820496;0;13211331,6407814;0;0;0;0;0;0
"street_motorway";274072586,956299;222902147,379395;0;0;0;0;0;2768134,60771751;0;48402545,1181335;0;0;0;0;0;0
"street_motorway_elevated";5558747,19110107;5280808,63104248;0;0;0;0;0;277937,371032715;0;0;0;0;0;0;0;0
"street_other_elevated";2023843,64575958;1922651,33814812;0;0;0;0;0;101192,162563801;0;0;0;0;0;0;0;0
"street_primary";30406236,0403137;26680360,263114;0;0;0;0;0;421781,199224964;0;3304123,16416526;0;0;0;0;0;0
"street_secondary";96476388,9241638;87545330,6479797;0;0;0;0;0;1370764,14905953;0;7560129,11743736;0;0;0;0;0;0
"street_tertiary";156787057,521576;146886921,67067;0;0;0;0;0;2187454,17515659;0;7712787,2054913;0;0;0;0;0;0
"street_track";4186035,89947891;4159750,59474564;0;0;0;0;0;9237,43487261236;0;17048,5415805876;0;0;0;0;0;0
"street_tunnel";3943019,39672852;0;0;0;0;0;0;0;0;3799766,81689453;0;0;0;143251,228032112;0;0
"street";1248791755,22961;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
