"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",6.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",6817000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",6817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",6.817e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",617197000,135120000,9741780,4805660,0,16355300,189655,1216070,0,323134000,66512.4,11071200,911025,113940000,0,645876
"building_commercial_innercity",316922000,13268800,1822730,1547760,277048,22513900,1836640,19175500,56891700,165903000,1746.42,1103290,0,13468300,3859450,15252500
"building_highrise",128931000,26297700,12284.1,0,23480.1,10530100,0,0,0,81431700,90006.9,214462,53687.2,4191300,0,6086840
"building_lightweight",129907000,0,2947010,1997730,0,9518280,0,0,0,96951000,0,0,0,12196100,0,6296400
"building_multifamily",577036000,24159300,3318730,2818090,504435,40992100,3344060,34913700,103586000,302068000,3179.79,2008810,0,24522500,7027100,27771000
"building_singlefamily",1678320000,250263000,55782500,42137600,5081.12,224582000,4134850,836974,155131000,750860000,434825,11646700,9353890,20834200,51382500,100932000
"building_skyscraper",116005000,0,0,74986.5,0,3099450,674879,0,0,98465700,0,3074450,0,10615800,0,0
"other_airport",37929400,37455100,0,0,0,0,0,474273,0,0,0,0,0,0,0,0
"other_parking",178616000,176382000,0,0,0,0,0,2233430,0,0,0,0,0,0,0,0
"other_remaining_impervious",1490960000,1472320000,0,0,0,0,0,18643200,0,0,0,0,0,0,0,0
"rail_bridge",6959760,0,0,0,0,0,0,0,0,531545,0,0,0,6428220,0,0
"rail_other",1577740,102570,0,0,0,0,0,0,0,1428650,2564.24,0,0,43958.4,0,0
"rail_railway",88727800,83848200,0,0,0,0,0,0,0,522582,0,0,0,1789840,0,2567180
"rail_subway",61966300,0,0,0,0,0,20736.7,0,0,59035600,33734.6,0,0,2876220,0,0
"rail_subway_elevated",11383900,901958,0,0,0,0,13322.3,0,0,9720350,15875.6,0,0,732377,0,0
"rail_subway_surface",4829310,684575,0,0,0,0,7406.77,0,0,3737490,12049.4,0,0,387782,0,0
"rail_tram",11632.6,756.24,0,0,0,0,0,0,0,10533.3,18.906,0,0,324.103,0,0
"rail_tunnel",5791310,0,0,0,0,0,0,0,0,5580910,0,0,0,210400,0,0
"street_bridge_motorway",21149700,0,0,0,0,0,0,0,0,19653500,0,0,0,1496170,0,0
"street_bridge_other",9744000,0,0,0,0,0,0,0,0,8817830,0,0,0,926173,0,0
"street_local",748010000,727379000,0,0,0,0,0,7215710,0,13415500,0,0,0,0,0,0
"street_motorway",278079000,226104000,0,0,0,0,0,2792150,0,49182800,0,0,0,0,0,0
"street_motorway_elevated",5647290,5364920,0,0,0,0,0,282364,0,0,0,0,0,0,0,0
"street_other_elevated",2055080,1952330,0,0,0,0,0,102754,0,0,0,0,0,0,0,0
"street_primary",30840200,27056500,0,0,0,0,0,425530,0,3358100,0,0,0,0,0,0
"street_secondary",97750200,88692600,0,0,0,0,0,1381570,0,7675940,0,0,0,0,0,0
"street_tertiary",158843000,148808000,0,0,0,0,0,2204410,0,7829920,0,0,0,0,0,0
"street_track",7791410,7764730,0,0,0,0,0,9329.85,0,17346.1,0,0,0,0,0,0
"street_tunnel",4017640,0,0,0,0,0,0,0,0,3871680,0,0,0,145962,0,0
"building",3564310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",1707510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",181248000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",1363930000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
