"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";6,53848;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";6538480;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";6538,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";6538480000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";841730000;184275000;13285800;6553930;0;22305300;258650;1658470;0;440689000;90709,2;15098900;1242450;155391000;0;880843
"building_commercial_innercity";49040100;2053200;282047;239499;42870;3483760;284199;2967180;8803350;25671600;270,238;170721;0;2084070;597206;2360150
"building_highrise";13919300;2839080;1326,18;0;2534,89;1136820;0;0;0;8791300;9717,07;23153,2;5796,02;452489;0;657130
"building_lightweight";168666000;0;3826300;2593790;0;12358200;0;0;0;125878000;0;0;0;15835000;0;8175040
"building_multifamily";247392000;10357700;1422830;1208190;216265;17574500;1433690;14968500;44410100;129505000;1363,26;861235;0;10513500;3012710;11906200
"building_singlefamily";2021420000;341554000;57248000;51410900;1910,13;241781000;5103520;314642;242614000;862146000;606857;12832900;10706600;21381400;50324700;123395000
"building_skyscraper";9595740;0;0;6202,74;0;256380;55824,8;0;0;8144900;0;254313;0;878118;0;0
"other_airport";45427000;44859000;0;0;0;0;0;568024;0;0;0;0;0;0;0;0
"other_parking";43758400;43211200;0;0;0;0;0;547159;0;0;0;0;0;0;0;0
"other_remaining_impervious";1487030000;1468440000;0;0;0;0;0;18594000;0;0;0;0;0;0;0;0
"rail_bridge";2487980;0;0;0;0;0;0;0;0;190016;0;0;0;2297960;0;0
"rail_other";991279;64443,5;0;0;0;0;0;0;0;897606;1611,09;0;0;27618,7;0;0
"rail_railway";124668000;117812000;0;0;0;0;0;0;0;734260;0;0;0;2514830;0;3607040
"rail_subway";479495;0;0;0;0;0;160,46;0;0;456817;261,038;0;0;22256,2;0;0
"rail_subway_elevated";210522;16679,9;0;0;0;0;246,369;0;0;179758;293,588;0;0;13543,8;0;0
"rail_subway_surface";1570570;222634;0;0;0;0;2408,8;0;0;1215490;3918,65;0;0;126113;0;0
"rail_tram";27867,5;1811,68;0;0;0;0;0;0;0;25234,1;45,292;0;0;776,434;0;0
"rail_tunnel";796129;0;0;0;0;0;0;0;0;767206;0;0;0;28923,7;0;0
"street_bridge_motorway";17092700;0;0;0;0;0;0;0;0;15883500;0;0;0;1209180;0;0
"street_bridge_other";11162400;0;0;0;0;0;0;0;0;10101400;0;0;0;1060990;0;0
"street_local";793222000;771126000;0;0;0;0;0;7727930;0;14367800;0;0;0;0;0;0
"street_motorway";280484000;228059000;0;0;0;0;0;2816300;0;49608200;0;0;0;0;0;0
"street_motorway_elevated";4564970;4336720;0;0;0;0;0;228249;0;0;0;0;0;0;0;0
"street_other_elevated";2354230;2236520;0;0;0;0;0;117711;0;0;0;0;0;0;0;0
"street_primary";72093400;63248600;0;0;0;0;0;994740;0;7850050;0;0;0;0;0;0
"street_secondary";114172000;103593000;0;0;0;0;0;1613680;0;8965510;0;0;0;0;0;0
"street_tertiary";180685000;169271000;0;0;0;0;0;2507540;0;8906620;0;0;0;0;0;0
"street_track";2422090;2413300;0;0;0;0;0;3074,66;0;5716,42;0;0;0;0;0;0
"street_tunnel";1010140;0;0;0;0;0;0;0;0;973439;0;0;0;36698,6;0;0
"building";3351770000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";1576220000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";131232000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";1479260000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
