"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",4879456285.07001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",729159079.046362,194846011.931596,311.58650414336,6485674.91966526,0,22072973.9943888,255968.369494244,2298547.81132551,0,441224735.837135,89762.9039214535,14941615.9768853,1229520.52587578,45284829.5033618,0,428795.11728927
"building_commercial_innercity",41217976.1124802,2028283.66821265,76836.8222756013,204162.929598182,42422.0530970134,4707723.48317266,152570.144407943,5946.20180403069,8711418.73607731,20877616.1185398,267.084071890204,125262.40707203,73797.2778333202,1579366.87501419,590969.621320456,2041329.42798352
"building_highrise",11505960.2128296,220084.276315212,5390.7735119015,2921.79669440538,0,868648.325820923,23170.3287755847,33332.2328162193,0,9582826.55502319,0,26810.030915916,9752.14316418767,592645.618831635,16306.5361474156,124071.854072571
"building_lightweight",164980071.761342,0,1892807.25692532,2566211.41030087,0,12226814.5526862,0,0,0,124539460.691814,0,0,0,15666621.4681194,0,8088109.64343358
"building_multifamily",207845445.479279,10227805.8331904,387456.76987046,1029510.58934402,213917.163792923,23739135.3663807,769349.347198784,29984.2803238723,43928161.7719193,105277283.138565,1346.79625662684,631647.21980834,372129.491453171,7964104.2449646,2980018.55245614,10293594.3505483
"building_singlefamily",1711184348.68082,344523200.498906,23833532.011213,28754207.1090279,1887.52634184464,182937280.890702,4424825.24200294,1310876.55796947,194982885.063,747117127.459467,425341.597919653,8508076.09681926,8683211.46105792,13689587.8879885,49199182.9014165,102793194.475343
"building_skyscraper",9494641.96875,0,0,6137.44708251953,0,253679.170898438,55236.7464599609,0,0,8059089.140625,0,251633.443847656,0,868866.71484375,0,0
"building",2875387317.85137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",30048801.90625,29516000.8518066,0,0,0,0,0,532798.494358063,0,0,0,0,0,0,0,0
"other_parking",14072290.4369965,13793009.3969269,0,0,0,0,0,279278.73984766,0,0,0,0,0,0,0,0
"other_remaining_impervious",462105397.192444,452934467.040802,0,0,0,0,0,9170946.81798524,0,0,0,0,0,0,0,0
"other",506226529.414164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2462928.84775543,0,0,0,0,0,0,0,0,188103.597213745,0,0,0,2274825.04566193,0,0
"rail_other",982305.727592468,63860.1225776672,0,0,0,0,0,0,0,889480.056797028,1596.50316995382,0,0,27368.6080620289,0,0
"rail_railway",123354738.427727,116570797.818882,0,0,0,0,0,0,0,726525.397793517,0,0,0,2488337.13646156,0,3569040.74486649
"rail_subway",474386.53125,0,0,0,0,0,158.750686645508,0,0,451950.4375,258.257019042969,0,0,22019.0859375,0,0
"rail_subway_elevated",208300.859375,16503.91796875,0,0,0,0,243.769821166992,0,0,177861.78125,290.490112304688,0,0,13400.939453125,0,0
"rail_subway_surface",1553865.625,220266.90625,0,0,0,0,2383.18408203125,0,0,1202565.75,3876.978515625,0,0,124771.578125,0,0
"rail_tram",27514.9821777344,1788.76123809814,0,0,0,0,0,0,0,24914.8787841797,44.718957901001,0,0,766.612785339355,0,0
"rail_tunnel",787094.338287354,0,0,0,0,0,0,0,0,758498.716491699,0,0,0,28595.4076728821,0,0
"rail",129850717.854805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",16917542.4853516,0,0,0,0,0,0,0,0,15720753.6278076,0,0,0,1196783.73271179,0,0
"street_bridge_other",11047697.3420105,0,0,0,0,0,0,0,0,9997609.21380615,0,0,0,1050090.40647125,0,0
"street_local",689394882.808662,667498319.554626,0,0,0,0,0,7694984.10356608,0,14201772.66632,0,0,0,0,0,0
"street_motorway",277879712.205748,225998223.732426,0,0,0,0,0,2806583.44639996,0,49074861.4431696,0,0,0,0,0,0
"street_motorway_elevated",4521281.20532227,4295216.50671387,0,0,0,0,0,226064.058671951,0,0,0,0,0,0,0,0
"street_other_elevated",2330038.73957443,2213536.95941544,0,0,0,0,0,116501.936959743,0,0,0,0,0,0,0,0
"street_primary",71461637.2259417,62704908.3814986,0,0,0,0,0,991281.49473029,0,7765442.09243572,0,0,0,0,0,0
"street_secondary",113133015.332577,102660005.21414,0,0,0,0,0,1607426.73022914,0,8865386.58839941,0,0,0,0,0,0
"street_tertiary",178986512.477417,167684827.217682,0,0,0,0,0,2497177.54421306,0,8804849.52281666,0,0,0,0,0,0
"street_track",1318688.77475452,1309958.11789703,0,0,0,0,0,3068.785437271,0,5663.73479877785,0,0,0,0,0,0
"street_tunnel",1000907.53704834,0,0,0,0,0,0,0,0,964543.908737183,0,0,0,36363.321606636,0,0
"street",1367991979.27418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
