"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1709241695.41148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",223655364.236217,59765249.6794344,95.5731846019276,1989356.26982874,0,6770459.27795435,78513.3674840146,705035.124832984,0,135337275.153765,27533.0494055136,4583053.13188659,377131.687937188,13890245.3927998,0,131524.519354869
"building_commercial_innercity",10067924.9414473,495429.362318933,18768.2070506308,49868.9535324797,10362.0318927597,1149911.27168047,37266.8625440113,1452.42225546413,2127855.99888301,5099575.84996414,65.2380762490284,30596.6664180197,18025.7530592345,385776.889932364,144350.585743263,498616.175270915
"building_highrise",3628936.51422119,69413.7219371796,1700.22943031788,921.523885861039,0,273968.361415863,7307.83267533779,10512.8602569103,0,3022386.26211548,0,8455.78569591045,3075.78941470385,186918.12830162,5143.0179861784,39131.7834100723
"building_lightweight",43549182.9743071,0,499637.602101393,677393.667621635,0,3227467.8856591,0,0,0,32874252.9711666,0,0,0,4135462.1330024,0,2134989.40457225
"building_multifamily",16463027.8815994,810123.778446913,30689.6722544879,81545.3811516464,16943.9341904074,1880329.51261616,60938.5906220376,2374.99457745254,3479460.12832928,8338803.93306732,106.676994439069,50031.5149475038,29475.6194645762,630820.681846619,236041.321372867,815334.812432528
"building_singlefamily",363572112.429543,14274635.0610981,10346316.1194184,16451946.1275303,0,25252818.9327106,1368357.8909139,32069.1885894611,8597052.3328371,246744053.186905,61880.8581942059,4316011.42140669,2537456.52797294,8812270.34408641,9971882.87435412,14805459.608516
"building_skyscraper",956596.25,0,0,618.354858398438,0,25558.462890625,5565.16552734375,0,0,811962.5625,0,25352.359375,0,87539.328125,0,0
"building",661893369.947903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",20210969.9664307,19852612.5020752,0,0,0,0,0,358363.054052353,0,0,0,0,0,0,0,0
"other_parking",19895641.5921669,19500796.5147781,0,0,0,0,0,394848.96083951,0,0,0,0,0,0,0,0
"other_remaining_impervious",183127772.734776,179493346.157037,0,0,0,0,0,3634355.63102177,0,0,0,0,0,0,0,0
"other",223234354.842068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1404615.57962036,0,0,0,0,0,0,0,0,107276.04501152,0,0,0,1297339.91880798,0,0
"rail_other",412058.000350952,26788.0753641129,0,0,0,0,0,0,0,373119.234298706,669.701500952244,0,0,11480.5809645653,0,0
"rail_railway",50305019.2357178,47538446.2792969,0,0,0,0,0,0,0,296282.859773159,0,0,0,1014759.9860096,0,1455481.11096954
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",8599.4453125,1219.00793457031,0,0,0,0,13.1890754699707,0,0,6655.2763671875,21.4561061859131,0,0,690.515808105469,0,0
"rail_tram",125110.875,8133.51416015625,0,0,0,0,0,0,0,113288.310546875,203.337894439697,0,0,3485.79418945312,0,0
"rail_tunnel",1418736.32519531,0,0,0,0,0,0,0,0,1367193.40185547,0,0,0,51543.188949585,0,0
"rail",53674136.4093933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",4419907.53515625,0,0,0,0,0,0,0,0,4107233.66552734,0,0,0,312673.948364258,0,0
"street_bridge_other",5746975.36306763,0,0,0,0,0,0,0,0,5200722.95504761,0,0,0,546253.42402029,0,0
"street_local",435045376.577888,421070070.920919,0,0,0,0,0,4911137.69771194,0,9063942.89894098,0,0,0,0,0,0
"street_motorway",78793480.3486328,64082523.5313721,0,0,0,0,0,795814.965766907,0,13915314.1127167,0,0,0,0,0,0
"street_motorway_elevated",1181706.78210449,1122621.07873535,0,0,0,0,0,59085.3535995483,0,0,0,0,0,0,0,0
"street_other_elevated",1212078.68634129,1151474.77073193,0,0,0,0,0,60603.9209980369,0,0,0,0,0,0,0,0
"street_primary",10900155.8377686,9564466.71838379,0,0,0,0,0,151201.522323608,0,1184472.21112061,0,0,0,0,0,0
"street_secondary",77807506.1850586,70604605.9523621,0,0,0,0,0,1105507.10757256,0,6097185.19486618,0,0,0,0,0,0
"street_tertiary",78998864.0773926,74010659.3388672,0,0,0,0,0,1102172.32019329,0,3886172.82722092,0,0,0,0,0,0
"street_track",75588803.3873033,75056343.6452192,0,0,0,0,0,187139.428607878,0,345384.479344831,0,0,0,0,0,0
"street_tunnel",745421.386047363,0,0,0,0,0,0,0,0,718339.747253418,0,0,0,27081.417757988,0,0
"street",770440452.529694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
