"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";5085899215,95951;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";671488942,685951;179435509,021611;286,942847094935;5972717,87304133;0;20327210,0905709;235723,621900467;2116753,5045702;0;406328028,938168;82663,4830223876;13759869,1948258;1132276,31138377;41703220,3571734;0;394881,230284125
"building_commercial_innercity";125057533,874771;6153911,60069847;233126,754380554;619440,5934937;128710,650226787;14283469,9834309;462905,418659389;18041,0772152767;26430893,8968658;63343752,1562653;810,346790885553;380052,497055292;223904,689032167;4791880,91858959;1793032,18201733;6193496,81745148
"building_highrise";22839240,2142334;436865,602362156;10700,6424051672;5799,74480332434;0;1724260,26407242;45992,9342945218;66164,2088422775;0;19021829,667099;0;53217,7168291211;19357,9319929183;1176396,86682129;32368,3411850631;246281,646273375
"building_lightweight";133382861,063897;0;1530294,45145576;2074728,00955663;0;9885122,5466767;0;0;0;100687519,159205;0;0;0;12666134,4198766;0;6539067,10321102
"building_multifamily";548392513,615905;26985678,4348118;1022289,63472974;2716323,36209588;564412,325267845;62634820,3790268;2029899,16944412;79112,348691777;115902702,184787;277770137,299861;3553,47048811314;1666577,42831361;981849,883076295;21012985,79009;7862668,59944037;27159255,0179351
"building_singlefamily";1524134320,87008;284595210,774214;22589005,530567;26965686,7229736;4150,84899832006;183936047,970828;3805601,48933115;1820007,55030514;143890515,651291;688609480,471156;344540,582378591;8509905,4371418;8044879,67675888;15076044,4999864;46870006,4662999;89072624,6885875
"building_skyscraper";14793665,5742188;0;0;9562,79544067383;0;395259,176818848;86064,7791519165;0;0;12556918,0229492;0;392071,666046143;0;1353787,05529785;0;0
"building";3040088196,3539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";19662344,0324707;19313709,6159668;0;0;0;0;0;348635,163921356;0;0;0;0;0;0;0;0
"other_parking";60148401,3675265;58954681,1149631;0;0;0;0;0;1193705,40394364;0;0;0;0;0;0;0;0
"other_remaining_impervious";405538753,440846;397490538,351825;0;0;0;0;0;8048322,00600025;0;0;0;0;0;0;0;0
"other";485349501,15154;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";4304563,69539642;0;0;0;0;0;0;0;0;328756,658086777;0;0;0;3975809,47398376;0;0
"rail_other";1611576,12667847;104769,314461708;0;0;0;0;0;0;0;1459285,97503662;2619,23058788478;0;0;44901,080047369;0;0
"rail_railway";115298414,714096;108957646,118759;0;0;0;0;0;0;0;679076,140339613;0;0;0;2325823,63320827;0;3335948,61738133
"rail_subway";6892714;0;0;0;0;0;2306,59814453125;0;0;6566715,5;3752,4130859375;0;0;319932,09375;0;0
"rail_subway_elevated";1046674,70605469;82929,3316650391;0;0;0;0;1224,90263748169;0;0;893725,344726562;1459,66073226929;0;0;67336,9885253906;0;0
"rail_subway_surface";408454,078125;57900,083984375;0;0;0;0;626,450698852539;0;0;316110,3515625;1019,11608886719;0;0;32797,9375;0;0
"rail_tram";502060,665283203;32639,1925048828;0;0;0;0;0;0;0;454617,541503906;815,980109214783;0;0;13988,2320632935;0;0
"rail_tunnel";3427581,27651978;0;0;0;0;0;0;0;0;3303055,92736816;0;0;0;124525,194773674;0;0
"rail";133491917,776733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";19707743,1899414;0;0;0;0;0;0;0;0;18313574,637085;0;0;0;1394168,24594116;0;0
"street_bridge_other";11420093,2187042;0;0;0;0;0;0;0;0;10334609,0359879;0;0;0;1085487,07927036;0;0
"street_local";760776410,424839;736598658,999462;0;0;0;0;0;8496679,56316179;0;15681378,5570152;0;0;0;0;0;0
"street_motorway";279865760,983765;227613765,38068;0;0;0;0;0;2826644,27419901;0;49425599,8020535;0;0;0;0;0;0
"street_motorway_elevated";5267140,94784546;5003783,23760986;0;0;0;0;0;263357,062726974;0;0;0;0;0;0;0;0
"street_other_elevated";2408580,10469055;2288151,26037407;0;0;0;0;0;120429,022705793;0;0;0;0;0;0;0;0
"street_primary";61393334,3535233;53870381,6226599;0;0;0;0;0;851619,309823167;0;6671359,82970703;0;0;0;0;0;0
"street_secondary";113403821,576508;102905688,863449;0;0;0;0;0;1611276,69143057;0;8886608,93301487;0;0;0;0;0;0
"street_tertiary";161718263,692528;151506698,75351;0;0;0;0;0;2256251,1130594;0;7955363,5324378;0;0;0;0;0;0
"street_track";6139729,20256907;6099802,92477694;0;0;0;0;0;14031,3098062169;0;25896,0923395507;0;0;0;0;0;0
"street_tunnel";4868813,13679504;0;0;0;0;0;0;0;0;4691928,67851257;0;0;0;176885,816372871;0;0
"street";1426969615,87387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
