"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",5085899665.89343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",671488950.95573,179435525.435248,286.942870053785,5972717.70645177,0,20327207.498655,235723.620680977,2116753.3924593,0,406328049.946236,82663.4813596094,13759869.1741742,1132276.51569574,41703220.8101001,0,394881.252927456
"building_commercial_innercity",125057518.144058,6153912.48910332,233126.745695561,619440.615210772,128710.651492789,14283470.1823444,462905.400077999,18041.0755130276,26430896.901886,63343754.5578156,810.346797459759,380052.502947092,223904.688003153,4791880.5357275,1793032.18353367,6193496.89315796
"building_highrise",22839239.6937256,436865.602514744,10700.6436263472,5799.74470843375,0,1724260.15439224,45992.9358027577,66164.2062444687,0,19021829.8663177,0,53217.7150247693,19357.9327398837,1176396.93933105,32368.3400959671,246281.644015074
"building_lightweight",133382870.204618,0,1530294.60530752,2074728.19982603,0,9885121.80767035,0,0,0,100687523.609945,0,0,0,12666134.5740798,0,6539066.56824791
"building_multifamily",548392420.646683,26985673.2209835,1022289.61934376,2716324.24979049,564412.323888227,62634812.574398,2029899.30427325,79112.3503397126,115902725.938879,277770140.698563,3553.47019670799,1666577.56257582,981850.115730152,21012985.3515282,7862668.94164813,27159259.9580321
"building_singlefamily",1524134048.92483,284595277.725417,22589003.9655778,26965685.7618465,4150.84924882278,183936027.250915,3805601.12720354,1820007.97221562,143890514.083941,688609459.689325,344540.591647222,8509906.74584904,8044879.80221921,15076043.8532408,46870018.6716403,89072633.7636008
"building_skyscraper",14793666.5742188,0,0,9562.79592704773,0,395259.176818848,86064.7771987915,0,0,12556918.0229492,0,392071.665985107,0,1353787.05529785,0,0
"building",3040087622.18176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",19662344.0712891,19313709.6191406,0,0,0,0,0,348635.164962769,0,0,0,0,0,0,0,0
"other_parking",60148402.2442398,58954686.818922,0,0,0,0,0,1193705.38285938,0,0,0,0,0,0,0,0
"other_remaining_impervious",405538829.128214,397490606.732626,0,0,0,0,0,8048321.62084419,0,0,0,0,0,0,0,0
"other",485349543.71966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",4304563.74786377,0,0,0,0,0,0,0,0,328756.692922592,0,0,0,3975809.10359192,0,0
"rail_other",1611576.33690643,104769.327835083,0,0,0,0,0,0,0,1459286.04350281,2619.23059558868,0,0,44901.0820946693,0,0
"rail_railway",115298408.845596,108957649.743111,0,0,0,0,0,0,0,679076.206872642,0,0,0,2325823.98952651,0,3335948.71385098
"rail_subway",6892714,0,0,0,0,0,2306.59790039062,0,0,6566715.5,3752.4130859375,0,0,319932.09375,0,0
"rail_subway_elevated",1046674.83740234,82929.3395080566,0,0,0,0,1224.90266227722,0,0,893725.295898438,1459.6607298851,0,0,67336.9869842529,0,0
"rail_subway_surface",408454.0390625,57900.080078125,0,0,0,0,626.450775146484,0,0,316110.359375,1019.1159362793,0,0,32797.9360351562,0,0
"rail_tram",502060.587158203,32639.1959075928,0,0,0,0,0,0,0,454617.299316406,815.979956626892,0,0,13988.2342605591,0,0
"rail_tunnel",3427581.28068542,0,0,0,0,0,0,0,0,3303055.91914368,0,0,0,124525.194826603,0,0
"rail",133491907.546967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",19707742.7790527,0,0,0,0,0,0,0,0,18313573.8120117,0,0,0,1394168.17355347,0,0
"street_bridge_other",11420094.0917358,0,0,0,0,0,0,0,0,10334607.7490311,0,0,0,1085487.03978443,0,0
"street_local",760776422.740295,736598695.954956,0,0,0,0,0,8496679.89828205,0,15681378.1960201,0,0,0,0,0,0
"street_motorway",279865741.584961,227613760.76123,0,0,0,0,0,2826644.15532684,0,49425596.3883667,0,0,0,0,0,0
"street_motorway_elevated",5267141.07287598,5003783.25286865,0,0,0,0,0,263357.058448792,0,0,0,0,0,0,0,0
"street_other_elevated",2408580.40552902,2288151.50787163,0,0,0,0,0,120429.014125109,0,0,0,0,0,0,0,0
"street_primary",61393329.6459961,53870378.4189453,0,0,0,0,0,851619.498794556,0,6671360.82080078,0,0,0,0,0,0
"street_secondary",113403811.341677,102905706.332432,0,0,0,0,0,1611276.71819305,0,8886608.6718381,0,0,0,0,0,0
"street_tertiary",161718257.817383,151506698.262207,0,0,0,0,0,2256251.34477234,0,7955364.05801392,0,0,0,0,0,0
"street_track",6139729.21961474,6099802.72883701,0,0,0,0,0,14031.3105872171,0,25896.0933536589,0,0,0,0,0,0
"street_tunnel",4868813.16926575,0,0,0,0,0,0,0,0,4691928.6360321,0,0,0,176885.813885689,0,0
"street",1426969545.78131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
