"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",325349211.006836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",35877157.9506836,9587105.66003418,15.3311405676068,319117.975883484,0,1086067.32511902,12594.5443623066,113096.618961573,0,21709799.0740356,4416.64509499073,735179.722509384,60496.677467823,2228171.70435333,0,21098.2149591446
"building_commercial_innercity",3644786.18603516,179355.130874634,6794.45292377472,18053.5305919647,3751.2573826313,416290.30090332,13491.3305921555,525.805419743061,770325.64050293,1846147.29455566,23.6174584459513,11076.5867381096,6525.67462539673,139658.735870361,52257.7301063538,180508.858169556
"building_highrise",817873.919189453,15644.1709136963,383.190410733223,207.689069449902,0,61745.8350219727,1647.0084810257,2369.34305524826,0,681172.357543945,0,1905.72813558578,693.208200335503,42126.8139419556,1159.11155080795,8819.35282516479
"building_lightweight",8883824.26375127,0,101923.566204061,138184.992763188,0,658387.621737823,0,0,0,6706184.54786718,0,0,0,843613.960221455,0,435527.384820864
"building_multifamily",14270186.4069118,702217.309824586,26601.8712177947,70683.8124310449,14687.0561250895,1629873.0475862,52821.6818520427,2058.64991708356,3016002.4801836,7228095.80656242,92.4678193803848,43367.4086207002,25549.5643380918,546796.715083241,204601.080230772,706734.542129934
"building_singlefamily",109187562.847479,23069359.9749171,1454414.61491187,1768693.45991444,0,10648976.1646707,288950.36314504,51827.2657959893,13893748.901271,46542743.7522188,28813.3384865278,497440.449168966,538900.635837095,732916.685377069,2990627.3877036,6680196.94687092
"building_skyscraper",300485.9375,0,0,194.237609863281,0,8028.42431640625,1748.12976074219,0,0,255053.59375,0,7963.68115234375,0,27497.849609375,0,0
"building",172981914.777722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",1796210.828125,1764362.08203125,0,0,0,0,0,31848.8110961914,0,0,0,0,0,0,0,0
"other_parking",3265731.68408203,3200920.06884766,0,0,0,0,0,64811.7220153809,0,0,0,0,0,0,0,0
"other_remaining_impervious",77587815.0804749,76048039.1161575,0,0,0,0,0,1539808.86412358,0,0,0,0,0,0,0,0
"other",82649759.9554749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",69187.8196411133,0,0,0,0,0,0,0,0,5284.146484375,0,0,0,63903.6767578125,0,0
"rail_other",41895.382522583,2723.64098453522,0,0,0,0,0,0,0,37936.3988418579,68.0909993872046,0,0,1167.27354741096,0,0
"rail_railway",2519978.91571045,2381391.60394287,0,0,0,0,0,0,0,14841.9720616341,0,0,0,50833.5571565628,0,72910.8654747009
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",108706.316101074,0,0,0,0,0,0,0,0,104756.963317871,0,0,0,3949.33714294434,0,0
"rail",2739768.38977051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1479423.20922852,0,0,0,0,0,0,0,0,1374765.84790039,0,0,0,104657.611740112,0,0
"street_bridge_other",430960.426101685,0,0,0,0,0,0,0,0,389997.51159668,0,0,0,40963.0555706024,0,0
"street_local",33980586.3948326,32893078.7988625,0,0,0,0,0,382184.099205166,0,705354.572250545,0,0,0,0,0,0
"street_motorway",14678291.3842621,11937795.8627472,0,0,0,0,0,148250.643738508,0,2592253.87082672,0,0,0,0,0,0
"street_motorway_elevated",395856.107788086,376063.363647461,0,0,0,0,0,19792.8093490601,0,0,0,0,0,0,0,0
"street_other_elevated",90892.666179657,86348.0191955566,0,0,0,0,0,4544.63418245316,0,0,0,0,0,0,0,0
"street_primary",2219792.94140625,1947788.8203125,0,0,0,0,0,30791.9121704102,0,241215.872070312,0,0,0,0,0,0
"street_secondary",6669726.3286438,6052304.44541168,0,0,0,0,0,94765.5529611111,0,522656.357299805,0,0,0,0,0,0
"street_tertiary",6838990.38232422,6407141.68254852,0,0,0,0,0,95415.8181837797,0,336428.521519661,0,0,0,0,0,0
"street_track",145726.914638519,144730.104385376,0,0,0,0,0,350.44824378565,0,646.785073265433,0,0,0,0,0,0
"street_tunnel",47393.8506164551,0,0,0,0,0,0,0,0,45672.0185241699,0,0,0,1721.83528518677,0,0
"street",66977585.3271179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
