"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2149195765,7075;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";284111916,780762;75920426,1479797;121,407599925311;2527100,35514474;0;8600586,77796364;99736,3491250798;895613,917249441;0;171920277,60611;34975,5071979631;5821899,36583757;479074,386914074;17644924,8166218;0;167077,139645606
"building_commercial_innercity";15113384,8480811;743709,936684817;28173,7362076994;74860,3629327305;15554,8846745477;1726179,75737983;55942,8644242939;2180,29251406534;3194215,41086769;7655191,72709799;97,9316245462905;45929,9253152255;27059,2265762091;579106,121736586;216690,730080448;748493,963187963
"building_highrise";1451720,66845703;27768,2977368832;680,160330653191;368,646574798971;0;109598,401199818;2923,42847235501;4205,56794534624;0;1209076,3853302;0;3382,65405403078;1230,43971791118;74774,7994065285;2057,41515975446;15654,2921165824
"building_lightweight";66612932,6407102;0;764246,385858066;1036142,97815548;0;4936742,62156466;0;0;0;50284497,0248704;0;0;0;6325609,51223662;0;3265685,37060349
"building_multifamily";83266145,4732666;4097421,21944904;155221,153604209;412437,893196821;85698,5607245713;9510269,38180923;308213,160004497;12012,1669232845;17598299,0313339;42175732,3192444;539,547506540548;253047,738271803;149080,950397193;3190544,33530617;1193842,22505093;4123774,19196701
"building_singlefamily";649067525,634687;61419595,9246649;16385945,6375513;18956788,4411645;5581,33330443958;107937440,644154;1612417,7379398;1725502,99245072;0;358615326,209326;102998,61693206;6428075,83478396;4166102,94103672;12093491,1689377;27184467,0271917;32433964,719219
"building_skyscraper";85680,484375;0;0;55,3848571777344;0;2289,22290039062;498,461242675781;0;0;72725,921875;0;2270,76196289062;0;7840,72998046875;0;0
"building";1099709376,11559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";17848184,9853516;17531713,8457031;0;0;0;0;0;316468,033462524;0;0;0;0;0;0;0;0
"other_parking";22971816,468174;22515912,2340202;0;0;0;0;0;455898,734895587;0;0;0;0;0;0;0;0
"other_remaining_impervious";185566746,041817;181884014,86315;0;0;0;0;0;3682758,34245676;0;0;0;0;0;0;0;0
"other";226386779,954056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1000091,1576767;0;0;0;0;0;0;0;0;76380,9215774536;0;0;0;923710,241485596;0;0
"rail_other";353335,934915543;22970,5330650806;0;0;0;0;0;0;0;319946,578170776;574,263238791376;0;0;9844,50353735685;0;0
"rail_railway";47111589,9300995;44520713,0996246;0;0;0;0;0;0;0;277474,154599398;0;0;0;950344,5897367;0;1363085,6341064
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";529,761047363281;34,439998626709;0;0;0;0;0;0;0;479,699981689453;0,861000001430511;0;0;14,7600002288818;0;0
"rail_tunnel";58927,6392211914;0;0;0;0;0;0;0;0;56786,7755126953;0;0;0;2140,86142539978;0;0
"rail";48524471,110733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";6517586,21484375;0;0;0;0;0;0;0;0;6056517,11523438;0;0;0;461068,421890259;0;0
"street_bridge_other";5214669,1546936;0;0;0;0;0;0;0;0;4719012,37136841;0;0;0;495657,622560501;0;0
"street_local";437950464,490685;423907559,301113;0;0;0;0;0;4934961,17749017;0;9107906,23002309;0;0;0;0;0;0
"street_motorway";101281933,727783;82372185,0902405;0;0;0;0;0;1022947,55109406;0;17886875,1433716;0;0;0;0;0;0
"street_motorway_elevated";1741056,65032959;1654003,72949219;0;0;0;0;0;87052,8365936279;0;0;0;0;0;0;0;0
"street_other_elevated";1099811,86159515;1044821,07595062;0;0;0;0;0;54990,5806758404;0;0;0;0;0;0;0;0
"street_primary";77812256,5771484;68277352,2685547;0;0;0;0;0;1079375,5001297;0;8455539,52224731;0;0;0;0;0;0
"street_secondary";58122759,8185577;52742265,2965012;0;0;0;0;0;825825,532504678;0;4554644,32479954;0;0;0;0;0;0
"street_tertiary";81020807,7726898;75904744,9547157;0;0;0;0;0;1130379,12424326;0;3985632,42708302;0;0;0;0;0;0
"street_track";3575754,74994779;3550989,0078212;0;0;0;0;0;8704,13932221709;0;16064,3080780529;0;0;0;0;0;0
"street_tunnel";237829,848388672;0;0;0;0;0;0;0;0;229189,405303955;0;0;0;8640,44076538086;0;0
"street";774574330,770172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
