"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";986299539,440895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";71595544,4578171;19131780,705471;30,5944532649337;636823,421754241;0;2167328,36548829;25133,3392396569;225692,710109234;0;43323537,9627914;8813,74867062829;1467105,82328272;120725,703055456;4446482,88263416;0;42103,0624544621
"building_commercial_innercity";1494969,2480011;73565,4897762537;2786,85913853347;7404,95710669458;1538,6412229836;170748,386150837;5533,69423631951;215,667775748065;315961,865136147;757227,728961468;9,68709600851435;4543,2475034073;2676,61490728334;57283,3838729858;21434,370124951;74038,6973218322
"building_highrise";118252,600952148;2261,91827392578;55,4037207961082;30,0287920534611;0;8927,54121398926;238,133298993111;342,572318077087;0;98487,5673828125;0;275,540363669396;100,227757096291;6090,91993713379;167,590561270714;1275,14937019348
"building_lightweight";16477819,8985226;0;189049,072960177;256307,23970704;0;1221185,39480636;0;0;0;12438720,0436896;0;0;0;1564745,56335583;0;807821,413723435
"building_multifamily";7161051,10546875;352385,932271361;13349,3237074111;35470,4538134038;7370,24297075346;817901,491395354;26506,9395275079;1033,06965257844;1513488,38464332;3627195,72277164;46,4021211759027;21762,593041949;12821,246147031;274392,930078328;102672,742357492;354652,546491176
"building_singlefamily";150547335,315926;31807900,9032803;2005339,73475567;2438664,48633857;0;14682759,7200061;398403,463710887;71459,2290839972;19156645,9633639;64172896,8543968;39727,7153057808;685868,615561668;743034,024418652;1010541,5327409;4123460,58976489;9210625,72507989
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";247394911,472334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";12527837,8687744;12305709,3058472;0;0;0;0;0;222132,45646286;0;0;0;0;0;0;0;0
"other_parking";1635988,75520325;1603520,30844879;0;0;0;0;0;32467,8388427496;0;0;0;0;0;0;0;0
"other_remaining_impervious";58366028,484045;57207691,9125214;0;0;0;0;0;1158332,51510757;0;0;0;0;0;0;0;0
"other";72529859,9251595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";961379,304260254;0;0;0;0;0;0;0;0;73424,3245582581;0;0;0;887954,435913086;0;0
"rail_other";669278,351928711;43509,9995250702;0;0;0;0;0;0;0;606033,223556519;1087,75140637159;0;0;18647,1618509293;0;0
"rail_railway";33258761,6200562;31429537,3893433;0;0;0;0;0;0;0;195884,490288377;0;0;0;670899,179437637;0;962278,033484459
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";56841,0295410156;0;0;0;0;0;0;0;0;54775,9766845703;0;0;0;2065,05428314209;0;0
"rail";34946259,6383972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1562136,42236328;0;0;0;0;0;0;0;0;1451627,36816406;0;0;0;110508,935943604;0;0
"street_bridge_other";1923855,79196167;0;0;0;0;0;0;0;0;1740992,47654343;0;0;0;182863,673398972;0;0
"street_local";389443274,671024;377167654,805614;0;0;0;0;0;4313474,40536731;0;7960859,92643774;0;0;0;0;0;0
"street_motorway";75469363,3790283;61378932,046875;0;0;0;0;0;762240,489032745;0;13328256,6257629;0;0;0;0;0;0
"street_motorway_elevated";415772,217407227;394983,622924805;0;0;0;0;0;20788,6112823486;0;0;0;0;0;0;0;0
"street_other_elevated";405755,045023918;385467,373539925;0;0;0;0;0;20287,7538335919;0;0;0;0;0;0;0;0
"street_primary";25576776,2193604;22442626,1853027;0;0;0;0;0;354790,376832962;0;2779324,50744629;0;0;0;0;0;0
"street_secondary";73647019,1745148;66829834,8104858;0;0;0;0;0;1046391,07668734;0;5771175,63858223;0;0;0;0;0;0
"street_tertiary";52106959,18927;48817071,7447968;0;0;0;0;0;726984,315818548;0;2563303,19809914;0;0;0;0;0;0
"street_track";10763545,9811561;10695966,7863872;0;0;0;0;0;23758,3934026123;0;43848,3815699127;0;0;0;0;0;0
"street_tunnel";114718,395935059;0;0;0;0;0;0;0;0;110550,623291016;0;0;0;4167,75847673416;0;0
"street";631428812,761757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
