"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";3111587439,63465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";410466616,559015;109684993,187568;175,402001132483;3650990,87092587;0;12425577,0573499;144092,710564082;1293925,50226844;0;248379427,484001;50530,3760603121;8411106,50278986;692136,09113859;25492258,1715868;0;241382,335691942
"building_commercial_innercity";25370381,2380381;1248443,56650424;47294,407052014;125665,813028719;26111,5070327064;2897686,53929651;93909,56518206;3659,99110370688;5362030,72894526;12850534,7472167;164,394861224333;77101,1922395341;45423,4954589512;972127,668336034;363752,137086257;1256473,80645448
"building_highrise";5526219,20275879;105704,738348007;2589,14508575201;1403,3155965507;0;417204,862041473;11128,5259103775;16009,1992276907;0;4602553,88134766;0;12876,6455478668;4683,87730646133;284642,886962891;7831,89679002762;59590,7002639771
"building_lightweight";97037444,6833835;0;1113304,51450098;1509385,75348016;0;7191524,64102994;0;0;0;73251211,8665965;0;0;0;9214738,86644568;0;4757237,10110249
"building_multifamily";157981711,748135;7774072,00088322;294502,883190267;782522,408705682;162596,709906645;18043924,7003713;584775,875953123;22790,8136213934;33389449,213027;80020424,1520386;1023,68870504406;480110,185584009;282852,666738093;6053450,09956336;2265089,11263806;7824081,30522418
"building_singlefamily";1001261078,67125;116277754,035656;19158906,7001674;22014667,4612913;10566,1357412317;187480373,986095;2069790,21826764;3266589,90924345;1866,54260253906;525889792,468821;117443,35733174;8548414,95346084;6271663,30313921;19054978,7437578;40468432,7173635;50629689,924718
"building_skyscraper";4074065,23046875;0;0;2633,52313613892;0;108851,439208984;23701,590637207;0;0;3458081,8203125;0;107973,609008789;0;372822,798828125;0;0
"building";1701716711,80691;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";20619999,8330078;20254390,541748;0;0;0;0;0;365615,598934174;0;0;0;0;0;0;0;0
"other_parking";20907311,6998196;20492384,5109577;0;0;0;0;0;414926,542789601;0;0;0;0;0;0;0;0
"other_remaining_impervious";280404986,982343;274840038,182048;0;0;0;0;0;5564916,30494255;0;0;0;0;0;0;0;0
"other";321932306,499955;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1177791,67333984;0;0;0;0;0;0;0;0;89952,5977916718;0;0;0;1087839,03405762;0;0
"rail_other";198774,779769897;12922,4480247498;0;0;0;0;0;0;0;179991,17350769;323,061256214976;0;0;5538,1887550354;0;0
"rail_railway";60151516,2081604;56843492,7368469;0;0;0;0;0;0;0;354275,72180438;0;0;0;1213387,29274702;0;1740371,99441385
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";62742,4765625;4078,92016601562;0;0;0;0;0;0;0;56813,515625;101,972999572754;0;0;1748,10949707031;0;0
"rail_tunnel";626641,095703125;0;0;0;0;0;0;0;0;603874,841308594;0;0;0;22766,0830383301;0;0
"rail";62217468,0835266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";9954164,83837891;0;0;0;0;0;0;0;0;9249987,28271484;0;0;0;704179,492858887;0;0
"street_bridge_other";7919304,07579803;0;0;0;0;0;0;0;0;7166569,54673004;0;0;0;752734,609937668;0;0
"street_local";541556925,573734;524224618,809856;0;0;0;0;0;6090966,94191188;0;11241411,8709406;0;0;0;0;0;0
"street_motorway";152427141,88208;123968212,108887;0;0;0;0;0;1539513,82798767;0;26919341,7230835;0;0;0;0;0;0
"street_motorway_elevated";2656583,55712891;2523753,6940918;0;0;0;0;0;132829,198745728;0;0;0;0;0;0;0;0
"street_other_elevated";1670238,56461334;1586726,42922211;0;0;0;0;0;83511,9260958433;0;0;0;0;0;0;0;0
"street_primary";109264158,900879;95875324,9942017;0;0;0;0;0;1515660,93833971;0;11873289,037117;0;0;0;0;0;0
"street_secondary";99792298,4217377;90554301,4981079;0;0;0;0;0;1417878,18998766;0;7819970,16988659;0;0;0;0;0;0
"street_tertiary";97101380,7136841;90969939,6577797;0;0;0;0;0;1354733,17936611;0;4776683,42454624;0;0;0;0;0;0
"street_track";2624757,94342852;2606799,85874033;0;0;0;0;0;6312,08745847456;0;11649,5530880224;0;0;0;0;0;0
"street_tunnel";753672,286026001;0;0;0;0;0;0;0;0;726291,369354248;0;0;0;27381,1802911758;0;0
"street";1025720793,84327;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
