"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",3111587807.51328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",410466617.251511,109684991.291444,175.402004725223,3650990.75848913,0,12425576.8906677,144092.706431925,1293925.43246318,0,248379435.363014,50530.3718350139,8411106.71624637,692136.071024343,25492257.8361406,0,241382.344223894
"building_commercial_innercity",25370381.2772713,1248443.55756903,47294.4066796191,125665.818510249,26111.5072679669,2897686.48721552,93909.5623104051,3659.99107071292,5362030.71839666,12850534.5215874,164.394859308217,77101.1914016604,45423.4976009466,972127.626299739,363752.129948139,1256473.74808395
"building_highrise",5526218.82165527,105704.732225418,2589.14511102438,1403.31566765904,0,417204.878566742,11128.5244188309,16009.198354125,0,4602553.89599609,0,12876.6458096504,4683.87753498554,284642.923294067,7831.89734077454,59590.7009086609
"building_lightweight",97037439.3198695,0,1113304.56273896,1509385.54552314,0,7191524.96303332,0,0,0,73251215.3653078,0,0,0,9214739.26685801,0,4757236.86885862
"building_multifamily",157981689.039978,7774070.71891403,294502.807628244,782522.365029335,162596.7131477,18043927.5478706,584775.87609601,22790.8108367175,33389456.862278,80020422.2380295,1023.68870714016,480110.141095698,282852.679358989,6053450.17392445,2265088.58068919,7824082.06076431
"building_singlefamily",1001261040.36009,116277763.303337,19158905.6558936,22014664.6228197,10566.1348877991,187480380.145985,2069790.17407599,3266590.16142894,1866.54260253906,525889741.494366,117443.339602113,8548413.84284568,6271663.31056023,19054980.9290793,40468433.7520065,50629693.0085657
"building_skyscraper",4074065.23046875,0,0,2633.52313613892,0,108851.439208984,23701.590637207,0,0,3458081.8203125,0,107973.609008789,0,372822.798828125,0,0
"building",1701716475.88394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",20620000.5971222,20254390.3951988,0,0,0,0,0,365615.593985736,0,0,0,0,0,0,0,0
"other_parking",20907310.962738,20492384.7740479,0,0,0,0,0,414926.546221733,0,0,0,0,0,0,0,0
"other_remaining_impervious",280404960.517124,274840019.531664,0,0,0,0,0,5564915.78405016,0,0,0,0,0,0,0,0
"other",321932272.090091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1177791.68457031,0,0,0,0,0,0,0,0,89952.5974273682,0,0,0,1087839.07272339,0,0
"rail_other",198774.775650024,12922.448050499,0,0,0,0,0,0,0,179991.173446655,323.061255201697,0,0,5538.18882465363,0,0
"rail_railway",60151517.9718018,56843487.3951416,0,0,0,0,0,0,0,354275.742893696,0,0,0,1213387.35797501,0,1740372.00885201
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",62742.4765625,4078.92016601562,0,0,0,0,0,0,0,56813.515625,101.972999572754,0,0,1748.10949707031,0,0
"rail_tunnel",626641.083984375,0,0,0,0,0,0,0,0,603874.841796875,0,0,0,22766.0828704834,0,0
"rail",62217471.1751709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",9954165.00683594,0,0,0,0,0,0,0,0,9249987.46337891,0,0,0,704179.445373535,0,0
"street_bridge_other",7919304.23259735,0,0,0,0,0,0,0,0,7166569.55723572,0,0,0,752734.619008064,0,0
"street_local",541556951.286381,524224710.86792,0,0,0,0,0,6090967.82778145,0,11241411.4272874,0,0,0,0,0,0
"street_motorway",152427141.034424,123968212.31543,0,0,0,0,0,1539513.94606781,0,26919340.4266357,0,0,0,0,0,0
"street_motorway_elevated",2656583.4074707,2523753.47399902,0,0,0,0,0,132829.195701599,0,0,0,0,0,0,0,0
"street_other_elevated",1670238.5705719,1586726.49393272,0,0,0,0,0,83511.924284339,0,0,0,0,0,0,0,0
"street_primary",109264155.252319,95875324.7915649,0,0,0,0,0,1515660.94244814,0,11873289.0065689,0,0,0,0,0,0
"street_secondary",99792303.5817871,90554301.5072021,0,0,0,0,0,1417878.11541367,0,7819970.94969177,0,0,0,0,0,0
"street_tertiary",97101379.9762573,90969940.0422974,0,0,0,0,0,1354733.12911987,0,4776683.41440201,0,0,0,0,0,0
"street_track",2624757.71495819,2606800.14460182,0,0,0,0,0,6312.08748428524,0,11649.5532819033,0,0,0,0,0,0
"street_tunnel",753672.29133606,0,0,0,0,0,0,0,0,726291.361785889,0,0,0,27381.1796770096,0,0
"street",1025720770.8559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
