"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";10849105963,0511;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";1600455873,2582;427674194,373642;683,912056021317;14235626,8574148;0;48448734,2085178;561833,942929472;5045164,93918973;0;968459527,687652;197023,709018139;32795850,3873408;2698716,9490962;99397249,0884113;0;941176,973860188
"building_commercial_innercity";48952442,2690203;2408886,5139683;91255,0892397847;242473,869193006;50382,4897612345;5591121,34871633;181199,669543481;7061,99598284659;10346104,5397724;24795260,8210672;317,201973303939;148767,716968247;87645,1826412163;1875732,69722877;701864,027459444;2424381,94230647
"building_highrise";9864734,85972786;188691,221737176;4621,82648079703;2505,02761241817;0;744743,402320027;19865,289626101;28577,6796237081;0;8215919,04958487;0;22985,820122106;8361,08659800282;508109,863367945;13980,5516340304;106374,108420454
"building_lightweight";399923791,650101;0;4588303,89302565;6220686,12606739;0;29638696,8008782;0;0;0;301892954,619091;0;0;0;37977054,9636698;0;19606188,6404177
"building_multifamily";213196276,374123;10491104,2080118;397431,441379786;1056013,27899075;219424,436588606;24350268,2495252;789154,916366976;30756,1910250298;45059046,528481;107987550,809557;1381,46799627152;647908,81639402;381709,612669883;8169133,3723726;3056735,97325411;10558591,5021639
"building_singlefamily";1848296419,2495;38875327,0151792;89707986,4366913;104656202,594912;825,652810489468;144543864,949922;7750092,31470799;414525,743591982;0;1209545965,87532;608820,541462169;27924196,9360658;12939938,4574666;30238822,3240039;88183598,3631371;92906488,7342415
"building_skyscraper";35171574,9550781;0;0;22735,3212718964;0;939718,951263428;204616,847412109;0;0;29853777,9384766;0;932140,807678223;0;3218595,55090332;0;0
"building";4155860105,36939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";115215562,043701;113172629,113037;0;0;0;0;0;2042898,66304779;0;0;0;0;0;0;0;0
"other_parking";91109934,3317871;89301775,2648315;0;0;0;0;0;1808168,17024279;0;0;0;0;0;0;0;0
"other_remaining_impervious";1552799612,74095;1521982490,26211;0;0;0;0;0;30816852,4505541;0;0;0;0;0;0;0;0
"other";1759125301,51815;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";5460381,25370789;0;0;0;0;0;0;0;0;417030,99176693;0;0;0;5043348,78438568;0;0
"rail_other";1513826,72913361;98414,579757452;0;0;0;0;0;0;0;1370774,70959091;2460,36547531933;0;0;42177,666636467;0;0
"rail_railway";238474349,476128;225359547,327484;0;0;0;0;0;0;0;1404547,76835677;0;0;0;4810551,29514623;0;6899814,60679305
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";88241,9169921875;5736,63892936707;0;0;0;0;0;0;0;79903,1539916992;143,416204273701;0;0;2458,55641746521;0;0
"rail_tunnel";449684,969482422;0;0;0;0;0;0;0;0;433347,443115234;0;0;0;16337,1988449097;0;0
"rail";245986484,149033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";67234643,1848145;0;0;0;0;0;0;0;0;62478344,7015381;0;0;0;4756326,43502808;0;0
"street_bridge_other";33888560,0696259;0;0;0;0;0;0;0;0;30667425,0757332;0;0;0;3221127,65199137;0;0
"street_local";2386878872,53425;2309788249,68589;0;0;0;0;0;27090702,4704813;0;49998278,8148349;0;0;0;0;0;0
"street_motorway";542188081,034912;440958885,150467;0;0;0;0;0;5476096,88135457;0;95752964,6604576;0;0;0;0;0;0
"street_motorway_elevated";17979145,6514893;17080195,0827637;0;0;0;0;0;898957,454998016;0;0;0;0;0;0;0;0
"street_other_elevated";7147340,01933479;6789972,51873016;0;0;0;0;0;357366,937983692;0;0;0;0;0;0;0;0
"street_primary";454269228,427425;398603972,181217;0;0;0;0;0;6301399,84138608;0;49363517,1051993;0;0;0;0;0;0
"street_secondary";385348984,804535;349675406,733917;0;0;0;0;0;5475133,39032698;0;30196939,5983963;0;0;0;0;0;0
"street_tertiary";723078637,419364;677420362,143885;0;0;0;0;0;10088202,3417095;0;35570198,3776367;0;0;0;0;0;0
"street_track";67209278,2159524;66715503,6499192;0;0;0;0;0;173535,314003081;0;320275,87645233;0;0;0;0;0;0
"street_tunnel";2912260,7370224;0;0;0;0;0;0;0;0;2806456,66824341;0;0;0;105803,414699078;0;0
"street";4688134207,19159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
