"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",10643860662.5823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",1600455873.2582,427674194.373642,683.912056021317,14235626.8574148,0,48448734.2085178,561833.942929472,5045164.93918973,0,968459527.687652,197023.709018139,32795850.3873408,2698716.9490962,99397249.0884113,0,941176.973860188
"building_commercial_innercity",48952442.2690203,2408886.5139683,91255.0892397847,242473.869193006,50382.4897612345,5591121.34871633,181199.669543481,7061.99598284659,10346104.5397724,24795260.8210672,317.201973303939,148767.716968247,87645.1826412163,1875732.69722877,701864.027459444,2424381.94230647
"building_highrise",9864734.85972786,188691.221737176,4621.82648079703,2505.02761241817,0,744743.402320027,19865.289626101,28577.6796237081,0,8215919.04958487,0,22985.820122106,8361.08659800282,508109.863367945,13980.5516340304,106374.108420454
"building_lightweight",399923791.650101,0,4588303.89302565,6220686.12606739,0,29638696.8008782,0,0,0,301892954.619091,0,0,0,37977054.9636698,0,19606188.6404177
"building_multifamily",213196276.374123,10491104.2080118,397431.441379786,1056013.27899075,219424.436588606,24350268.2495252,789154.916366976,30756.1910250298,45059046.528481,107987550.809557,1381.46799627152,647908.81639402,381709.612669883,8169133.3723726,3056735.97325411,10558591.5021639
"building_singlefamily",1848296419.2495,38875327.0151792,89707986.4366913,104656202.594912,825.652810489468,144543864.949922,7750092.31470799,414525.743591982,0,1209545965.87532,608820.541462169,27924196.9360658,12939938.4574666,30238822.3240039,88183598.3631371,92906488.7342415
"building_skyscraper",35171574.9550781,0,0,22735.3212718964,0,939718.951263428,204616.847412109,0,0,29853777.9384766,0,932140.807678223,0,3218595.55090332,0,0
"building",4155860105.36939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",115215562.043701,113172629.113037,0,0,0,0,0,2042898.66304779,0,0,0,0,0,0,0,0
"other_parking",91109934.3317871,89301775.2648315,0,0,0,0,0,1808168.17024279,0,0,0,0,0,0,0,0
"other_remaining_impervious",1684326282.99095,1650898443.70742,0,0,0,0,0,33427124.8431933,0,0,0,0,0,0,0,0
"other",1890651931.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",5460381.25370789,0,0,0,0,0,0,0,0,417030.99176693,0,0,0,5043348.78438568,0,0
"rail_other",1513826.72913361,98414.579757452,0,0,0,0,0,0,0,1370774.70959091,2460.36547531933,0,0,42177.666636467,0,0
"rail_railway",238474349.476128,225359547.327484,0,0,0,0,0,0,0,1404547.76835677,0,0,0,4810551.29514623,0,6899814.60679305
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",88241.9169921875,5736.63892936707,0,0,0,0,0,0,0,79903.1539916992,143.416204273701,0,0,2458.55641746521,0,0
"rail_tunnel",449684.969482422,0,0,0,0,0,0,0,0,433347.443115234,0,0,0,16337.1988449097,0,0
"rail",245986484.149033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",53719291.505127,0,0,0,0,0,0,0,0,49919078.8421631,0,0,0,3800220.0776062,0,0
"street_bridge_other",28163048.2429657,0,0,0,0,0,0,0,0,25486130.643116,0,0,0,2676915.10590982,0,0
"street_local",2239991505.26862,2167602017.51401,0,0,0,0,0,25438639.5945048,0,46949254.7401279,0,0,0,0,0,0
"street_motorway",477202820.780518,388106810.04126,0,0,0,0,0,4819746.26383591,0,84276262.0693359,0,0,0,0,0,0
"street_motorway_elevated",14360357.2178955,13642343.1882324,0,0,0,0,0,718017.688762665,0,0,0,0,0,0,0,0
"street_other_elevated",5939788.86461067,5642799.50273895,0,0,0,0,0,296989.450782001,0,0,0,0,0,0,0,0
"street_primary",443349772.114925,389022591.618717,0,0,0,0,0,6149930.54084897,0,48176947.2477775,0,0,0,0,0,0
"street_secondary",363705783.60141,330035630.530792,0,0,0,0,0,5167619.62683821,0,28500913.9875565,0,0,0,0,0,0
"street_tertiary",656848631.325614,615372384.276697,0,0,0,0,0,9164179.12820848,0,32312161.2702148,0,0,0,0,0,0
"street_track",67064801.4340615,66572014.7632309,0,0,0,0,0,173187.870893033,0,319634.640357379,0,0,0,0,0,0
"street_tunnel",1018956.07491302,0,0,0,0,0,0,0,0,981936.882110596,0,0,0,37019.026576519,0,0
"street",4351363976.37909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
