"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";4,2842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";4284200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";4284,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";4284200000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";432617000;94710600;6828390;3368470;0;11464100;132936;852390;0;226497000;46621,1;7760250;638572;79865200;0;452720
"building_commercial_innercity";70697500;2959950;406605;345267;61802,4;5022280;409709;4277570;12691100;37008800;389,582;246116;0;3004450;860948;3402460
"building_highrise";13002400;2652050;1238,81;0;2367,9;1061930;0;0;0;8212160;9076,95;21627,9;5414,2;422681;0;613841
"building_lightweight";92087600;0;2089070;1416150;0;6747280;0;0;0;68726300;0;0;0;8645520;0;4463370
"building_multifamily";321740000;13470500;1850430;1571290;281259;22856100;1864560;19466900;57756500;168425000;1772,96;1120060;0;13673100;3918120;15484300
"building_singlefamily";1072990000;88640700;53336500;25768100;10734,5;194641000;2424150;1768220;6775,01;555116000;130153;9570710;6975260;19920700;53410800;61274000
"building_skyscraper";4469210;0;0;2888,92;0;119409;26000,3;0;0;3793480;0;118446;0;408983;0;0
"other_airport";35763100;35315900;0;0;0;0;0;447186;0;0;0;0;0;0;0;0
"other_parking";149854000;147980000;0;0;0;0;0;1873790;0;0;0;0;0;0;0;0
"other_remaining_impervious";752422000;743013000;0;0;0;0;0;9408360;0;0;0;0;0;0;0;0
"rail_bridge";2033440;0;0;0;0;0;0;0;0;155302;0;0;0;1878140;0;0
"rail_other";551621;35861,1;0;0;0;0;0;0;0;499494;896,528;0;0;15369,1;0;0
"rail_railway";68817300;65032700;0;0;0;0;0;0;0;405315;0;0;0;1388200;0;1991100
"rail_subway";2809630;0;0;0;0;0;940,228;0;0;2676750;1529,57;0;0;130412;0;0
"rail_subway_elevated";1478000;117104;0;0;0;0;1729,67;0;0;1262020;2061,17;0;0;95086,4;0;0
"rail_subway_surface";3298170;467530;0;0;0;0;5058,45;0;0;2552520;8229,13;0;0;264836;0;0
"rail_tram";30436,3;1978,68;0;0;0;0;0;0;0;27560,2;49,467;0;0;848,006;0;0
"rail_tunnel";1490310;0;0;0;0;0;0;0;0;1436160;0;0;0;54143,3;0;0
"street_bridge_motorway";13191800;0;0;0;0;0;0;0;0;12258600;0;0;0;933217;0;0
"street_bridge_other";8209270;0;0;0;0;0;0;0;0;7428970;0;0;0;780296;0;0
"street_local";697315000;677629000;0;0;0;0;0;6885220;0;12801100;0;0;0;0;0;0
"street_motorway";182275000;148206000;0;0;0;0;0;1830200;0;32238300;0;0;0;0;0;0
"street_motorway_elevated";3518160;3342250;0;0;0;0;0;175908;0;0;0;0;0;0;0;0
"street_other_elevated";1731390;1644820;0;0;0;0;0;86569,7;0;0;0;0;0;0;0;0
"street_primary";116122000;101876000;0;0;0;0;0;1602250;0;12644200;0;0;0;0;0;0
"street_secondary";86681900;78649900;0;0;0;0;0;1225140;0;6806790;0;0;0;0;0;0
"street_tertiary";96164400;90089500;0;0;0;0;0;1334560;0;4740280;0;0;0;0;0;0
"street_track";49872900;49685200;0;0;0;0;0;65627,1;0;122014;0;0;0;0;0;0
"street_tunnel";2962300;0;0;0;0;0;0;0;0;2854680;0;0;0;107621;0;0
"building";2007610000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";938038000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";80508900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";1258040000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
