"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";352724984,615295;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";21562162,3620148;5761848,95595932;9,21401705971221;191789,742068887;0;652726,368111134;7569,31549264491;67971,080471158;0;13047589,7596436;2654,40446775407;441842,789026737;36358,519328773;1339130,83283806;0;12680,0193199217
"building_commercial_innercity";687395,750419617;33825,8529019356;1281,41433680058;3404,84372362494;707,476469621062;78511,1347036362;2544,42548143864;99,1653402512893;145281,156967163;348177,770959854;4,45418286067434;2089,01178093255;1230,72354607284;26339,2376990318;9855,65265500546;34043,4370493889
"building_highrise";15732,5547485352;300,930005550385;7,37101903557777;3,99508833885193;0;1187,73749160767;31,6817138195038;45,5764811038971;0;13102,9776000977;0;36,6584253311157;13,3344944417477;810,347812652588;22,2965726256371;169,648341417313
"building_lightweight";9399770,98441315;0;107843,03420046;146210,510441244;0;696624,825622559;0;0;0;7095660,74285126;0;0;0;892609,521229029;0;460821,728738785
"building_multifamily";7630014,00671387;375462,973600388;14223,5417215824;37793,3525390625;7852,90237557888;871464,491268158;28242,8274540901;1100,72264266014;1612603,63426971;3864731,66091919;49,4408954824321;23187,7749351263;13660,8794516325;292362,179189682;109396,577547073;377878,020313263
"building_singlefamily";102282689,268066;21610452,1272278;1362437,09822989;1656841,66199112;0;9975541,90112305;270677,144796133;48549,7515158653;13015124,6145363;43599385,1274872;26991,2092987299;465982,685245514;504821,027435541;686567,454791546;2801500,11919022;6257746,89623642
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"building";141577726,253876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1908685,25390625;1874841,10449219;0;0;0;0;0;33843,1100158691;0;0;0;0;0;0;0;0
"other_parking";3125718,4750061;3063683,73538208;0;0;0;0;0;62032,9827723503;0;0;0;0;0;0;0;0
"other_remaining_impervious";30081990,7001648;29484971,45047;0;0;0;0;0;597007,201154709;0;0;0;0;0;0;0;0
"other";35116396,6388245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";259736,630828857;0;0;0;0;0;0;0;0;19837,113494873;0;0;0;239899,504974365;0;0
"rail_other";20191,218170166;1312,63997650146;0;0;0;0;0;0;0;18283,1967773438;32,8160065412521;0;0;562,559863090515;0;0
"rail_railway";10162312,8544312;9603464,84454346;0;0;0;0;0;0;0;59852,9888949394;0;0;0;204995,701581001;0;294027,565896988
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";21322,25;0;0;0;0;0;0;0;0;20547,6062011719;0;0;0;774,644721984863;0;0
"rail";10463565,0949097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1442942,40527344;0;0;0;0;0;0;0;0;1340865,09277344;0;0;0;102076,876220703;0;0
"street_bridge_other";912946,724700928;0;0;0;0;0;0;0;0;826170,657409668;0;0;0;86776,1422729492;0;0
"street_local";81861399,6739044;79287131,6737976;0;0;0;0;0;904682,249819517;0;1669670,35837936;0;0;0;0;0;0
"street_motorway";37477422,125;30480162,5625;0;0;0;0;0;378523,29699707;0;6618708,86132812;0;0;0;0;0;0
"street_motorway_elevated";384120,441650391;364914,428710938;0;0;0;0;0;19206,0247955322;0;0;0;0;0;0;0;0
"street_other_elevated";192547,059799194;182919,723175049;0;0;0;0;0;9627,35389900208;0;0;0;0;0;0;0;0
"street_primary";2359012,17480469;2069948,49462891;0;0;0;0;0;32723,0862770081;0;256344,212493896;0;0;0;0;0;0
"street_secondary";15325800,7539062;13906968,8007812;0;0;0;0;0;217752,139678955;0;1200965,39477539;0;0;0;0;0;0
"street_tertiary";23846979,4667969;22341181,6298828;0;0;0;0;0;332706,653739929;0;1173097,88531494;0;0;0;0;0;0
"street_track";1665921,11732483;1655603,75203705;0;0;0;0;0;3624,83848011494;0;6689,97474366426;0;0;0;0;0;0
"street_tunnel";98182,8013305664;0;0;0;0;0;0;0;0;94615,7753295898;0;0;0;3567,01473999023;0;0
"street";165567242,960037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
