"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_Gt_10km2",0.470251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_kt_100m2",470252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_Mt_1km2",470.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grand_total_t_10m2",470252000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",25095100,5493930,396098,195397,0,665002,7711.31,49445.1,0,13138500,2704.37,450153,37042,4632780,0,26261.2
"building_commercial_innercity",824754,34530.6,4743.44,4027.88,720.985,58589.7,4779.64,49901.9,148054,431743,4.54485,2871.18,0,35049.8,10043.8,39692.9
"building_highrise",19187.7,3913.65,1.82813,0,3.49433,1567.09,0,0,0,12118.8,13.3949,31.9165,7.98978,623.754,0,905.85
"building_lightweight",9655490,0,219041,148484,0,707460,0,0,0,7206020,0,0,0,906492,0,467989
"building_multifamily",9137910,382584,52555.3,44627.1,7988.19,649148,52956.3,552891,1640380,4783520,50.3549,31811.4,0,388336,111281,439780
"building_singlefamily",122822000,21859200,3204410,3141900,0,13899100,313492,0,16278800,51220400,39164.9,746793,635108,1196810,2738980,7547990
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other_airport",2904340,2868020,0,0,0,0,0,36316.2,0,0,0,0,0,0,0,0
"other_parking",9799090,9676560,0,0,0,0,0,122529,0,0,0,0,0,0,0,0
"other_remaining_impervious",97566300,96346400,0,0,0,0,0,1219980,0,0,0,0,0,0,0,0
"rail_bridge",264075,0,0,0,0,0,0,0,0,20168.4,0,0,0,243906,0,0
"rail_other",20587.5,1338.4,0,0,0,0,0,0,0,18642,33.46,0,0,573.6,0,0
"rail_railway",10338400,9769880,0,0,0,0,0,0,0,60890.6,0,0,0,208549,0,299124
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",21689.7,0,0,0,0,0,0,0,0,20901.7,0,0,0,787.995,0,0
"street_bridge_motorway",1470640,0,0,0,0,0,0,0,0,1366610,0,0,0,104037,0,0
"street_bridge_other",927726,0,0,0,0,0,0,0,0,839545,0,0,0,88181,0,0
"street_local",95294500,92685900,0,0,0,0,0,912344,0,1696240,0,0,0,0,0,0
"street_motorway",38142200,31013100,0,0,0,0,0,382980,0,6746070,0,0,0,0,0,0
"street_motorway_elevated",391454,371882,0,0,0,0,0,19572.7,0,0,0,0,0,0,0,0
"street_other_elevated",195664,185881,0,0,0,0,0,9783.21,0,0,0,0,0,0,0,0
"street_primary",2397680,2103520,0,0,0,0,0,33083,0,261077,0,0,0,0,0,0
"street_secondary",15557300,14115800,0,0,0,0,0,219883,0,1221660,0,0,0,0,0,0
"street_tertiary",24195300,22666800,0,0,0,0,0,335779,0,1192670,0,0,0,0,0,0
"street_track",3110610,3100120,0,0,0,0,0,3667.75,0,6819.11,0,0,0,0,0,0
"street_tunnel",99662.8,0,0,0,0,0,0,0,0,96042,0,0,0,3620.78,0,0
"building",167555000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other",110270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail",10644800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street",181783000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
