"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";3,51033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";3510330;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";3510,33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";3510330000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";415692000;91005300;6561240;3236690;0;11015600;127735;819043;0;217636000;44797,1;7456650;613590;76740600;0;435008
"building_commercial_innercity";29181200;1221750;167831;142513;25509,7;2073010;169112;1765620;5238410;15275800;160,805;101587;0;1240120;355366;1404400
"building_highrise";14873700;3033720;1417,1;0;2708,68;1214760;0;0;0;9394040;10383,3;24740,6;6193,4;483512;0;702183
"building_lightweight";73445800;0;1666160;1129470;0;5381390;0;0;0;54813600;0;0;0;6895350;0;3559820
"building_multifamily";64554200;2702740;371273;315265;56432,1;4585870;374107;3905870;11588300;33792900;355,729;224730;0;2743380;786135;3106800
"building_singlefamily";703870000;38702600;22666600;33514300;0;58577300;2586180;0;28822300;444849000;149191;8617350;5135870;15422200;4880340;39946500
"building_skyscraper";10759300;0;0;6954,84;0;287467;62593,7;0;0;9132500;0;285149;0;984593;0;0
"other_airport";45110400;44546300;0;0;0;0;0;564065;0;0;0;0;0;0;0;0
"other_parking";102730000;101445000;0;0;0;0;0;1284540;0;0;0;0;0;0;0;0
"other_remaining_impervious";995082000;982640000;0;0;0;0;0;12442600;0;0;0;0;0;0;0;0
"rail_bridge";2511980;0;0;0;0;0;0;0;0;191850;0;0;0;2320130;0;0
"rail_other";881135;57283;0;0;0;0;0;0;0;797870;1432,08;0;0;24549,9;0;0
"rail_railway";68929800;65139000;0;0;0;0;0;0;0;405978;0;0;0;1390470;0;1994360
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";99313,3;6456,4;0;0;0;0;0;0;0;89928,4;161,41;0;0;2767,03;0;0
"rail_tunnel";3544090;0;0;0;0;0;0;0;0;3415330;0;0;0;128758;0;0
"street_bridge_motorway";8610070;0;0;0;0;0;0;0;0;8000980;0;0;0;609095;0;0
"street_bridge_other";6307680;0;0;0;0;0;0;0;0;5708130;0;0;0;599549;0;0
"street_local";601921000;584874000;0;0;0;0;0;5962050;0;11084700;0;0;0;0;0;0
"street_motorway";114074000;92752600;0;0;0;0;0;1145400;0;20175800;0;0;0;0;0;0
"street_motorway_elevated";2304760;2189520;0;0;0;0;0;115238;0;0;0;0;0;0;0;0
"street_other_elevated";1330310;1263790;0;0;0;0;0;66515,4;0;0;0;0;0;0;0;0
"street_primary";30723400;26954100;0;0;0;0;0;423919;0;3345380;0;0;0;0;0;0
"street_secondary";69525800;63083500;0;0;0;0;0;982657;0;5459590;0;0;0;0;0;0
"street_tertiary";87808300;82261300;0;0;0;0;0;1218600;0;4328380;0;0;0;0;0;0
"street_track";53796900;53591000;0;0;0;0;0;72012,9;0;133887;0;0;0;0;0;0
"street_tunnel";2667230;0;0;0;0;0;0;0;0;2570330;0;0;0;96901,4;0;0
"building";1312380000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";1142920000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";75966400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";979069000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
